Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
1,1,1,89,0.748,0.94683,0.20958,2
1,2,NaN,NaN,NaN,NaN,0.06,2
1,1,1,70,0.62,0.99894,0.11,1
1,2,2,100,1.893,1.2965,0.26521,2
1,2,2,54,1.355,1.3827,0.06,2
1,1,1,89,0.724,1.2656,0.076185,2
1,1,1,100,1.437,1.2995,0.27786,2
1,1,1,86,1.31,2.0336,0.1746,2
1,2,1,0,0.564,1.383,0.01,1
1,1,NaN,NaN,NaN,NaN,0.06,1
1,2,2,100,1.359,1.2824,0.27145,2
1,2,2,0,1.343,1.1485,0.01,1
1,2,2,100,1.202,0.89926,0.22189,2
1,1,2,0,0.808,1.516,0.01,1
1,2,2,86,1.12,1.5495,0.06,1
1,1,1,100,0.682,0.94895,0.27921,2
1,1,1,0,0.906,1.1995,0.01,1
1,1,1,0,0.932,1.4165,0.01,1
1,1,2,70,1.666,1.2156,0.1485,2
1,2,2,85,0.703,1.4826,0.22775,2
1,2,2,65,1.227,1.9999,0.098617,2
1,1,1,0,0.79,1.5992,0.01,1
1,2,2,0,0.719,1.0662,0.01,1
1,2,1,0,0.619,1.0993,0.01,1
1,2,2,22,1.943,2.0329,0.06,1
1,2,1,10,1.545,1.0133,0.06,1
1,1,1,92,1.058,1.5644,0.29661,2
1,2,2,81,1.458,1.366,0.11,2
1,1,1,84,1.895,1.9664,0.25279,2
1,1,1,100,1.143,1.1823,0.36094,2
1,1,1,100,1.838,1.4329,0.14475,2
1,1,2,0,0.73,0.84912,0.01,1
1,2,2,9,1.021,0.89905,0.06,2
1,1,1,100,1.305,0.86532,0.18925,2
1,1,1,100,1.317,0.94891,0.27658,2
1,1,1,100,1.824,1.2155,0.10796,2
1,1,2,15,0.78,1.8493,0.01,1
1,2,1,60,1.451,1.2324,0.06,1
1,2,2,100,0.937,1.5328,0.35957,2
1,2,2,97,1.776,4.1007,0.18954,2
1,1,1,95,1.876,2.6329,0.29193,2
1,1,2,24,1.454,2.116,0.06,1
1,2,2,33,1.299,2.4663,0.11,2
1,2,2,100,0.677,2.7168,0.56932,2
1,1,1,98,0.678,1.3657,0.91767,2
1,2,2,92,1.19,1.7325,0.14315,2
1,1,1,2,0.674,3.6507,0.01,1
1,2,1,1,0.697,1.0158,0.01,1
1,1,2,24,1.102,1.4824,0.06,2
1,2,2,59,0.709,1.7327,0.11,1
1,2,2,24,1.476,1.0995,0.11,1
