Subj_idx,Block,Trial,RT_stop,Stimulus,Response,Error,Confidence,RT_confidence,ErrorDirectionJudgment,RT_directionJudgment
5,3,62,5.01551020408163,11,13,2,2,0.627357888966799,-1,0.0684058722108603
5,3,63,4.84281179138322,11,11,0,2,0.58118443377316,-1,0.0221342407166958
5,3,64,3.99963718820862,11,11,0,2,0.882277049124241,-1,0.145837217569351
5,3,65,4.23909297052154,11,11,0,1,0.539152039214969,-1,0.200693564489484
5,3,66,3.71374149659864,11,9,-2,2,0.452089263126254,-1,1.30093482509255
5,3,67,4.69478458049887,11,13,2,3,1.43969120457768,-1,1.13488858379424
5,3,68,3.62666666666667,11,10,-1,2,0.651519309729338,-1,0.0677763484418392
5,3,69,5.27673469387755,11,14,3,2,1.51821044832468,-1,0.0840750150382519
5,3,70,4.03446712018141,11,11,0,1,0.740799224004149,-1,0.026003098115325
5,3,71,3.37995464852608,11,9,-2,2,0.772195793688297,-1,0.23024039529264
5,3,72,4.34213151927438,11,12,1,2,0.360599428415298,-1,0.0163442697376013
5,3,73,3.06648526077098,11,9,-2,2,0.391766391694546,-1,0.0170207805931568
5,3,74,2.86331065759637,11,8,-3,3,0.803027452901006,-1,0.0162642002105713
5,3,75,4.16072562358277,11,12,1,2,0.69524889998138,-1,0.0358946900814772
5,3,76,4.3740589569161,11,11,0,2,0.876224778592587,-1,0.0158607624471188
5,3,77,3.08244897959184,11,9,-2,1,1.62801416032016,-1,0.277457589283586
5,3,78,4.39727891156463,11,11,0,2,0.588542241603136,-1,0.159410919994116
5,3,79,4.24489795918367,11,13,2,1,0.481035949662328,-1,0.0165431704372168
5,3,80,3.49170068027211,11,10,-1,2,0.470262877643108,-1,0.0164351984858513
5,3,81,5.2128798185941,11,12,1,2,0.715700352564454,-1,0.0165776629000902
5,3,82,3.24063492063492,11,8,-3,2,0.874562786892056,-1,0.106750495731831
5,3,83,4.21151927437642,11,10,-1,2,1.13538682647049,-1,0.236759062856436
5,3,84,4.01705215419501,11,10,-1,1,0.939436011016369,-1,0.112492071464658
5,3,85,4.88489795918367,11,13,2,3,2.40752224065363,-1,0.905628086999059
5,3,86,3.87773242630385,11,10,-1,2,1.4223301038146,-1,0.817942891269922
5,3,87,3.41913832199546,11,10,-1,1,0.176518507301807,-1,0.0277152750641108
5,3,88,5.11419501133787,11,12,1,3,1.08323849737644,-1,0.658947451040149
5,3,89,3.91836734693878,11,10,-1,2,0.389165172353387,-1,0.538860132917762
5,3,90,3.70068027210884,11,9,-2,2,0.516681304201484,-1,0.0836871694773436
5,3,91,4.35374149659864,11,10,-1,2,0.3453488368541,-1,0.0621981602162123
5,3,92,5.93414965986395,11,14,3,1,0.978558802977204,-1,0.0380496997386217
5,3,93,4.83700680272109,11,12,1,1,0.661872453987598,-1,0.525215277448297
5,3,94,5.07936507936508,11,11,0,2,1.14882962405682,-1,0.736383812502027
5,3,95,5.97478458049887,11,14,3,2,0.346594808623195,-1,0.0169655010104179
5,3,96,5.8572335600907,11,13,2,1,0.542738860473037,-1,0.260036051273346
5,3,97,4.52643990929705,11,12,1,3,0.959144616499543,-1,0.491543984040618
5,4,1,2.8691156462585,7,7,0,3,1.63701583817601,-1,0.0167463943362236
5,4,2,2.96199546485261,7,8,1,1,0.243161210790277,-1,0.0161210764199495
5,4,3,3.12308390022676,7,7,0,2,0.3756337556988,-1,0.940401935949922
5,4,4,1.83437641723356,7,5,-2,3,0.48421123996377,-1,0.092287078499794
5,4,5,2.88362811791383,7,7,0,3,0.675997711718082,-1,0.307923540472984
5,4,6,3.619410430839,7,10,3,1,0.242664348334074,-1,0.0168044473975897
5,4,7,2.78784580498866,7,7,0,2,1.58566435612738,-1,0.362794818356633
5,4,8,2.98956916099773,7,8,1,1,0.136122105643153,-1,0.0169661231338978
5,4,9,3.00988662131519,7,7,0,3,1.00218310765922,-1,0.155119124799967
5,4,10,2.92861678004535,7,8,1,1,0.836437532678246,-1,0.228171611204743
5,4,11,2.83283446712018,7,7,0,2,0.497658230364323,-1,0.408369801938534
5,4,12,2.30167800453515,7,6,-1,2,1.25738664902747,-1,0.20028374157846
5,4,13,2.77043083900227,7,8,1,3,0.929885052144527,-1,0.791189216077328
5,4,14,2.72399092970522,7,8,1,2,0.712380401790142,-1,0.159038847312331
5,4,15,2.48308390022676,7,7,0,1,0.505751708522439,-1,0.0482865441590548
5,4,16,3.27111111111111,7,8,1,2,0.523959139361978,-1,0.0991057343780994
5,4,17,2.91120181405896,7,7,0,1,0.269317116588354,-1,0.0164298508316278
5,4,18,3.25950113378685,7,8,1,1,0.777266722172499,-1,0.116101086139679
5,4,19,2.89814058956916,7,7,0,3,0.222803924232721,-1,1.35530356690288
5,4,20,2.4540589569161,7,6,-1,3,0.414136635139585,-1,0.280166396871209
5,4,21,2.36553287981859,7,6,-1,2,0.78302956186235,-1,0.0528113339096308
5,4,22,2.31183673469388,7,6,-1,2,0.867326503619552,-1,0.515527265146375
5,4,23,3.10566893424036,7,7,0,2,0.98283520527184,-1,0.642422258853912
5,4,24,3.15791383219955,7,8,1,1,0.318566482514143,-1,0.0621111132204533
5,4,25,2.28281179138322,7,6,-1,2,0.609770195558667,-1,0.109038701280951
