Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
1,2,1,2,3.226996143,0.409764471,0.110939507,1,0,1,7
1,1,1,3,1.062173731,0.332241902,0.14119123,1,1,1,7
1,1,1,1,1.626610421,0.313883202,0.14119123,1,1,1,7
1,1,1,1,0.776182921,0.249899407,0.3,1,1,3,8
1,2,2,2,1.357096146,0.308857796,0.3,1,1,3,8
1,1,1,3,0.853511107,0.339128568,0.255697168,1,1,3,8
1,1,2,3,1.025738681,0.329673243,0.255697168,1,0,3,8
1,1,1,3,0.649683861,0.351055543,0.296903247,1,1,3,8
1,2,2,3,0.957025532,0.166405282,0.296903247,1,1,3,8
1,1,1,4,0.875658789,0.202277001,0.252803093,1,1,3,8
1,1,1,4,0.909832664,0.264974942,0.252803093,1,1,3,8
1,1,1,4,1.451867688,0.27349882,0.21181554,1,1,3,8
1,2,2,3,0.834747513,0.352826725,0.21181554,1,1,3,8
1,2,2,4,1.423374421,0.230881619,0.17418515,1,1,3,8
1,1,1,4,0.825464424,0.216595277,0.17418515,1,1,3,8
1,1,1,4,1.197234704,0.348754356,0.140173415,1,1,3,8
1,1,1,4,0.843740015,0.31404782,0.140173415,1,1,3,8
1,1,1,4,0.619177945,0.287177105,0.110048702,1,1,3,8
1,1,1,4,0.70641331,0.275779469,0.110048702,1,1,3,8
1,2,2,3,0.918909824,0.560839187,0.08406507,1,1,3,8
1,2,2,3,1.367292419,0.783374228,0.08406507,1,1,3,8
1,2,2,2,3.885662488,0.562590136,0.062423065,1,1,3,8
1,1,1,3,2.088405644,0.53411373,0.062423065,1,1,3,8
1,2,1,1,1.53373179,0.271658946,0.04520578,1,0,3,8
1,2,2,2,1.45671118,0.359296982,0.062423065,1,1,3,8
1,2,2,2,1.221463617,0.195940059,0.062423065,1,1,3,8
1,2,1,1,1.975335048,0.298403603,0.04520578,1,0,3,8
1,1,1,2,1.225885756,0.346122615,0.062423065,1,1,3,8
1,2,2,2,2.024881264,0.312713371,0.062423065,1,1,3,8
1,1,2,2,1.639770583,0.342972254,0.04520578,1,0,3,8
1,1,2,2,1.189533268,0.231022121,0.062423065,1,0,3,8
1,2,1,1,2.089815903,0.215666221,0.07533626,1,0,3,8
1,2,1,1,1.306445295,0.293022922,0.092553545,1,0,3,8
1,2,2,2,1.3030594,0.241885114,0.112517842,1,1,3,8
1,1,1,2,1.012910436,0.365368912,0.112517842,1,1,3,8
1,1,2,3,2.571013085,0.212902782,0.08616345,1,0,3,8
1,2,2,2,1.720360164,0.323504791,0.112517842,1,1,3,8
1,2,2,3,2.213115336,0.201699901,0.112517842,1,1,3,8
1,2,2,4,1.134527181,0.562115696,0.3,1,1,2,9
1,2,2,4,0.632003418,0.190806244,0.3,1,1,2,9
1,2,2,4,0.883386592,0.237754219,0.255697168,1,1,2,9
1,2,2,4,0.737023068,0.243911763,0.255697168,1,1,2,9
1,1,1,4,0.646233932,0.477138,0.214491089,1,1,2,9
1,1,1,3,0.982407764,0.446022406,0.214491089,1,1,2,9
1,1,1,3,0.825762682,0.264346486,0.176624988,1,1,2,9
1,1,1,3,0.763048725,0.283329287,0.176624988,1,1,2,9
1,1,1,4,0.668154781,0.274428278,0.142359439,1,1,2,9
1,2,2,3,0.96263696,0.380729217,0.142359439,1,1,2,9
