Subj_idx,Stimulus,Response,Confidence,RT_dec,Validity,CTOA,Cue_position
1,-1,-1,0,1.831529856,I,850,-1
1,-1,-1,0,0.891155958,I,100,1
1,1,1,1,0.64131403,V,250,1
1,-1,1,0,0.811348915,I,150,-1
1,-1,-1,1,0.691061974,V,250,1
1,-1,-1,1,2.982259035,I,850,1
1,1,-1,1,1.231392145,I,100,1
1,-1,1,0,2.121942997,V,850,-1
1,-1,-1,1,0.721154928,V,100,1
1,-1,-1,1,0.791181088,V,150,1
1,-1,-1,0,0.841370106,I,450,1
1,-1,-1,0,0.671123982,I,450,-1
1,1,-1,0,1.271456003,V,100,1
1,1,1,0,2.282039881,I,450,-1
1,1,1,1,0.891467094,I,250,1
1,1,1,1,0.670633078,I,250,-1
1,-1,-1,1,0.771272898,I,250,-1
1,1,1,0,1.031545162,I,850,1
1,1,1,1,0.841327906,I,150,-1
1,1,1,1,1.151499033,V,850,-1
1,-1,-1,1,1.111372948,V,250,-1
1,1,1,1,0.721448898,V,450,-1
1,1,1,0,0.991446018,I,850,-1
1,1,1,0,0.631273985,V,250,1
1,-1,-1,1,0.891138792,I,150,1
1,-1,1,0,1.931843042,I,850,-1
1,1,1,0,0.641345024,V,250,-1
1,-1,-1,0,0.611304045,V,250,1
1,-1,-1,0,1.651638985,V,100,1
1,1,1,0,1.901736975,I,850,1
1,1,1,1,0.721226215,I,100,-1
1,-1,-1,1,1.051211834,I,100,1
1,1,1,1,0.741272926,I,450,-1
1,1,1,1,0.561227798,V,850,1
1,1,1,0,0.751204967,V,150,1
1,1,1,1,0.701414108,V,150,-1
1,1,-1,0,1.05138588,I,100,1
1,-1,-1,1,1.101400852,V,850,-1
1,-1,-1,0,1.981769085,V,450,1
1,-1,-1,1,0.801115036,V,250,-1
1,1,-1,0,0.981317997,V,100,-1
1,-1,1,1,0.571310043,V,150,1
1,1,-1,0,0.911242008,I,250,1
1,-1,-1,1,0.71115303,V,450,-1
1,-1,1,0,2.621957064,V,100,-1
1,-1,-1,1,0.691276073,I,250,1
1,1,1,1,0.771157026,I,850,-1
1,-1,-1,1,0.791195154,I,450,1
1,-1,-1,1,0.761245012,I,450,-1
1,-1,-1,1,0.661286116,I,100,-1
1,1,1,1,0.571357012,I,250,-1
1,-1,-1,1,2.722290993,I,850,1
1,-1,-1,1,0.711246014,V,150,-1
1,1,1,0,1.141670942,V,450,-1
1,1,1,0,1.911723137,I,450,1
