Subj_idx,Stimulus,Response,Confidence,RT_dec,Coherence,Accuracy
2,2,2,2.804528084,1.18441604,0.53,1
2,1,2,4.200347142,0.443883018,0.53,0
2,2,1,4.759890009,0.666465614,0.56,0
2,2,2,4.959726496,0.447027071,0.59,1
2,2,2,4.111989685,0.6790502,0.59,1
2,2,2,4.178532642,1.316127841,0.56,1
2,1,1,4.064049077,0.904722149,0.56,1
2,2,2,2.117855035,2.260050809,0.53,1
2,2,1,3.033616146,0.651220704,0.53,0
2,1,2,3.699801482,0.869453332,0.56,0
2,2,1,3.57499238,1.519240708,0.59,0
2,1,1,4.502684749,0.639255378,0.62,1
2,1,1,4.597383639,0.58986187,0.62,1
2,2,2,5.211279655,0.449224053,0.59,1
2,1,1,4.501051255,1.072034296,0.59,1
2,2,2,4.067225405,1.036738466,0.56,1
2,2,1,2.242091137,1.520585477,0.56,0
2,2,2,2.793320653,0.726537461,0.59,1
2,2,1,3.978480194,1.714149563,0.59,0
2,2,2,4.849308515,0.217320169,0.62,1
2,2,2,2.623142206,1.338188935,0.62,1
2,2,1,2.787848478,1.322101602,0.59,0
2,2,2,2.742822103,2.273729368,0.62,1
2,2,2,5.174649417,0.167370119,0.62,1
2,2,2,4.267149324,0.935402657,0.59,1
2,2,2,3.877896104,0.410772003,0.59,1
2,2,1,4.264968389,0.499607808,0.56,0
2,2,2,2.433461057,4.292100351,0.59,1
2,1,1,4.995246958,0.232527379,0.59,1
2,2,2,2.806505219,1.996497716,0.56,1
2,2,2,4.617430139,0.497229388,0.56,1
2,1,1,3.253566085,0.258018005,0.53,1
2,2,2,4.814970677,0.31761987,0.53,1
2,2,1,3.878678222,0.423299786,0.5,0
2,1,1,4.739099064,0.697100122,0.53,1
2,2,1,2.802707301,1.929199913,0.53,0
2,1,1,4.141007341,0.660418609,0.56,1
2,1,1,4.37717748,0.43589461,0.56,1
2,2,2,5.268623444,0.063340041,0.53,1
2,2,1,4.426042435,0.776459176,0.53,0
2,2,1,2.710172619,1.580589288,0.56,0
2,2,2,4.277981826,0.402237131,0.59,1
2,2,2,2.828251268,3.61060925,0.59,1
2,2,1,4.020553565,1.289901106,0.56,0
2,2,1,4.127994812,0.551737398,0.59,0
2,2,2,4.065797449,0.181965408,0.62,1
2,1,1,3.632419783,0.102878003,0.62,1
2,1,1,4.182796392,0.445374517,0.59,1
2,1,1,3.017065666,0.783791093,0.59,1
2,1,2,3.279379265,0.128022523,0.56,0
2,1,1,2.285852649,2.597035452,0.59,1
2,2,2,4.230730092,0.405478125,0.59,1
2,2,2,4.315543825,0.513187376,0.56,1
3,2,2,4.506483389,20.64113329,0.7,1
3,2,2,3.342964296,0.012882503,0.7,1
3,1,1,5.542124444,0.163324248,0.67,1
3,1,1,5.436541169,0.012395814,0.67,1
3,1,1,5.494109866,6.246731446,0.64,1
3,2,2,4.036731665,1.704982977,0.64,1
3,1,2,5.681901551,2.247909967,0.61,0
3,2,2,5.808323334,0.088172118,0.64,1
3,1,1,5.257344711,0.012916927,0.64,1
3,2,2,6,0.012797625,0.61,1
3,2,2,6,0.077096664,0.61,1
3,2,2,6,0.292909294,0.58,1
3,1,1,5.473522491,0.127377272,0.58,1
3,2,2,4.280809704,0.505218792,0.55,1
3,2,1,4.550833301,1.49625687,0.55,0
3,1,1,5.797487023,1.433026818,0.58,1
3,1,1,5.302510101,0.011926941,0.58,1
3,1,1,6,0.315876875,0.55,1
3,2,1,5.808968287,0.526267494,0.55,0
3,1,1,5.292346122,0.155062039,0.58,1
3,1,1,5.856741313,0.049559554,0.58,1
3,1,1,4.784303411,0.256023037,0.55,1
3,2,2,5.191545827,1.825968478,0.55,1
3,1,2,4.092677018,0.614639463,0.52,0
3,2,2,6,0.207896121,0.55,1
3,2,2,4.79190601,0.319588555,0.55,1
3,1,1,5.659521006,2.168263931,0.52,1
3,2,1,5.919968724,0.086747231,0.52,0
3,2,2,5.412773616,7.636081519,0.55,1
3,2,2,5.716684602,0.194368895,0.55,1
3,2,2,5.344465803,0.152479328,0.52,1
3,2,2,4.20509983,1.125020091,0.52,1
3,1,2,4.259116282,2.169623151,0.5,0
3,2,2,5.269156922,0.910653044,0.53,1
3,2,2,4.553975926,0.278545978,0.53,1
3,2,2,4.52735331,0.362930014,0.5,1
3,1,1,5.967470767,0.012676603,0.5,1
3,2,1,3.621981989,2.315998702,0.5,0
3,2,1,6,0.533325191,0.53,0
3,1,1,6,0.214295659,0.56,1
3,1,1,6,0.485419213,0.56,1
3,2,2,5.614179668,0.222324005,0.53,1
3,1,1,4.324515176,1.171450708,0.53,1
3,1,2,5.361578214,0.203889963,0.5,0
3,1,2,4.107593111,1.506269412,0.53,0
3,1,1,4.520056499,3.548909956,0.56,1
3,1,1,5.874833946,0.050928402,0.56,1
3,2,1,5.890856906,0.500203733,0.53,0
3,1,1,5.723640402,0.884243576,0.56,1
3,1,1,5.893870558,0.419466964,0.56,1
3,2,1,5.750935635,0.203309973,0.53,0
3,1,1,5.386530877,0.690153378,0.56,1
3,2,2,5.669990576,0.106126565,0.56,1
3,1,2,4.077201494,3.068745196,0.53,0
3,1,1,5.657965631,0.989739402,0.56,1
3,2,2,5.404603184,0.012582857,0.56,1
3,2,1,5.798317951,0.525638335,0.53,0
3,1,2,5.141749212,0.487296744,0.56,0
3,1,1,5.727007748,0.956920767,0.59,1
3,2,2,5.369055389,0.152628871,0.59,1
3,1,1,6,0.012254642,0.56,1
3,1,2,6,0.207613919,0.56,0
3,1,1,6,0.088913628,0.59,1
3,2,2,6,1.701952255,0.59,1
3,1,1,6,0.241871975,0.56,1
3,1,2,4.327815983,2.12531657,0.56,0
3,2,2,5.063090508,0.052510984,0.59,1
3,1,1,6,0.089558581,0.59,1
3,1,1,5.963201278,0.267380781,0.56,1
3,1,1,6,0.115059929,0.56,1
3,2,2,6,0.955293928,0.53,1
3,1,1,6,1.101476366,0.53,1
3,2,2,6,0.586444052,0.5,1
3,2,2,6,0.013055998,0.5,1
3,1,2,6,0.152874502,0.5,0
3,2,2,6,0.129945401,0.53,1
3,2,2,6,0.139049329,0.53,1
3,2,2,6,0.4368044,0.5,1
3,2,2,6,2.155014886,0.5,1
3,2,2,6,0.178803445,0.5,1
3,2,2,6,0.979719897,0.5,1
3,1,1,6,0.615656903,0.5,1
3,2,2,6,0.354428122,0.5,1
3,1,2,6,0.35335543,0.5,0
3,1,2,6,0.830322094,0.53,0
3,1,2,6,0.578266069,0.56,0
3,2,2,6,0.205230793,0.59,1
3,2,2,6,1.43954218,0.59,1
3,2,2,6,0.419636473,0.56,1
3,1,1,6,0.269739441,0.56,1
3,2,2,6,1.07000129,0.53,1
3,1,1,6,1.772061248,0.53,1
3,1,2,6,1.571979103,0.5,0
3,2,1,6,0.128036704,0.53,0
3,1,2,6,3.854463178,0.56,0
3,1,1,6,0.277884202,0.59,1
3,2,1,6,1.17273747,0.59,0
3,2,2,6,0.011978236,0.62,1
3,1,1,5.988927139,0.803269833,0.62,1
3,1,1,3.372148674,0.139524577,0.59,1
3,2,2,5.250066681,0.969114008,0.59,1
3,2,2,4.806331154,0.781921177,0.56,1
3,2,2,6,0.988834034,0.56,1
3,1,2,6,0.271864196,0.53,0
3,2,1,6,0.305169642,0.56,0
3,1,2,6,1.357152291,0.59,0
3,1,2,4.60162346,1.707568895,0.62,0
3,1,2,4.587315969,1.776475178,0.65,0
3,1,1,6,0.012195622,0.68,1
3,2,2,6,0.561725561,0.68,1
3,2,2,6,1.785206159,0.65,1
3,1,1,6,0.039570074,0.65,1
3,1,1,6,0.117502202,0.62,1
3,1,2,4.099670421,1.181940903,0.62,0
3,1,1,6,0.012884339,0.65,1
3,1,1,4.920165336,2.339826702,0.65,1
3,2,2,6,1.697591253,0.62,1
3,1,2,6,1.783238658,0.62,0
3,2,2,6,0.165888407,0.65,1
3,2,2,6,0.102036224,0.65,1
3,2,2,5.701184916,0.076158334,0.62,1
3,2,2,5.735662668,4.745108766,0.62,1
3,2,2,5.75368393,0.231425958,0.59,1
3,2,2,6,0.329273822,0.59,1
3,2,2,6,0.68434558,0.56,1
3,2,2,6,0.242805725,0.56,1
3,2,2,6,1.565885183,0.53,1
3,1,1,1.428889446,0.280543974,0.53,1
3,1,2,4.797290539,0.406874225,0.5,0
3,1,2,2.640261995,0.589487993,0.53,0
3,1,1,5.351663599,0.139365469,0.56,1
3,1,1,5.219406072,0.220449463,0.56,1
3,1,1,5.567117115,0.012176876,0.53,1
3,1,2,4.237637212,0.470498385,0.53,0
3,1,1,4.359637229,1.289529938,0.56,1
3,2,2,5.945594683,2.069880855,0.56,1
3,1,2,5.061820385,1.744975975,0.53,0
3,2,2,5.543472352,1.086992993,0.56,1
3,2,2,5.39147098,0.407100691,0.56,1
3,1,2,5.843250803,0.522080677,0.53,0
3,1,1,5.952799492,0.97018296,0.56,1
3,2,2,4.498932277,1.254073301,0.56,1
3,1,2,4.05445743,0.671370562,0.53,0
3,1,1,6,0.101807287,0.56,1
3,2,2,4.910467988,0.14022447,0.56,1
3,1,1,6,0.604308067,0.53,1
3,1,2,3.581659095,0.329859112,0.53,0
3,2,2,5.329019735,2.730975303,0.56,1
3,2,1,5.939554525,1.141036404,0.56,0
3,1,2,5.886913181,0.428998154,0.59,0
3,1,1,5.283123806,0.243581342,0.62,1
3,2,2,6,0.176139167,0.62,1
3,1,1,6,0.076415577,0.59,1
3,2,2,6,0.368851864,0.59,1
3,1,2,6,0.036676004,0.56,0
3,2,2,5.354544616,0.826260976,0.59,1
3,2,2,4.729173822,0.705631459,0.59,1
3,1,2,5.535690276,0.330328744,0.56,0
3,1,1,6,2.604898707,0.59,1
3,1,1,6,1.381426243,0.59,1
3,2,2,6,0.227971874,0.56,1
3,2,2,5.500471908,0.114850796,0.56,1
3,2,2,5.607825053,0.302161381,0.53,1
3,2,2,6,0.150655102,0.53,1
3,2,2,4.59629732,0.522083768,0.5,1
3,2,2,6,0.765344477,0.5,1
3,1,2,4.348841698,0.318477492,0.5,0
3,2,1,2.735226533,1.703719244,0.53,0
3,2,2,5.436077801,0.670814453,0.56,1
3,2,2,6,1.938265876,0.56,1
3,2,2,6,0.251811591,0.53,1
3,1,2,3.360450664,2.174033456,0.53,0
3,1,2,5.589401845,0.189682974,0.56,0
3,2,2,6,0.734794095,0.59,1
3,1,1,3.34741967,1.613759734,0.59,1
3,1,2,3.665434228,1.445398184,0.56,0
3,1,2,5.464339775,0.905262275,0.59,0
3,1,2,5.864484066,0.024966189,0.62,0
3,1,2,6,8.676243395,0.65,0
3,2,2,5.47667137,0.13982151,0.68,1
5,1,1,5.047576753,0.401195517,0.7,1
5,2,2,5.36896362,0.462579575,0.7,1
5,2,2,4.756025531,0.709161401,0.67,1
5,2,2,5.092942118,1.030684404,0.67,1
5,2,2,4.973710775,0.489983802,0.64,1
5,2,1,5.098540979,1.637293657,0.64,0
5,2,2,4.940776811,0.192165495,0.67,1
5,1,1,5.346956885,0.257698011,0.67,1
5,2,2,4.157578636,1.151791342,0.64,1
5,1,1,4.424984394,0.127678446,0.64,1
5,2,2,4.473388938,0.227988468,0.61,1
5,1,1,4.172226168,0.283168111,0.61,1
5,2,1,3.698049399,1.564757103,0.58,0
5,1,1,4.18355089,0.387174963,0.61,1
5,1,1,3.53663999,1.780712069,0.61,1
5,2,1,4.019855973,1.13235415,0.58,0
5,2,1,3.409373354,1.691760361,0.61,0
5,2,2,4.128080019,0.462383168,0.64,1
5,2,2,3.505458504,0.848224695,0.64,1
5,2,1,3.800954544,0.937149817,0.61,0
5,2,1,4.118240581,0.742380164,0.64,0
5,1,1,4.760480237,0.153727359,0.67,1
5,1,1,4.211291285,0.179081275,0.67,1
5,2,2,3.924855408,0.606997682,0.64,1
5,2,2,4.158848393,0.259704151,0.64,1
5,1,1,3.241558352,0.927090501,0.61,1
5,1,1,3.358819195,1.453713876,0.61,1
5,1,1,3.883938328,0.644510683,0.58,1
5,1,1,4.204979608,0.539028636,0.58,1
5,1,1,3.251887878,1.222408735,0.55,1
5,2,1,3.318059234,0.538202385,0.55,0
5,2,1,3.195011781,0.989715181,0.58,0
5,2,1,3.983132016,0.57141224,0.61,0
5,1,1,4.732472907,0.179181608,0.64,1
5,1,1,4.342971552,0.357114437,0.64,1
5,2,1,3.480473686,1.002484083,0.61,0
5,1,1,4.687615052,0.12706781,0.64,1
5,2,2,4.239022109,0.102448903,0.64,1
5,2,2,3.994070332,0.494661101,0.61,1
5,2,2,4.303975654,0.25535722,0.61,1
5,2,2,3.184954134,1.640625268,0.58,1
5,2,2,4.093123204,0.296269477,0.58,1
5,2,2,3.539358985,1.59785903,0.55,1
5,2,2,3.046594748,0.218280159,0.55,1
5,2,2,2.897269352,1.282285711,0.52,1
5,1,1,3.494952212,0.542849959,0.52,1
5,2,1,4.463604782,0.141862729,0.5,0
5,2,2,3.063496429,1.465574256,0.53,1
5,1,1,3.29409228,0.483037411,0.53,1
5,1,1,3.857861785,0.496068599,0.5,1
