Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SOA,Accuracy,Training
1,1,2,1,1.6929,0.3867,33.3,0,0
1,2,2,1,0.8398,0.3334,33.3,1,0
1,1,1,1,1.1331,0.4132,33.3,1,0
1,2,2,4,0.8132,1.1465,66.7,1,0
1,1,1,4,0.6665,0.32,133.3,1,0
1,1,2,1,1.293,1.0265,16.7,0,0
1,1,1,1,1.9995,1.7729,16.7,1,0
1,1,2,1,0.9065,0.9332,16.7,0,0
1,2,2,2,1.3463,1.2264,66.7,1,0
1,2,2,4,0.4133,0.36,133.3,1,0
1,1,1,3,0.6532,0.4267,66.7,1,0
1,2,1,3,1.0797,0.2934,33.3,0,0
1,2,2,1,0.8398,0.5066,16.7,1,0
1,2,2,4,0.5599,0.2667,133.3,1,0
1,2,2,4,0.4666,0.2667,133.3,1,0
1,1,1,1,0.8665,3.2657,33.3,1,0
1,2,2,2,1.4263,2.3594,16.7,1,0
1,1,1,2,0.9465,0.9065,66.7,1,0
1,2,1,2,0.7332,0.5999,16.7,0,0
1,1,1,4,0.8532,0.8132,133.3,1,0
1,1,2,2,1.0398,5.3717,16.7,0,0
1,2,2,4,0.52,0.5866,66.7,1,0
1,2,2,4,0.4,0.9332,133.3,1,0
1,2,2,1,2.8125,0.2534,16.7,1,0
1,1,2,2,0.7732,0.3467,16.7,0,0
1,2,2,1,1.213,0.6133,16.7,1,0
1,2,2,2,0.9731,0.3467,33.3,1,0
1,1,2,1,0.7998,0.7866,33.3,0,0
1,1,1,3,0.7732,0.3334,66.7,1,0
1,1,2,3,0.8132,0.2667,66.7,0,0
1,1,1,4,0.48,0.3867,133.3,1,0
1,2,2,2,2.5059,0.3732,33.3,1,0
1,2,2,3,0.6799,0.3067,33.3,1,0
1,1,1,4,0.4666,0.2534,133.3,1,0
1,2,2,3,0.8798,0.2667,33.3,1,0
1,1,1,3,1.2264,0.2534,66.7,1,0
1,1,1,4,0.5333,0.3867,133.3,1,0
1,1,1,3,0.7199,2.2661,66.7,1,0
1,1,2,1,1.293,3.7989,33.3,0,0
1,2,2,4,0.5599,0.6399,66.7,1,0
1,1,2,3,0.8132,0.2934,33.3,0,0
1,2,2,4,0.4,0.48,133.3,1,0
1,1,2,1,1.3463,0.3334,33.3,0,0
1,1,1,3,0.6532,0.3733,66.7,1,0
1,1,2,3,2.6525,0.7066,66.7,0,0
1,1,1,3,0.7999,0.3867,66.7,1,0
1,2,1,3,0.9998,2.0128,33.3,0,0
1,2,2,3,0.5466,0.3201,66.7,1,0
1,2,2,2,1.2264,0.6266,33.3,1,0
1,1,1,1,3.3856,1.4397,66.7,1,0
1,2,2,2,2.6392,0.3067,133.3,1,0
1,2,2,4,0.5466,0.2801,133.3,1,0
1,1,1,4,0.4933,0.2801,133.3,1,0
1,2,2,2,1.7729,2.6393,16.7,1,0
1,1,2,2,1.0398,0.2801,16.7,0,0
1,1,1,2,0.7999,1.1731,33.3,1,0
1,2,2,4,0.4933,0.9732,66.7,1,0
1,2,2,3,0.9598,0.9199,16.7,1,0
1,2,2,4,0.7732,0.3867,33.3,1,0
1,1,1,4,0.5866,0.2934,133.3,1,0
1,2,2,2,1.5063,1.173,16.7,1,0
1,2,2,2,0.9864,0.2934,16.7,1,0
1,1,1,4,0.6932,0.2534,66.7,1,0
1,2,2,4,0.44,0.5333,133.3,1,0
1,2,2,4,0.4133,0.3867,133.3,1,0
1,2,2,3,1.2797,1.3464,33.3,1,0
1,1,1,3,1.5329,0.3867,66.7,1,0
1,2,1,3,0.6799,1.1464,33.3,0,0
1,1,2,2,1.413,0.7732,33.3,0,0
1,2,2,4,0.4,0.3467,133.3,1,0
1,1,2,2,1.1197,2.3993,16.7,0,0
1,2,2,4,0.4933,2.1328,66.7,1,0
1,2,2,3,0.4533,3.9322,33.3,1,0
1,1,2,1,0.7598,1.5996,16.7,0,0
1,1,1,4,0.4666,0.2267,133.3,1,0
1,1,1,2,1.9594,0.4133,33.3,1,0
1,2,2,3,0.7332,0.4,33.3,1,0
1,1,1,4,0.5999,0.5466,66.7,1,0
1,2,2,4,0.5199,0.3067,66.7,1,0
1,1,2,2,2.3993,0.8799,16.7,0,0
1,2,2,2,0.9865,0.3599,16.7,1,0
1,1,1,4,0.4933,0.1867,133.3,1,0
1,2,2,4,0.4533,0.2534,133.3,1,0
1,2,2,2,0.9598,0.9732,16.7,1,0
1,2,2,3,0.8265,1.7995,33.3,1,0
1,1,2,2,5.8648,0.9465,33.3,0,0
1,2,2,3,0.4933,0.9598,66.7,1,0
1,1,1,3,0.6665,0.2401,66.7,1,0
1,2,1,3,1.0398,0.36,16.7,0,0
1,1,1,4,0.4666,0.2001,133.3,1,0
1,2,1,3,0.7465,1.1464,16.7,0,0
1,2,2,4,0.4533,0.2934,133.3,1,0
1,1,1,2,0.9464,0.36,16.7,1,0
1,2,2,1,1.9461,0.3867,16.7,1,0
1,2,2,2,4.5452,0.7599,133.3,1,0
1,2,2,4,0.4133,0.3467,66.7,1,0
1,2,2,4,0.3467,0.2134,133.3,1,0
1,2,2,4,0.3467,0.1602,133.3,1,0
1,1,1,3,1.5463,2.2394,33.3,1,0
