Subj_idx,Block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
3,1,37,1.5,0.54379,1.2003,3,1.9552,1,0.37007
3,1,38,1.5,0.81139,1.3854,2,1.2939,1,2.3134
3,1,39,1.5,0.46726,1.4667,3,0.72823,1,1.213
3,1,40,1.5,0.0084416,0.61962,1,2.3104,0,0.69961
3,1,41,1.5,0.53258,1.3987,3,1.2782,1,0.54132
3,1,42,1.5,0.38418,1.2164,3,1.792,1,0.2867
3,1,43,1.5,0.50587,1.5592,3,0.7385,0,1.2478
3,1,44,1.5,0.5195,1.6025,2,2.1315,1,2.9416
3,1,45,1.5,0.35257,1.6166,3,0.61643,1,0.24389
3,1,46,1.5,0.45483,2.2472,1,1.3117,1,0.7288
3,1,47,1.5,0.26362,1.2641,3,0.72774,1,0.44253
3,1,48,1.5,0.42877,1.3751,3,1.2993,0,1.1538
3,1,49,1.5,0.30226,1.2316,3,1.3284,0,0.87887
3,1,50,1.5,0.45572,1.86,2,1.138,1,1.2093
3,1,51,1.5,0.83246,1.1642,3,0.75242,1,0.89596
3,1,52,1.5,0.44776,1.4746,2,0.85004,0,1.3175
3,1,53,1.5,0.59215,1.9266,2,0.77593,1,0.85174
3,1,54,1.5,4.0636,1.7583,3,1.8619,0,1.0516
3,1,55,1.5,3.9221,1.9987,2,1.352,1,1.0179
3,1,56,1.5,2.4392,1.7433,3,1.4125,1,1.2053
3,1,57,1.5,1.3915,1.71,2,0.93874,1,1.4601
3,1,58,1.5,0.43011,1.0765,3,0.72441,0,1.3003
3,1,59,1.5,1.356,1.5545,2,3.1331,0,1.6515
