Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
2,1,NaN,NaN,NaN,NaN,0.41,1
2,1,1,62,2.134,3.2801,0.51,2
2,2,1,18,1.551,3.547,0.51,2
2,2,NaN,NaN,NaN,NaN,0.41,1
2,2,2,73,2.701,2.3637,0.56,2
2,1,2,45,2.351,1.5806,0.56,2
2,1,2,5,4.034,1.8974,0.61,2
2,2,1,30,1.951,2.214,0.66,2
2,2,1,65,2.151,1.9139,0.71,2
2,2,2,99,1.651,1.814,0.41,1
2,2,2,77,1.951,2.3135,0.76,2
2,1,NaN,NaN,NaN,NaN,0.41,1
2,1,1,100,2.401,1.9305,0.41,1
2,1,NaN,NaN,NaN,NaN,0.36,1
2,2,2,3,7.449,3.0802,0.76,2
2,2,1,6,3.35,1.9143,0.71,2
2,2,2,78,1.151,2.4471,0.36,1
2,1,1,67,2.351,2.1142,0.76,2
2,2,2,100,1.401,2.2306,0.36,1
2,2,1,36,3.101,2.2636,0.76,2
2,2,1,35,1.501,2.6469,0.81,2
2,1,1,92,2.301,2.0476,0.31,1
2,1,1,95,2.001,1.7975,0.31,1
2,1,2,88,2.801,2.2139,0.26,1
2,2,2,58,3.9,3.8803,0.86,2
2,2,2,98,1.351,2.1306,0.31,1
2,2,2,64,3.001,1.9973,0.86,2
2,1,NaN,NaN,NaN,NaN,0.31,1
2,2,2,92,1.301,1.514,0.31,1
2,2,2,34,3.051,1.9313,0.81,2
2,1,2,84,1.301,1.8475,0.26,1
2,1,1,33,1.734,2.1139,0.81,2
2,1,1,7,3.25,2.2809,0.76,2
2,2,2,85,4.901,1.7806,0.31,1
2,1,1,76,2.068,1.9805,0.76,2
2,2,2,52,7.8,1.814,0.31,1
2,1,1,37,2.084,1.9976,0.71,2
2,2,2,84,2.051,1.9307,0.26,1
2,2,2,90,1.451,1.981,0.26,1
2,1,1,76,2.767,1.7306,0.71,2
2,1,1,96,1.601,1.8142,0.21,1
2,2,1,32,2.25,2.314,0.66,2
2,2,2,100,1.401,3.1469,0.21,1
2,2,1,82,2.051,1.4309,0.71,2
2,1,2,86,1.501,1.5144,0.16,1
2,1,2,74,1.901,1.6307,0.21,1
2,1,1,6,4.55,2.8973,0.76,2
2,1,1,100,1.401,1.7479,0.26,1
2,1,1,91,1.801,1.5807,0.76,2
2,2,2,93,2.201,1.9475,0.26,1
2,1,1,93,1.001,1.7306,0.21,1
2,1,1,83,1.651,1.6806,0.71,2
2,1,1,86,2.651,1.8645,0.21,1
2,1,1,71,3.3,1.5808,0.16,1
2,1,2,2,2.65,2.2138,0.71,2
2,2,2,2,6.55,2.464,0.76,2
2,1,1,51,2.401,2.2811,0.16,1
2,2,2,23,1.901,1.964,0.11,1
2,2,1,56,1.301,2.214,0.11,1
2,1,1,30,1.951,1.7477,0.16,1
2,2,2,82,2.55,1.9808,0.76,2
2,1,2,96,2.451,2.6305,0.71,2
2,2,2,94,1.601,3.0309,0.76,2
2,1,NaN,NaN,NaN,NaN,0.36,3
2,1,NaN,NaN,NaN,NaN,0.36,3
2,2,2,100,3.557,2.2454,0.36,3
2,2,2,98,3.008,2.6802,0.36,3
2,2,2,96,2.608,2.1804,0.31,3
