Subj_idx,Stimulus,Response,Confidence,RT_decConf,SOA,Session,Gender,Age,Training
1,2,2,0.134905012589,1.94092239544,16.7,1,female,23,0
1,1,1,1,2.16587674532,66.7,1,female,23,0
1,1,1,1,1.940915017,66.7,1,female,23,0
1,2,1,-0.273456931411,2.49084976588,8.3,1,female,23,0
1,1,1,0.904753185321,1.94113829516,133.3,1,female,23,0
1,1,1,-1.52590218967e-05,2.63252745744,33.3,1,female,23,0
1,2,2,0.69839017319,2.14090423805,66.7,1,female,23,0
1,1,1,0.158739604791,2.20757490405,16.7,1,female,23,0
1,1,1,0.936491950866,2.14924797606,66.7,1,female,23,0
1,1,1,0.76983291371,1.87425718308,66.7,1,female,23,0
1,1,1,-1,4.14062481955,16.7,1,female,23,0
1,2,1,-0.531273365377,2.01590151123,8.3,1,female,23,0
1,1,1,-0.960967421988,2.68276664738,8.3,1,female,23,0
1,2,1,-0.695338368811,1.81590298692,8.3,1,female,23,0
1,1,1,-0.0859540703441,2.84941010937,16.7,1,female,23,0
1,2,1,-0.343770504311,2.19092079143,8.3,1,female,23,0
1,1,2,-0.1953307393,2.37444517302,16.7,1,female,23,0
1,1,1,0.24602121004,2.04106682048,33.3,1,female,23,0
1,1,1,0.563469901579,2.3075406424,133.3,1,female,23,0
1,1,1,0.365072098878,1.96591543404,16.7,1,female,23,0
1,2,1,0.24602121004,1.87421772444,16.7,1,female,23,0
1,1,2,-0.0468909742885,2.66609681546,16.7,1,female,23,0
1,2,2,0.269825284199,3.28271730804,8.3,1,female,23,0
1,1,1,0.0476234073396,2.31593667113,16.7,1,female,23,0
1,2,2,-1.52590218967e-05,2.02426289335,33.3,1,female,23,0
1,1,2,-1,6.21562446667,33.3,1,female,23,0
1,2,1,-0.929716945144,3.94098815984,16.7,1,female,23,0
1,1,2,-0.312520027466,2.41611285556,33.3,1,female,23,0
1,1,1,-0.0703288319219,3.04940061363,8.3,1,female,23,0
1,2,2,1,2.5242218307,133.3,1,female,23,0
1,1,2,0.087296864271,2.96584934884,8.3,1,female,23,0
1,1,1,1,2.10778785239,133.3,1,female,23,0
1,1,1,-0.367208361944,2.78256749352,16.7,1,female,23,0
1,2,2,0.420614938582,2.12427835601,66.7,1,female,23,0
1,1,1,0.301594567788,2.31593538792,33.3,1,female,23,0
1,2,2,0.603173876555,2.03246098727,133.3,1,female,23,0
1,1,2,-0.835965514611,3.47415683623,8.3,1,female,23,0
1,1,2,-0.539085984588,2.88274431956,8.3,1,female,23,0
1,2,1,-1.52590218967e-05,2.14118493976,33.3,1,female,23,0
1,1,1,1,3.1410601478,133.3,1,female,23,0
1,1,2,0.373006790265,2.32421945677,16.7,1,female,23,0
1,1,1,0.18254367895,2.34935878106,33.3,1,female,23,0
1,2,1,0.396810864424,2.54910355102,66.7,1,female,23,0
1,2,2,0.126970321202,2.38276613409,33.3,1,female,23,0
1,2,2,0.555535210193,2.34087421099,133.3,1,female,23,0
1,2,2,-0.609399557488,3.08249325995,8.3,1,female,23,0
1,1,1,0.825375753414,2.26233098549,133.3,1,female,23,0
1,1,1,-0.460959792477,2.2658793759,33.3,1,female,23,0
1,1,1,-0.531273365377,1.84926446528,16.7,1,female,23,0
1,1,1,-0.515648126955,1.92420187682,16.7,1,female,23,0
