Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Ease
3,1,1,0.56,0.32,0.46,18
3,1,1,0.77,0.44,1.14,17
3,2,1,0.27,0.32,2.24,17
3,1,1,0.58,0.44,0.82,18
3,2,1,0.13,0.36,0.52,18
3,2,2,0.85,0.4,1.3,19
3,1,1,0.76,0.5,0.46,19
3,1,1,0.72,0.36,2.24,18
3,1,1,0.88,0.34,0.56,18
3,1,1,0.78,0.32,2.36,17
3,2,1,0.19,0.34,1.6,17
3,2,2,0.84,0.42,0.48,18
3,1,1,0.84,0.34,1.68,18
3,1,1,0.56,0.32,1.92,17
3,2,2,0.86,0.4,1.32,19
3,1,1,0.54,0.34,1.08,18
3,1,1,0.53,0.34,1.72,18
3,2,1,0.14,0.36,0.5,18
3,2,1,0.39,0.34,1.2,17
3,2,1,0.05,0.32,2.68,17
3,1,1,0.79,0.44,1.18,17
3,1,1,0.49,0.36,1.78,18
3,1,1,0.88,0.5,3.76,19
3,2,2,0.95,0.42,0.7,18
3,1,1,0.55,0.44,0.88,18
3,1,1,0.74,0.48,1.08,17
3,2,2,0.72,0.5,0.54,17
3,2,1,0.15,0.32,0.48,16
3,1,2,0.82,0.34,0.44,17
3,2,2,0.61,0.52,2.76,18
3,1,1,0.57,0.46,0.44,18
3,1,1,0.54,0.32,0.5,17
3,2,2,0.78,0.34,3.16,17
3,2,2,0.77,0.36,1.54,16
3,2,2,0.79,0.52,1.18,16
3,1,1,0.86,0.38,1.72,15
3,2,1,0.24,0.48,1.1,15
3,1,1,0.77,0.48,1.14,17
3,1,1,0.81,0.38,1.62,15
3,2,2,0.56,0.36,1.12,16
3,1,1,0.61,0.32,2.82,17
3,2,2,0.54,0.34,0.5,17
3,2,2,0.9,0.5,3.8,17
3,2,2,0.68,0.52,1.36,18
3,1,2,0.26,0.34,2.26,17
3,1,1,0.53,0.46,0.52,18
3,2,1,0.21,0.48,1.16,15
3,2,1,0.08,0.32,0.96,16
3,2,2,0.82,0.52,1.24,16
3,1,1,0.77,0.34,2.34,16
3,1,1,0.71,0.36,0.56,16
3,1,1,0.89,0.38,1.78,15
3,2,2,0.79,0.58,1.18,15
3,2,1,0.41,0.14,1.96,14
3,1,1,0.8,0.42,1.2,15
3,1,1,0.88,0.32,0.56,15
3,2,2,0.74,0.3,1.08,14
3,2,2,0.84,0.4,1.68,14
3,2,2,0.53,0.52,0.52,13
3,2,1,0.47,0.26,1.74,13
3,2,2,0.56,0.16,0.46,14
3,1,1,0.85,0.34,2.5,16
3,1,1,0.78,0.38,1.56,15
3,2,2,0.64,0.4,1.28,14
3,1,1,0.53,0.36,0.92,16
3,2,2,0.57,0.58,0.74,15
3,2,2,0.57,0.52,0.44,13
3,2,1,0.19,0.14,2.4,14
3,2,2,0.45,0.16,0.68,14
3,2,2,0.62,0.3,0.84,14
