Subj_idx,Block,Trial,Stimulus,Response,Error,Confidence,ErrorDirectionJudgment,RT_conf,RT_directionJudgment,trialFilter,MADFilter
4,2,146,284.1437632,314,29.85623679,1,1,1.057512828,0.274443216,1,1
4,2,147,284.1437632,330,45.85623679,1,2,1.84333727,1.434582963,1,1
4,2,148,182.6638478,186,3.33615222,2,2,1.444361127,1.076285952,1,1
4,2,149,284.1437632,282,-2.143763214,2,2,0.772160208,1.230840345,1,1
4,2,150,182.6638478,202,19.33615222,1,1,1.217164171,0.334707478,1,1
4,2,151,284.1437632,314,29.85623679,2,2,1.194622895,0.371456046,1,1
4,2,152,284.1437632,218,-66.14376321,2,1,0.661412109,2.636396569,1,1
4,2,153,284.1437632,298,13.85623679,2,2,1.279554973,0.462983383,1,1
4,2,154,284.1437632,282,-2.143763214,2,2,0.729192387,0.479691472,1,1
4,2,155,284.1437632,282,-2.143763214,1,1,1.092500657,0.259424472,1,1
4,2,156,466.807611,458,-8.807610994,2,2,4.169795434,0.548705252,1,1
4,2,157,182.6638478,218,35.33615222,2,2,4.837033187,0.575231478,1,1
4,2,158,182.6638478,218,35.33615222,2,2,1.76528344,0.576130998,1,1
4,2,159,284.1437632,234,-50.14376321,3,2,0.74545926,2.735692329,1,1
4,2,160,284.1437632,282,-2.143763214,2,2,0.830374109,1.587128803,1,1
4,2,161,466.807611,522,55.19238901,2,2,1.119904713,1.239588489,1,1
4,2,162,182.6638478,202,19.33615222,2,2,0.753562179,1.086405247,1,1
4,2,163,284.1437632,330,45.85623679,3,2,0.964935416,1.503546295,1,1
4,2,164,182.6638478,218,35.33615222,2,1,1.152791818,1.084940689,1,1
4,2,165,182.6638478,250,67.33615222,1,2,1.253532653,1.130157371,1,1
4,2,166,284.1437632,282,-2.143763214,1,2,1.541233945,0.607916578,1,1
4,2,167,466.807611,426,-40.80761099,2,2,1.31631276,0.230460599,1,1
4,2,168,284.1437632,298,13.85623679,3,2,0.94413059,0.471760095,1,1
4,2,169,284.1437632,282,-2.143763214,2,2,1.393867725,1.952395961,1,1
4,2,170,466.807611,442,-24.80761099,1,2,2.216206654,0.973081817,1,1
4,2,171,466.807611,474,7.192389006,2,2,2.273847509,43.92127084,1,1
4,2,172,466.807611,426,-40.80761099,2,2,1.380833538,0.422466665,1,1
4,2,173,284.1437632,282,-2.143763214,2,2,0.953677009,2.689605704,1,1
4,2,174,182.6638478,186,3.33615222,1,1,0.22882829,0.349911258,1,1
4,2,175,466.807611,426,-40.80761099,2,2,1.464195063,7.254086262,1,1
4,2,176,182.6638478,202,19.33615222,3,2,1.655397714,0.218041049,1,1
4,2,177,284.1437632,282,-2.143763214,1,2,3.229918735,0.511860237,1,1
4,2,178,182.6638478,202,19.33615222,2,2,2.046521218,0.606748338,1,1
4,2,179,466.807611,410,-56.80761099,1,2,1.185202891,0.767990191,1,1
