Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,DotDiff,Accuracy
1,0,0,0.67,0.616,1607,24,1
1,0,0,0.75,1.624,1556,60,1
1,0,0,NaN,0.628,NaN,24,1
1,1,1,0.75,0.66,1724,60,1
1,1,0,NaN,0.582,NaN,24,0
1,0,0,NaN,0.526,NaN,24,1
1,0,0,0.6,0.628,2410,60,1
1,1,0,NaN,0.559,NaN,24,0
1,1,1,NaN,0.68,NaN,24,1
1,1,1,0.51,1.032,2187,60,1
1,0,1,NaN,0.796,NaN,24,0
1,1,1,0.5,0.902,5113,60,1
1,0,0,0.75,0.564,1934,60,1
1,1,1,NaN,0.769,NaN,60,1
1,1,1,NaN,0.889,NaN,60,1
1,1,0,0.5,0.831,2772,24,0
1,0,0,NaN,0.652,NaN,60,1
1,0,0,0.59,0.736,2548,24,1
1,0,0,0.51,0.897,2278,24,1
1,1,1,0.51,0.959,1891,24,1
1,0,0,NaN,0.903,NaN,60,1
1,1,1,NaN,0.696,NaN,60,1
1,1,0,0.51,0.766,1862,24,0
1,0,0,0.53,0.904,1850,24,1
1,1,1,NaN,0.697,NaN,60,1
1,0,0,0.61,0.713,1730,24,1
1,1,1,0.65,0.656,2385,24,1
1,0,0,NaN,0.649,NaN,60,1
1,0,0,NaN,0.7,NaN,60,1
2,1,1,NaN,0.708,NaN,24,1
2,0,1,0.5,0.887,18666,60,0
2,1,1,0.5,1.06,2053,60,1
2,0,0,NaN,0.656,NaN,24,1
2,1,1,NaN,0.917,NaN,24,1
2,1,1,NaN,0.877,NaN,24,1
2,0,0,NaN,0.903,NaN,24,1
2,0,1,0.5,0.842,3231,60,0
2,0,0,NaN,0.754,NaN,24,1
2,0,1,NaN,0.904,NaN,24,0
2,1,1,NaN,0.838,NaN,24,1
2,1,0,1,0.504,3667,60,0
2,1,1,1,0.671,1660,60,1
2,1,1,1,0.841,1484,60,1
2,0,1,0.5,0.936,1972,60,0
2,0,0,1,0.978,1179,60,1
2,1,1,NaN,0.63,NaN,60,1
2,0,0,0.5,0.695,2428,60,1
2,1,1,NaN,0.746,NaN,60,1
2,0,0,NaN,0.614,NaN,60,1
2,1,1,1,0.617,1283,60,1
2,1,1,NaN,0.767,NaN,60,1
2,1,1,NaN,0.602,NaN,60,1
2,1,1,1,0.598,1653,60,1
2,1,1,1,0.543,1348,60,1
2,0,1,0.51,0.815,1459,60,0
2,0,0,NaN,0.674,NaN,60,1
2,0,1,0.5,1.319,75505,60,0
2,0,0,NaN,0.704,NaN,60,1
2,0,0,1,0.57,1413,60,1
2,0,0,NaN,0.634,NaN,60,1
2,1,1,1,0.673,1251,60,1
2,1,1,1,0.567,1556,24,1
2,1,1,1,0.673,1188,24,1
2,1,0,NaN,0.911,NaN,24,0
2,0,0,NaN,0.6,NaN,24,1
2,0,1,NaN,0.454,NaN,24,0
2,1,0,NaN,0.521,NaN,24,0
2,0,0,0.5,0.534,1404,24,1
2,0,1,NaN,0.906,NaN,24,0
2,1,1,NaN,0.471,NaN,24,1
2,0,1,1,0.584,1485,24,0
2,1,1,1,0.598,1475,24,1
2,0,1,NaN,0.674,NaN,24,0
2,0,1,0.5,0.807,1289,24,0
2,0,0,1,0.827,1148,24,1
2,1,1,NaN,0.596,NaN,24,1
2,1,1,0.5,0.701,3419,24,1
2,1,1,1,0.791,3452,60,1
2,0,1,1,0.695,1308,60,0
2,0,0,0.5,0.744,1316,60,1
2,0,0,0.5,0.752,1126,60,1
2,1,1,0.5,0.767,2092,24,1
2,1,1,1,0.679,1516,60,1
2,0,1,0.5,0.742,1083,24,0
2,1,1,0.5,0.664,1173,24,1
2,0,1,0.5,0.866,1252,24,0
2,1,1,1,0.652,1269,24,1
2,1,1,1,0.608,2077,60,1
2,0,1,0.5,1.239,2398,24,0
2,1,1,0.5,2.184,1678,24,1
2,1,1,1,0.665,1503,60,1
2,0,0,1,0.567,1389,60,1
2,0,0,0.5,0.583,1253,24,1
2,1,1,NaN,0.47,NaN,60,1
2,0,1,0.5,0.888,1909,60,0
2,0,1,NaN,0.655,NaN,60,0
2,1,1,1,0.601,1037,60,1
2,1,1,1,0.552,1284,60,1
2,0,0,NaN,0.591,NaN,60,1
2,1,1,NaN,0.471,NaN,60,1
2,1,1,1,0.472,1212,60,1
2,0,0,1,0.679,1078,60,1
2,0,0,0.5,0.525,1372,60,1
2,0,1,NaN,0.534,NaN,60,0
2,1,1,NaN,0.617,NaN,60,1
2,1,1,1,0.518,1340,60,1
2,0,1,0.5,0.969,1491,24,0
2,0,1,0.5,0.608,1164,24,0
2,0,0,1,0.504,2346,60,1
2,0,1,0.5,0.649,1173,24,0
2,0,0,1,0.832,2060,60,1
2,1,1,1,0.584,2717,24,1
2,1,0,1,0.938,1653,60,0
2,1,1,0.5,0.783,1230,24,1
2,1,1,1,0.665,1259,60,1
2,1,1,0.5,0.68,1181,24,1
2,0,0,1,1.079,2404,60,1
2,1,1,NaN,0.568,NaN,60,1
2,0,0,0.5,0.727,1613,24,1
2,1,0,0.5,0.697,1404,24,0
2,0,1,NaN,0.568,NaN,60,0
2,1,1,NaN,0.567,NaN,60,1
2,0,0,0.5,0.532,1754,24,1
2,0,0,NaN,0.534,NaN,60,1
2,0,0,0.5,0.632,1572,24,1
2,1,0,NaN,0.752,NaN,60,0
2,1,1,0.5,0.536,1618,24,1
2,1,1,0.5,0.945,1868,24,1
2,0,0,NaN,0.616,NaN,60,1
2,0,0,NaN,0.473,NaN,60,1
2,1,1,NaN,0.472,NaN,60,1
2,1,0,NaN,0.536,NaN,60,0
2,1,0,NaN,0.504,NaN,60,0
2,0,0,NaN,0.6,NaN,60,1
2,0,0,NaN,0.597,NaN,60,1
2,0,0,1,0.519,2661,60,1
2,0,0,1,0.496,1396,60,1
2,0,0,1,0.687,1605,60,1
2,1,1,1,0.576,1460,60,1
2,1,0,1,0.928,2155,60,0
2,1,1,1,0.711,1789,60,1
2,1,1,0.5,0.534,1805,24,1
2,0,0,NaN,0.613,NaN,60,1
2,1,1,0.5,0.695,4293,24,1
2,0,1,NaN,0.703,NaN,60,0
2,0,0,1,0.772,2117,24,1
2,1,1,NaN,0.864,NaN,60,1
2,0,1,0.5,0.791,1587,24,0
2,0,0,NaN,0.56,NaN,60,1
2,0,1,0.5,0.47,1635,24,0
2,1,1,NaN,0.575,NaN,60,1
2,1,1,1,0.548,1852,24,1
2,0,1,1,0.604,1439,24,0
2,1,1,NaN,0.622,NaN,60,1
2,1,1,NaN,0.459,NaN,60,1
2,0,0,NaN,0.649,NaN,60,1
2,1,1,1,0.375,1867,24,1
2,1,1,NaN,0.678,NaN,60,1
