Subj_idx,Stimulus,Response,Confidence,Visibility,RT_dec,contrast,Accuracy,Training,ScaleOrder
1,1,1,12.0231,12.0231,1.7549,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8155,5,1,0,Visibility first
1,1,2,12.0231,12.0231,0.8692,3.9,0,0,Visibility first
1,1,1,3.511,1.1466,1.2145,3.9,1,0,Visibility first
1,1,2,-3.4883,-2.1642,2.5416,2.2,0,0,Visibility first
1,1,1,0.6738,0.1063,2.0461,3.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.9432,5.5,1,0,Visibility first
1,1,1,4.3622,4.0784,1.5687,3.9,1,0,Visibility first
1,1,1,0.9575,0.8629,1.253,2.2,1,0,Visibility first
1,1,1,0.0117,0.0117,1,2.2,1,0,Visibility first
1,1,2,-0.8402,-0.4619,1.2958,0,0,0,Visibility first
1,1,1,12.0231,12.0231,0.7973,6.9,1,0,Visibility first
1,1,2,0.0117,0.0117,1.0393,2.2,0,0,Visibility first
1,2,2,12.0231,12.0231,1.6312,6.9,1,0,Visibility first
1,2,1,-2.4479,-1.4076,8.1129,5,0,0,Visibility first
1,2,2,-0.4619,-0.651,1.2868,0,1,0,Visibility first
1,2,2,-0.9348,-0.651,1.0022,0,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8375,6.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8878,5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8233,3.9,1,0,Visibility first
1,1,1,2.9435,2.0924,1.4704,2.2,1,0,Visibility first
1,1,1,0.0117,0.0117,2.5712,3.9,1,0,Visibility first
1,2,2,12.0231,12.0231,1.6437,6.9,1,0,Visibility first
1,2,2,10.415,9.9421,0.936,5,1,0,Visibility first
1,2,2,12.0231,12.0231,1.079,5.5,1,0,Visibility first
1,1,2,2.5652,3.7947,1.1476,2.2,0,0,Visibility first
1,2,2,-1.1239,-1.8805,1.8201,0,1,0,Visibility first
1,1,2,-2.7317,-5.3798,2.19,2.2,0,0,Visibility first
1,2,2,12.0231,12.0231,1.4138,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.91,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,1.0412,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8169,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8902,5.5,1,0,Visibility first
1,2,2,6.2537,4.2676,1.2075,2.2,1,0,Visibility first
1,1,1,12.0231,12.0231,1.0605,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,1.0266,3.9,1,0,Visibility first
1,2,2,1.1466,0.9575,0.9807,3.9,1,0,Visibility first
1,2,2,-1.2185,-1.4076,1.146,0,1,0,Visibility first
1,2,2,3.1327,2.5652,1.4801,3.9,1,0,Visibility first
1,1,2,0.5792,0.6738,1.0025,2.2,0,0,Visibility first
1,1,1,11.5499,11.8336,0.8819,5,1,0,Visibility first
1,2,2,1.2412,1.2412,1.2381,2.2,1,0,Visibility first
1,2,2,0.0117,0.0117,1.6915,2.2,1,0,Visibility first
1,2,2,12.0231,12.0231,1.1978,6.9,1,0,Visibility first
1,2,2,4.835,5.4971,0.7913,3.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8188,5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.6634,5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8359,5.5,1,0,Visibility first
