Subj_idx,Stimulus,Response,Confidence,Correct,RT_dec,RT_conf
8,1,2,2,0,1.214054482,1.120508778
8,1,1,2,1,1.861337624,1.71616063
8,2,1,2,0,0.790171342,0.378655434
8,1,1,2,1,0.672400159,0.094875313
8,2,1,2,0,1.875754786,0.372108158
8,2,1,2,0,0.957041027,0.240402204
8,1,1,2,1,1.672753322,1.622829063
8,2,1,2,0,0.736858679,0.256150376
8,1,2,2,0,1.131761937,0.867880701
8,1,1,2,1,1.046734596,0.215411617
8,1,1,2,1,1.203234729,0.389673462
8,1,1,2,1,1.063696211,0.560949052
8,2,2,2,1,2.303671541,0.943946476
8,1,1,2,1,2.352033392,5.205210482
8,2,1,2,0,0.758328369,0.531258645
8,1,1,2,1,1.066899869,0.234285069
8,2,2,1,1,3.126081007,0.743295854
8,1,1,2,1,2.696191766,0.303256796
8,1,1,2,1,1.282791078,0.269198274
8,2,2,1,1,1.641476249,1.3910166
8,2,1,2,0,0.991729364,0.429352732
8,1,1,2,1,0.477016189,0.070327928
8,2,1,2,0,1.33131015,0.443442857
8,2,1,2,0,0.851652937,0.196043176
8,1,2,2,0,2.531036577,0.888700048
8,1,1,2,1,1.383681357,0.44973774
8,2,1,2,0,1.374160422,0.819941992
8,2,1,2,0,1.991404193,0.611110774
8,1,1,2,1,0.831643486,0.270291352
8,1,1,2,1,1.068340979,0.346606254
8,2,1,2,0,1.101729098,0.638078514
8,2,1,2,0,1.561960021,0.32009478
8,2,2,2,1,1.343050366,0.603120056
8,2,1,2,0,0.782432084,0.287301486
8,2,1,2,0,1.153291809,0.614453925
9,2,2,2,1,6.32142159,0.708986339
9,2,1,2,0,4.764671771,1.000934459
9,1,1,2,1,1.351805726,0.920997888
9,2,1,2,0,3.801737543,0.595103213
9,2,1,2,0,1.711422556,1.43471409
9,1,1,2,1,1.572658477,0.628942466
9,1,1,2,1,1.123147003,0.573532753
9,1,1,2,1,2.041495003,1.38618662
9,1,1,2,1,1.781658578,1.222236944
9,2,2,1,1,1.721236471,0.944828217
9,1,1,2,1,1.471946879,0.541015644
9,2,1,2,0,2.711311055,4.140207988
9,1,1,2,1,4.990434745,1.072277555
9,1,1,2,1,1.962639382,0.912073178
9,1,2,2,0,3.198589028,1.6424359
9,1,1,2,1,1.396274388,0.437640163
9,1,1,2,1,5.970271805,0.392170795
9,2,2,1,1,2.0116805,0.853930068
9,2,1,2,0,4.511121364,2.847726625
9,1,1,2,1,2.891785208,1.373646306
9,2,2,2,1,2.901304743,1.087149584
9,1,2,2,0,6.301211997,1.661462374
9,1,1,1,1,2.761982695,0.334348191
9,2,1,1,0,7.062113743,1.383009088
9,2,2,2,1,5.786999408,0.865520995
9,1,1,2,1,5.35095291,2.168381241
9,1,1,2,1,2.574143907,0.784914954
9,2,1,1,0,3.027967979,0.798435447
9,2,1,2,0,2.82244119,1.266996721
9,2,2,2,1,9.420399564,1.431902316
9,2,1,2,0,1.589684472,0.34465896
9,2,1,2,0,4.118626332,1.658753704
9,2,1,1,0,1.862488086,1.266713071
9,1,1,2,1,2.004100328,0.749242239
9,2,1,2,0,1.611507324,0.856401742
9,1,1,2,1,1.048544265,0.569532729
9,1,1,2,1,2.066105836,3.180002958
9,2,2,2,1,3.701751399,1.094576268
9,2,1,2,0,1.242530979,0.219011825
9,1,1,2,1,1.560158751,0.589585568
9,2,1,2,0,5.830464099,0.628143768
9,1,1,1,1,0.135361679,3.255061962
9,2,1,2,0,1.831630889,0.385026828
9,1,2,1,0,7.58081108,1.361946678
10,2,1,1,0,4.863149625,0.601671015
10,1,2,1,0,1.513067726,0.669409705
10,1,1,1,1,2.342687873,0.678314821
10,2,1,2,0,4.290607314,0.663057439
10,1,1,2,1,1.401424875,0.740399172
10,1,1,2,1,5.561158057,0.737366263
10,1,2,1,0,2.417053614,0.391202279
10,2,2,2,1,5.50300655,1.007560578
10,2,1,1,0,3.451678037,0.517641115
10,1,2,1,0,1.796817989,0.287027633
10,1,1,2,1,1.493739407,0.369275391
10,1,1,2,1,1.802685997,0.631976774
10,2,1,2,0,2.766973628,1.303359433
10,2,1,2,0,2.023944162,0.592672594
10,2,1,2,0,3.410907554,5.499392345
10,1,2,1,0,1.38796643,0.490298752
10,2,2,2,1,2.551023636,0.422766268
10,2,2,1,1,3.991807741,1.637022758
10,1,2,1,0,2.951997376,2.091853601
10,1,1,2,1,1.531151344,1.464506666
10,1,2,1,0,1.607249309,0.750615236
10,2,1,1,0,2.09201642,0.296950716
10,2,1,2,0,2.183075521,0.365331817
10,1,1,2,1,2.421658261,0.712441456
10,2,2,2,1,3.331712765,0.802735449
10,2,2,2,1,3.272040372,0.829459661
10,1,2,1,0,2.931382836,0.254818434
10,2,1,2,0,1.695639395,0.241933821
10,1,2,2,0,6.353014504,0.851090769
10,1,1,2,1,4.462443206,0.502657586
10,2,1,2,0,1.75258539,0.135985429
10,1,2,1,0,3.078048992,0.67050185
10,1,1,2,1,1.612208985,1.498104724
10,1,1,2,1,1.731027993,0.257897062
10,1,1,2,1,1.309881515,0.273867768
10,2,1,2,0,2.626035987,0.454238351
10,2,1,2,0,1.592874135,0.895425538
10,1,1,2,1,3.301911791,0.768767434
10,2,1,2,0,1.81221253,0.617932836
10,2,1,2,0,1.581449759,0.9936496
10,2,2,1,1,2.201394737,1.013667449
10,2,2,1,1,3.211587008,1.12801104
10,2,1,2,0,2.054612414,0.91206618
10,1,1,1,1,4.231303479,1.064128684
11,2,1,1,0,4.531877264,0.494052448
