Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy
10,1,2,2.76875,0.719,0.92,0.41,0
10,1,1,5.7875,0.838,1.242,0.43,1
10,2,2,2.60625,0.694,1.223,0.41,1
10,2,2,5.6125,0.392,1.368,0.39,1
10,2,2,4.33125,0.56,0.974,0.37,1
10,1,1,2.81875,1.222,0.646,0.35,1
10,2,2,5.2,0.765,1.018,0.33,1
10,1,1,4.75,0.845,0.821,0.31,1
10,2,1,3.725,0.713,0.704,0.33,0
10,2,2,3.95625,0.845,0.812,0.35,1
10,1,2,2.6,0.703,0.779,0.37,0
10,1,2,2.88125,1.319,0.965,0.39,0
10,1,2,3.01875,0.819,1.01,0.41,0
10,1,2,3.725,0.553,0.758,0.43,0
10,2,2,4.675,0.55,1.079,0.45,1
10,2,2,4.50625,0.385,0.955,0.43,1
10,1,1,4.1875,0.805,0.844,0.41,1
10,1,1,4.06875,1.247,0.704,0.39,1
10,2,2,4.975,0.466,1.132,0.37,1
10,2,2,3.8875,0.686,0.892,0.35,1
10,1,2,4.15,0.595,0.777,0.37,0
10,1,2,2.1875,0.901,1.291,0.39,0
10,2,2,4.43125,0.524,0.723,0.41,1
10,1,1,5.40625,0.723,0.79,0.39,1
10,1,2,4.675,0.475,1.014,0.41,0
10,1,2,3.075,0.851,0.589,0.43,0
10,2,2,4.43125,0.381,0.653,0.45,1
10,1,1,1.9875,0.541,1.241,0.43,1
10,1,2,4.6875,0.572,0.827,0.45,0
10,1,1,4.5375,0.688,0.78,0.47,1
10,2,2,4.58125,0.457,0.669,0.45,1
10,2,2,4.45625,0.441,0.884,0.43,1
10,2,2,4.3,0.387,1.057,0.41,1
10,1,2,2.51875,1.002,1.013,0.43,0
10,2,2,4.89375,0.315,0.976,0.45,1
10,1,2,5.35625,0.301,0.807,0.47,0
10,1,2,2.8625,0.676,1.028,0.49,0
10,1,2,3.1375,1.084,0.837,0.51,0
10,2,2,5.78125,0.586,0.773,0.53,1
10,1,1,5.31875,0.746,0.835,0.51,1
10,1,1,3.93125,0.676,0.782,0.49,1
10,1,2,3.8375,1.091,0.858,0.51,0
10,1,2,3.96875,0.716,0.866,0.53,0
10,2,2,5.3375,0.368,1.21,0.55,1
10,2,1,3.025,0.998,0.882,0.57,0
10,1,1,4.7875,0.741,0.912,0.59,1
10,1,2,3.3125,0.837,0.972,0.61,0
10,2,2,6,0.44,1.432,0.63,1
10,1,1,5.99375,0.695,3.18,0.61,1
10,2,2,5.94375,0.371,1.549,0.59,1
10,2,2,4.98125,0.536,0.811,0.57,1
10,1,1,4.48125,0.763,0.667,0.55,1
10,2,2,5.95625,0.475,1.501,0.53,1
10,1,1,3.81875,0.586,0.717,0.51,1
10,2,2,6,0.262,1.9,0.49,1
10,1,2,3.7375,0.509,1.123,0.51,0
10,1,1,6,0.609,1.595,0.53,1
10,1,1,5.2,0.651,1.263,0.51,1
10,2,2,5.48125,0.332,0.765,0.49,1
10,2,2,6,0.616,1.615,0.47,1
10,1,2,4.7125,0.503,1.682,0.49,0
10,2,2,3.45,0.847,0.536,0.51,1
10,2,2,5.9375,0.485,2.081,0.49,1
10,1,1,4.43125,0.685,0.959,0.47,1
10,1,1,3.1,1.031,0.676,0.45,1
10,1,2,3.99375,0.591,0.632,0.47,0
10,2,2,4.71875,0.5,0.72,0.49,1
10,2,2,3.84375,0.406,0.981,0.47,1
10,2,2,5.41875,0.571,0.981,0.45,1
10,1,2,1.69375,1.925,1.017,0.47,0
10,2,2,4.70625,0.465,6.065,0.49,1
10,2,2,2.875,1.22,0.666,0.47,1
10,2,2,5.94375,0.406,1.187,0.45,1
10,1,1,6,0.757,1.006,0.43,1
10,1,1,3.8125,0.781,0.789,0.41,1
10,2,2,5.85625,0.449,1.326,0.39,1
10,2,2,3.5,0.588,0.408,0.37,1
10,2,1,5.325,0.448,1.042,0.39,0
10,1,2,3.3125,0.682,0.892,0.41,0
10,1,1,5.1,0.704,1.111,0.43,1
10,2,1,4.1375,1.116,0.722,0.45,0
10,2,2,5.96875,0.539,2.255,0.47,1
10,1,1,4.3375,0.747,1.109,0.45,1
10,2,2,5.03125,0.397,0.721,0.43,1
10,1,2,2.89375,0.631,1.012,0.45,0
10,2,2,5.6875,0.595,0.998,0.47,1
10,2,2,4.04375,0.599,1.03,0.45,1
10,2,2,5.3875,0.317,0.892,0.43,1
10,2,1,2.15625,0.562,1.156,0.45,0
10,2,2,5.875,0.288,1.585,0.47,1
10,1,1,3.04375,0.577,1.454,0.45,1
10,1,1,4.525,0.81,0.715,0.43,1
10,2,2,3.90625,0.796,0.821,0.41,1
10,2,2,6,0.388,2.049,0.39,1
10,1,2,3.2125,0.508,0.812,0.41,0
10,1,2,3.21875,1.29,0.901,0.43,0
10,1,1,5.29375,0.637,1.116,0.45,1
10,1,1,4.7625,0.662,0.922,0.43,1
10,1,1,3.5,0.737,0.414,0.41,1
10,1,1,3.5,0.686,0.387,0.39,1
10,1,1,3.7625,0.607,0.765,0.37,1
10,2,2,3.0375,0.622,1.775,0.35,1
10,2,2,2.65625,0.354,0.988,0.33,1
10,1,2,4.9875,0.666,2.116,0.35,0
10,1,1,5.39375,0.532,0.959,0.37,1
10,2,2,4.59375,0.193,0.818,0.35,1
10,1,2,3.78125,0.525,1.16,0.37,0
10,1,2,1.9375,0.325,1.396,0.39,0
10,2,1,2.45,0.468,0.633,0.41,0
10,1,1,5.20625,0.69,0.682,0.43,1
10,1,1,3.8625,0.563,0.866,0.41,1
10,2,2,3.925,1.081,1.033,0.39,1
10,1,1,3.9375,0.623,0.885,0.37,1
10,1,1,4.99375,0.439,0.873,0.35,1
10,2,2,6,0.482,1.059,0.33,1
10,2,2,5.6875,0.425,1.207,0.31,1
10,2,1,3.4625,1.143,0.546,0.33,0
10,1,2,4.025,1.264,1.037,0.35,0
10,1,1,3.975,0.747,0.935,0.37,1
10,1,1,4.775,0.515,3.112,0.35,1
10,1,2,4.65,0.553,0.793,0.37,0
10,1,2,5.575,0.606,1.148,0.39,0
10,2,1,3.93125,0.633,0.56,0.41,0
10,2,2,5.5625,1.025,1.164,0.43,1
10,2,2,2.6,0.505,0.682,0.41,1
10,1,1,2.78125,1.448,0.807,0.39,1
10,2,2,4.025,0.632,0.722,0.37,1
10,2,2,4.1625,0.557,0.874,0.35,1
10,2,1,3.0625,1.037,0.672,0.37,0
10,1,1,3.5,0.627,0.909,0.39,1
10,1,2,3.96875,0.339,0.787,0.41,0
10,1,1,3.89375,0.698,0.635,0.43,1
10,2,1,2.86875,0.827,0.597,0.45,0
10,1,2,4.29375,0.589,0.885,0.47,0
10,2,2,4.33125,0.606,1.126,0.49,1
10,1,2,4.6875,0.514,0.901,0.51,0
10,1,1,3.06875,1.235,0.834,0.53,1
10,2,2,4.70625,0.356,1.294,0.51,1
10,2,2,4.89375,0.342,3.456,0.49,1
10,1,2,5.6875,0.476,0.792,0.51,0
10,1,1,2.1,0.784,1.285,0.53,1
10,1,1,5.04375,0.685,1.13,0.51,1
10,1,1,3.5,0.567,0.443,0.49,1
10,2,2,5.6375,0.233,0.661,0.47,1
10,2,2,4.15625,0.77,1.211,0.45,1
10,2,2,3.89375,0.231,1.135,0.43,1
10,2,1,3.05625,1.133,0.702,0.45,0
10,2,1,4.775,0.614,1.193,0.47,0
10,2,1,4.6375,0.59,0.868,0.49,0
10,1,1,4.40625,0.475,0.982,0.51,1
10,1,1,1.675,NaN,1.668,0.49,1
10,1,1,5.24375,0.791,1.653,0.47,1
10,1,1,3.5,0.562,0.4,0.45,1
10,2,2,3.84375,0.434,0.793,0.43,1
10,1,2,5.04375,0.354,0.903,0.45,0
10,1,1,3.73125,0.979,0.948,0.47,1
10,1,1,3.69375,0.665,0.898,0.45,1
10,1,1,4.46875,0.449,1.668,0.43,1
10,1,2,4.51875,0.18,1.027,0.45,0
10,1,2,2.30625,0.572,0.495,0.47,0
10,2,2,4.65,0.417,1.38,0.49,1
10,2,2,4.50625,0.492,0.805,0.47,1
10,1,1,3.94375,0.409,1.024,0.45,1
10,1,2,1.13125,0.777,1.468,0.47,0
10,1,1,2.11875,0.669,1.78,0.49,1
10,1,1,5.88125,0.64,1.193,0.47,1
10,2,2,5.65,0.427,0.729,0.45,1
10,1,2,4.1875,0.845,0.781,0.47,0
10,1,1,3.0125,0.918,0.804,0.49,1
10,2,2,4.7125,1.29,1.55,0.47,1
10,1,2,5.88125,0.546,1.271,0.49,0
10,2,2,4.9875,0.283,2.87,0.51,1
10,2,2,3.05625,0.55,0.914,0.49,1
10,1,2,5.01875,0.659,0.984,0.51,0
10,1,2,5.50625,0.32,3.455,0.53,0
10,1,2,4.9,0.52,14.103,0.55,0
10,2,1,3.79375,1.462,0.871,0.57,0
100,1,2,1.20625,NaN,1.895,0.78,0
100,1,1,5.525,0.933,1.02,0.8,1
100,2,2,5.93125,0.6,1.169,0.78,1
100,1,2,5.49375,0.999,0.886,0.8,0
100,1,2,4.875,0.633,1.32,0.82,0
100,1,1,3.9875,0.699,1.654,0.84,1
100,2,2,5.1875,0.567,1.07,0.82,1
100,2,2,4.45,0.65,0.871,0.8,1
100,2,1,1.28125,1.116,1.804,0.82,0
100,2,2,5.8125,0.783,1.603,0.84,1
100,2,2,5.06875,0.333,1.337,0.82,1
100,1,1,4.0875,0.9,0.888,0.8,1
100,1,1,3.95,1.016,0.652,0.78,1
100,1,1,4.59375,0.633,1.286,0.76,1
100,2,2,5.975,0.351,1.17,0.74,1
100,2,2,4.25,0.633,0.77,0.72,1
100,2,2,5.46875,0.35,1.171,0.7,1
100,2,1,2.9,1.2,0.752,0.72,0
100,2,2,4.99375,0.35,1.02,0.74,1
100,2,2,5.11875,0.383,1.603,0.72,1
100,1,1,2.48125,1.049,1.103,0.7,1
100,2,2,4.375,0.516,0.704,0.68,1
100,2,2,4.075,0.45,0.737,0.66,1
100,1,1,4.36875,0.833,0.87,0.64,1
100,1,1,4.68125,0.75,0.987,0.62,1
100,2,2,3.78125,1.233,0.737,0.6,1
100,2,1,2.80625,1.05,0.986,0.62,0
100,2,2,5.41875,0.35,0.82,0.64,1
100,1,1,2.9125,1.782,1.453,0.62,1
100,2,2,4.0875,0.5,0.687,0.6,1
100,2,2,2.70625,1.799,1.171,0.58,1
100,1,1,4.34375,0.666,0.703,0.56,1
100,1,1,1.20625,1.1,0.803,0.54,1
100,2,2,1.84375,0.767,0.969,0.52,1
100,2,1,2.95,0.916,1.037,0.54,0
100,2,1,3.5,1.066,0.37,0.56,0
100,1,1,3.9375,0.683,0.753,0.58,1
100,2,2,4.1,1.1,0.653,0.56,1
100,1,2,3.7875,1.266,0.57,0.58,0
100,1,2,3.7875,1.167,0.519,0.6,0
100,1,2,4.19375,0.667,0.686,0.62,0
100,2,2,4.53125,1.416,0.903,0.64,1
100,2,2,3.79375,0.833,0.57,0.62,1
100,2,2,4.84375,0.966,0.721,0.6,1
100,1,2,3.04375,0.933,0.62,0.62,0
100,2,2,4.0375,1.183,1.121,0.64,1
100,1,2,3.24375,1.666,0.786,0.66,0
100,2,2,4.60625,0.416,0.72,0.68,1
100,1,1,3.25,1.783,0.804,0.66,1
100,1,1,4.56875,1.016,0.769,0.64,1
100,1,1,3.75,0.799,1.003,0.62,1
100,2,2,2.39375,1.066,0.487,0.6,1
100,2,2,5.53125,0.333,1.32,0.58,1
100,2,2,4.61875,1,1.32,0.56,1
100,1,2,4.60625,0.883,0.62,0.58,0
100,1,2,4.23125,0.966,0.52,0.6,0
100,1,1,3.8125,0.766,0.669,0.62,1
100,2,1,1.69375,0.816,1.086,0.64,0
100,1,1,4.4875,1.466,0.852,0.66,1
100,1,1,2.88125,1.283,0.436,0.64,1
100,1,1,3.8125,1.782,0.62,0.62,1
100,2,2,4.33125,0.583,0.87,0.6,1
100,2,1,1.90625,0.733,0.87,0.62,0
100,2,1,4.0125,1.367,0.453,0.64,0
100,1,1,2.25,1.366,1.103,0.66,1
100,2,2,5.21875,0.483,0.97,0.64,1
100,1,1,4.8375,0.8,0.887,0.62,1
100,1,1,2.74375,0.933,0.421,0.6,1
100,2,2,2.78125,1.05,0.987,0.58,1
