Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,Coherence,Condition,Volatility,Training
1,1,1,5,NaN,NaN,2.1998,0.05,0,1,0
1,1,1,4,NaN,NaN,1.8165,0.1,0,1,0
1,0,0,6,NaN,NaN,0.94983,0.4,0,0,0
1,0,0,6,NaN,NaN,0.7499,0.1,0,1,0
1,0,0,6,NaN,NaN,0.91655,0.4,0,1,0
1,0,0,6,NaN,NaN,1.0332,0.4,0,0,0
1,1,1,5,NaN,NaN,1.7665,0,0,1,0
1,0,1,5,NaN,NaN,1.4498,0,0,1,0
1,0,0,6,NaN,NaN,0.96648,0.2,0,1,0
1,1,1,5,NaN,NaN,1.7665,0,0,0,0
1,0,0,5,NaN,NaN,0.93319,0.2,0,1,0
1,0,0,6,NaN,NaN,0.64985,0.2,0,0,0
1,0,0,5,NaN,NaN,0.66658,0.2,0,0,0
1,1,1,5,NaN,NaN,1.4998,0.1,0,0,0
1,1,1,6,NaN,NaN,1.0332,0.2,0,0,0
1,1,1,6,NaN,NaN,0.76652,0.4,0,1,0
1,0,0,5,NaN,NaN,1.6498,0,0,0,0
1,1,1,5,NaN,NaN,1.0999,0.1,0,0,0
1,1,1,6,NaN,NaN,0.86653,0.4,0,0,0
1,0,0,6,NaN,NaN,0.86649,0.1,0,1,0
1,0,1,6,NaN,NaN,1.8165,0,0,0,0
1,1,1,6,NaN,NaN,1.5998,0.05,0,0,0
1,0,0,6,NaN,NaN,0.93319,0.4,0,1,0
1,0,0,6,NaN,NaN,0.86651,0.2,0,0,0
1,1,1,6,NaN,NaN,0.91651,0.4,0,1,0
1,0,0,6,NaN,NaN,1.1332,0.1,0,1,0
1,0,0,6,NaN,NaN,1.2165,0.4,0,1,0
1,1,1,5,NaN,NaN,1.1665,0,0,0,0
1,0,0,6,NaN,NaN,0.68317,0.4,0,0,0
1,1,1,5,NaN,NaN,1.5497,0,0,1,0
1,0,0,5,NaN,NaN,0.88319,0.05,0,1,0
1,1,1,6,NaN,NaN,0.98314,0.4,0,0,0
1,0,0,6,NaN,NaN,0.63321,0.2,0,1,0
1,0,1,5,NaN,NaN,1.6498,0.05,0,0,0
1,0,1,5,NaN,NaN,0.98323,0,0,1,0
1,0,0,5,NaN,NaN,0.93318,0.1,0,0,0
1,1,1,5,NaN,NaN,0.76655,0.2,0,1,0
1,1,1,6,NaN,NaN,0.84958,0.2,0,1,0
1,0,0,5,NaN,NaN,0.91647,0.1,0,0,0
1,1,1,6,NaN,NaN,0.89988,0.4,0,1,0
1,1,1,5,NaN,NaN,1.3331,0.1,0,0,0
1,0,1,5,NaN,NaN,0.98322,0.05,0,0,0
1,0,1,5,NaN,NaN,0.96655,0.1,0,0,0
1,1,1,6,NaN,NaN,1.7332,0,0,1,0
1,0,1,5,NaN,NaN,1.1832,0.05,0,1,0
1,1,1,6,NaN,NaN,2.0998,0.1,0,1,0
1,0,0,5,NaN,NaN,1.0162,0.05,0,1,0
1,0,1,5,NaN,NaN,1.3998,0,0,1,0
1,1,1,5,NaN,NaN,1.2665,0.05,0,1,0
1,1,1,6,NaN,NaN,1.0665,0.2,0,1,0
1,1,1,6,NaN,NaN,0.88312,0.05,0,1,0
1,1,1,6,NaN,NaN,0.91654,0.2,0,0,0
1,1,1,6,NaN,NaN,2.0998,0,0,0,0
1,1,1,6,NaN,NaN,0.88321,0.05,0,0,0
1,0,1,5,NaN,NaN,1.5768,0,0,0,0
1,0,0,6,NaN,NaN,1.4003,0.2,0,0,0
1,0,0,5,NaN,NaN,2.2165,0,0,0,0
1,1,1,6,NaN,NaN,0.98319,0.1,0,1,0
1,1,0,6,NaN,NaN,1.4998,0,0,1,0
1,1,1,6,NaN,NaN,0.75076,0.4,0,0,0
1,0,0,6,NaN,NaN,1.2999,0.1,0,1,0
1,1,1,6,NaN,NaN,1.1832,0.05,0,1,0
1,1,0,6,NaN,NaN,1.1499,0,0,1,0
1,0,1,6,NaN,NaN,0.79986,0,0,1,0
1,1,1,5,NaN,NaN,1.8498,0.1,0,0,0
1,1,0,5,NaN,NaN,1.7998,0.1,0,0,0
1,0,0,5,NaN,NaN,1.4499,0.1,0,0,0
1,1,1,6,NaN,NaN,1.0499,0.1,0,1,0
1,0,0,6,NaN,NaN,1.3169,0.1,0,1,0
1,0,0,6,NaN,NaN,0.83249,0.4,0,1,0
1,0,1,4,NaN,NaN,2.6665,0,0,1,0
1,1,1,6,NaN,NaN,0.99986,0.4,0,1,0
1,1,1,5,NaN,NaN,1.7165,0.2,0,0,0
1,1,1,5,NaN,NaN,1.1499,0.2,0,0,0
1,1,1,6,NaN,NaN,1.1832,0.4,0,1,0
1,1,1,6,NaN,NaN,0.79993,0.2,0,1,0
1,1,1,5,NaN,NaN,2.4998,0,0,0,0
1,0,0,5,NaN,NaN,1.2165,0.1,0,0,0
1,0,0,6,NaN,NaN,1.2332,0.2,0,1,0
1,0,0,4,NaN,NaN,2.1998,0,0,0,0
1,1,1,6,NaN,NaN,0.94992,0.4,0,0,0
1,0,0,6,NaN,NaN,1.3332,0.1,0,0,0
1,0,0,6,NaN,NaN,0.7666,0.4,0,0,0
1,0,0,5,NaN,NaN,2.0498,0.2,0,0,0
1,0,0,4,NaN,NaN,1.3165,0.05,0,1,0
1,0,0,6,NaN,NaN,1.2832,0.2,0,0,0
1,1,0,4,NaN,NaN,1.7832,0,0,0,0
1,1,1,6,NaN,NaN,1.2998,0.2,0,1,0
1,0,0,6,NaN,NaN,1.0979,0.1,0,1,0
1,0,1,4,NaN,NaN,1.7498,0.05,0,0,0
1,0,0,6,NaN,NaN,0.94988,0.2,0,1,0
1,0,0,6,NaN,NaN,0.71652,0.4,0,0,0
1,0,1,6,NaN,NaN,1.2332,0.05,0,0,0
1,0,1,6,NaN,NaN,1.7998,0,0,1,0
1,0,0,6,NaN,NaN,0.83319,0.05,0,1,0
1,1,1,6,NaN,NaN,1.2998,0,0,0,0
1,1,1,6,NaN,NaN,0.99987,0.4,0,0,0
1,0,0,6,NaN,NaN,0.7503,0.4,0,1,0
1,0,0,6,NaN,NaN,1.1666,0.2,0,1,0
1,1,1,6,NaN,NaN,1.2499,0.1,0,0,0
1,1,1,6,NaN,NaN,1.3165,0,0,1,0
1,1,1,5,NaN,NaN,0.98326,0.2,0,1,0
1,1,1,5,NaN,NaN,0.71655,0.4,0,1,0
1,0,1,4,NaN,NaN,1.6498,0.05,0,0,0
1,1,1,5,NaN,NaN,1.3332,0.1,0,1,0
1,0,0,6,NaN,NaN,0.98319,0.4,0,1,0
1,1,1,5,NaN,NaN,1.1499,0.05,0,0,0
1,1,1,6,NaN,NaN,0.83322,0.2,0,0,0
1,0,0,6,NaN,NaN,1.2499,0.05,0,1,0
1,1,1,5,NaN,NaN,1.2499,0.05,0,0,0
1,1,1,5,NaN,NaN,1.3999,0.05,0,0,0
1,0,0,6,NaN,NaN,0.88324,0.4,0,0,0
1,1,1,6,NaN,NaN,0.91654,0.05,0,1,0
1,1,0,5,NaN,NaN,1.6165,0.05,0,1,0
1,0,0,2,1.6332,-99,NaN,0.4,1,0,1
1,1,1,1,1.4669,-99,NaN,0.4,1,0,1
1,1,1,1,1.2669,-99,NaN,0.4,1,0,1
1,1,1,1,1.1332,-99,NaN,0.4,1,0,1
1,0,0,2,1.1165,-99,NaN,0.4,1,0,1
1,0,0,2,0.93363,-99,NaN,0.4,1,0,1
1,0,0,2,1.1499,-99,NaN,0.4,1,0,1
1,1,1,1,1.2332,-99,NaN,0.4,1,0,1
1,1,1,5,1.2332,3.1308,NaN,0.2,1,0,0
1,0,NaN,-1,-1,-1,NaN,0,1,0,0
1,1,1,3,0.7332,1.7584,NaN,0.1,1,0,0
1,0,1,3,2.6331,2.2265,NaN,0,1,1,0
1,1,0,4,2.3832,0.31818,NaN,0,1,1,0
1,0,0,4,1.7165,0.92818,NaN,0.05,1,1,0
1,0,0,5,2.4998,1.2748,NaN,0.2,1,0,0
1,1,1,2,2.2332,0.45826,NaN,0.2,1,0,0
1,0,NaN,-1,-1,-1,NaN,0,1,0,0
1,0,0,5,1.7165,0.4419,NaN,0.2,1,0,0
1,1,1,2,2.6498,0.78619,NaN,0.1,1,1,0
1,0,0,5,2.3665,0.78353,NaN,0.2,1,0,0
1,0,NaN,-1,-1,-1,NaN,0,1,1,0
1,0,0,4,2.0832,0.98759,NaN,0.2,1,1,0
1,0,1,3,2.6502,0.42167,NaN,0.05,1,0,0
1,1,1,6,1.9832,0.609,NaN,0.4,1,1,0
1,1,1,5,2.1999,0.31647,NaN,0.1,1,1,0
1,1,1,5,1.7999,0.73123,NaN,0.2,1,1,0
1,1,1,6,1.3665,0.64333,NaN,0.4,1,0,0
1,0,0,5,1.3832,6.462,NaN,0.4,1,1,0
1,1,1,3,2.4999,0.54769,NaN,0.05,1,0,0
1,1,1,5,1.4332,1.9363,NaN,0.4,1,1,0
1,0,0,5,2.6665,0.59596,NaN,0.1,1,0,0
1,0,NaN,-1,-1,-1,NaN,0,1,1,0
1,1,1,6,1.4832,0.53,NaN,0.4,1,0,0
1,0,0,6,2.1665,0.37814,NaN,0.2,1,1,0
1,1,1,6,2.0998,1.2033,NaN,0.4,1,1,0
1,0,0,6,1.3499,0.51262,NaN,0.4,1,0,0
1,1,1,5,2.0332,0.75036,NaN,0.2,1,1,0
1,1,1,3,2.5165,0.60745,NaN,0.1,1,1,0
1,0,1,2,2.4832,0.71955,NaN,0.05,1,1,0
1,1,1,2,2.8832,1.3227,NaN,0,1,0,0
1,0,0,4,2.8999,2.8215,NaN,0.1,1,1,0
1,1,0,2,2.6665,0.6937,NaN,0.05,1,0,0
1,1,1,5,2.0998,0.6738,NaN,0.05,1,0,0
1,0,0,6,1.7665,0.33982,NaN,0.4,1,1,0
1,0,0,6,2.3498,1.3158,NaN,0.4,1,1,0
1,0,NaN,-1,-1,-1,NaN,0,1,1,0
1,0,1,2,1.2165,1.26,NaN,0,1,0,0
1,0,NaN,-1,-1,-1,NaN,0.05,1,1,0
1,1,1,2,1.0166,0.30899,NaN,0.05,1,1,0
1,1,1,5,1.6332,0.53902,NaN,0.2,1,0,0
1,0,0,5,1.6998,0.541,NaN,0.1,1,0,0
1,1,0,5,2.4998,0.96714,NaN,0.05,1,1,0
1,0,0,6,1.6999,0.5525,NaN,0.2,1,1,0
1,0,0,5,2.1165,0.12888,NaN,0.1,1,0,0
1,0,1,3,2.1665,1.313,NaN,0.05,1,1,0
1,0,0,5,1.4166,0.4555,NaN,0.4,1,0,0
1,0,0,4,2.8165,1.5366,NaN,0,1,1,0
1,0,0,6,1.4498,0.37242,NaN,0.4,1,0,0
1,1,1,6,1.5665,0.53881,NaN,0.4,1,0,0
1,0,0,3,2.5332,0.52357,NaN,0,1,0,0
1,0,0,4,1.8666,0.48738,NaN,0.1,1,1,0
1,0,NaN,-1,-1,-1,NaN,0.1,1,0,0
1,0,1,2,1.6332,6.5607,NaN,0.1,1,1,0
1,0,1,4,1.9498,1.2644,NaN,0.05,1,0,0
1,1,1,4,2.1498,1.5322,NaN,0.1,1,0,0
1,1,1,4,2.0498,0.00016742,NaN,0,1,0,0
1,0,0,5,2.1665,1.0449,NaN,0.05,1,0,0
1,1,1,6,1.7332,1.2877,NaN,0.2,1,1,0
1,1,1,5,1.2832,0.50692,NaN,0.2,1,0,0
1,0,0,5,1.0165,0.36166,NaN,0,1,0,0
1,1,1,6,1.1332,0.46581,NaN,0.2,1,1,0
1,0,NaN,-1,-1,-1,NaN,0.1,1,1,0
1,0,0,6,0.89988,0.54064,NaN,0.4,1,1,0
1,1,1,4,1.6332,0.93751,NaN,0.05,1,0,0
1,0,0,6,1.6832,0.52407,NaN,0.4,1,1,0
1,1,1,2,2.1331,0.66157,NaN,0.05,1,0,0
1,1,0,4,1.2999,0.70697,NaN,0,1,0,0
1,0,1,5,2.9497,0.97234,NaN,0,1,0,0
1,0,1,6,1.9832,0.61784,NaN,0.2,1,0,0
1,1,0,5,1.6832,1.5452,NaN,0.4,1,1,0
1,0,NaN,-1,-1,-1,NaN,0.05,1,1,0
1,0,0,5,0.68325,0.6721,NaN,0.4,1,1,0
1,1,1,5,1.9165,0.88419,NaN,0.2,1,1,0
1,1,1,5,2.4832,0.4731,NaN,0.1,1,0,0
1,0,0,5,2.7165,0.95707,NaN,0,1,1,0
1,0,0,5,1.8665,0.92017,NaN,0.2,1,0,0
1,0,NaN,-1,-1,-1,NaN,0.1,1,0,0
