Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition,Task
1,2,2,5,2.237,1.6687,28,2,2
1,2,1,4,1.7441,0.91923,28,1,2
1,2,2,4,3.1525,0.58445,33,1,2
1,1,1,1,1.9627,0.49072,23,2,2
1,1,2,5,2.6313,0.43971,23,2,2
1,1,1,4,2.6169,0.42148,28,2,2
1,2,2,5,1.7142,1.7169,28,2,2
1,1,1,2,2.3445,0.24846,23,2,2
1,1,1,4,2.8701,0.91746,23,2,2
1,1,1,4,1.8519,1.865,18,2,2
1,1,1,4,8.3699,0.40414,33,1,2
1,2,1,4,2.3508,1.4371,28,1,2
1,2,2,4,3.2732,0.31894,33,1,2
1,2,1,4,2.4883,1.4573,18,2,2
1,1,2,5,2.5082,1.4652,33,1,2
1,2,2,6,2.161,0.42592,38,1,2
1,2,2,6,2.6845,0.39721,38,1,2
1,2,2,4,2.0936,0.38011,23,2,2
1,2,2,6,1.7321,0.34937,33,1,2
1,1,2,4,1.5334,0.50607,23,2,2
1,1,1,4,7.4102,0.89328,33,1,2
1,1,1,4,3.3447,0.46902,28,1,2
1,2,1,5,1.5874,1.2064,28,1,2
1,2,2,3,3.3581,0.93349,28,2,2
1,1,1,4,2.6679,0.34974,33,1,2
1,2,2,6,3.762,0.41247,33,1,2
1,1,1,4,2.2505,0.3679,28,2,2
1,1,2,3,4.855,0.33568,23,2,2
1,1,1,4,1.5737,0.37658,28,1,2
1,1,1,3,1.6604,0.57313,28,1,2
1,2,2,5,2.4561,0.54818,28,2,2
1,1,1,5,1.5523,0.36728,23,1,2
1,1,1,2,2.0148,0.35494,23,1,2
1,2,2,5,2.7931,0.44634,28,2,2
1,2,1,4,2.2034,0.32308,18,1,2
1,2,2,4,2.6151,0.34515,23,2,2
1,2,2,5,1.7771,0.3332,23,1,2
1,2,1,1,2.9828,0.51351,23,2,2
1,1,1,3,1.8734,3.0838,28,2,2
1,2,2,5,3.28,1.2557,28,2,2
1,2,2,5,1.6468,0.653,23,1,2
1,2,2,4,2.1853,0.97732,18,1,2
1,1,1,1,2.8876,0.29018,18,1,2
