Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Condition,Training
1,2,2,4,0.236445559999993,0.242265300999861,0.07,0,0
1,1,1,4,0.0443855359999361,0.281606522000402,0.06,0,0
1,1,1,4,0.23876363699992,0.27641106100009,0.06,0,0
1,2,2,4,0.181500737000079,0.237363282000388,0.05,0,0
1,2,2,4,0.259758303999661,0.216040949999751,0.05,0,0
1,2,2,4,0.114825088000089,0.237391019999905,0.04,0,0
1,2,2,4,0.000202144000013504,0.202919827999722,0.04,0,0
1,2,2,4,0.226455735999934,0.200074674999996,0.03,0,0
1,1,1,4,0.235801347999768,0.289597024000159,0.03,0,0
1,1,1,2,0.593869802999961,0.632700027000283,0.02,0,0
1,2,2,2,0.367326939000122,0.351522412000122,0.02,0,0
1,2,2,2,0.285133133999807,0.208893569000338,0.02,0,0
1,2,2,2,0.216791458000444,0.223348663000252,0.02,0,0
1,2,1,1,0.902235828999892,0.17652501900011,0.02,0,0
1,2,1,2,0.265883785999904,0.142225362000318,0.03,0,0
1,2,1,2,0.248914004999733,0.141777106000063,0.04,0,0
1,1,1,3,0.136400840000078,0.242330605000006,0.05,0,0
1,2,2,3,0.703395949999958,0.433789343999706,0.06,1,0
1,2,2,4,0.256068702999983,0.212975171999915,0.06,1,0
1,2,2,4,0.525038206999852,0.215177228999892,0.04,1,0
1,1,1,4,0.239086032000159,0.212716324000212,0.04,1,0
1,1,2,4,0.228405707000093,0.217920077000144,0.02,1,0
1,2,2,4,0.00503351699990162,0.228362887999992,0.04,1,0
1,1,1,4,0.215175743000145,0.237875913000153,0.04,1,0
1,1,2,4,0.243800096000086,0.200862224999582,0.03,1,0
1,2,2,4,0.744352193000395,0.184851995999907,0.04,1,0
1,1,1,4,0.433343163000245,0.270987805000004,0.04,1,0
1,2,2,4,0.28404527199973,0.23961734500017,0.03,1,0
1,2,2,4,0.213459434000015,0.219946391999656,0.03,1,0
1,2,2,4,0.254997624000225,0.276211160999992,0.02,1,0
1,2,2,4,0.296850034000272,0.251736690000143,0.02,1,0
1,2,2,4,0.249249546000101,0.270501013999819,0.02,1,0
1,1,2,4,0.251480182999785,0.288460581999971,0.02,1,0
1,1,1,4,0.284633269999631,0.240140718000021,0.03,1,0
1,1,1,4,0.278749642000093,0.282483908999893,0.03,1,0
1,1,2,4,0.314696735000325,0.22091510600012,0.02,1,0
1,2,1,4,0.247973058000298,0.268949405000058,0.03,1,0
1,2,2,4,0.289853800999936,0.261490632000005,0.04,1,0
1,2,1,4,0.266727000000174,0.238943048999772,0.04,1,0
1,2,2,2,0.293665798999882,0.216506067999944,0.05,1,0
1,1,1,3,0.267572972999915,0.527959089999968,0.05,1,0
1,2,2,3,0.294637469000008,0.217819205000069,0.04,1,0
1,1,1,3,0.236751359000209,0.274481792999723,0.04,1,0
1,1,1,3,0.271508164999887,0.211697171000196,0.03,1,0
1,2,2,3,0.219135149000067,0.225512256000002,0.03,1,0
1,1,1,3,0.236560675999954,0.226036869999916,0.02,1,0
1,2,1,3,0.236916482000197,0.258705604999705,0.02,1,0
1,1,2,3,0.264381097000296,0.252865125999961,0.03,1,0
1,2,1,3,0.282596067000213,0.238243407000027,0.04,1,0
1,2,1,3,0.276377583999874,0.375883228000021,0.05,1,0
1,1,1,3,0.280467103000319,1.00427296599992,0.06,1,0
1,1,1,3,0.210529688999941,0.217073513999821,0.06,1,0
1,1,1,3,0.207752132000223,0.262912914000026,0.05,1,0
1,2,1,3,0.0768181420003202,0.264675715000067,0.05,1,0
1,1,1,4,0.000130660000195348,0.241412640000362,0.06,1,0
1,1,1,4,0.0519886940001015,0.273137115000281,0.06,1,0
1,2,2,3,0.262317234999955,0.218550490000325,0.05,1,0
1,1,1,3,0.221522805999939,0.292144832000304,0.05,1,0
1,2,2,3,0.316191522000281,0.222405074000108,0.04,1,0
1,1,1,3,0.249150622999878,0.222477220000201,0.04,1,0
1,2,2,3,0.212918472000183,0.203601600000184,0.03,1,0
1,1,1,3,0.55101897700024,0.191640324999753,0.03,1,0
1,1,2,3,0.408237304000068,0.247070081999937,0.02,1,0
1,1,1,3,0.245421637999698,0.266572666000229,0.03,1,0
1,2,2,3,0.255508544999884,0.244790880999972,0.03,1,0
1,2,1,3,0.247156916000222,0.236087992999728,0.02,1,0
1,1,1,3,0.242048110000269,0.24728502500011,0.03,1,0
1,1,1,1,3.97151512099981,0.895600802999979,0.05,0,0
1,2,2,4,0.307154483999966,0.294289371000104,0.05,0,0
1,2,2,4,0.250200968000172,0.191295203000209,0.03,0,0
1,1,1,2,0.447449976999906,0.268316297000183,0.03,0,0
1,1,2,1,0.28131656000005,0.252842466999937,0.02,0,0
1,2,1,1,0.250542645000223,0.191714247999698,0.04,0,0
1,2,1,1,0.26360647499996,0.299944027000038,0.06,0,0
1,2,2,4,0.767358184999921,1.71122766100007,0.08,0,0
