Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Congruency,Accuracy
2,R,R,339.26,0.402,2.912,Neutr,1
2,L,L,230.01,0.432,2.469,Incongr,1
2,L,L,312.71,0.369,2.959,Neutr,1
2,L,L,334.48,0.418,2.152,Neutr,1
2,R,R,235.65,0.636,2.515,Congr,1
2,L,L,351.02,0.359,1.911,Congr,1
2,R,L,24.45,0.407,2.894,Incongr,0
2,L,L,241.9,0.335,2.208,Congr,1
2,R,R,321.72,0.394,1.555,Neutr,1
2,R,R,336.72,0.422,2.085,Congr,1
2,L,L,308.96,0.429,2.033,Congr,1
2,R,R,280.42,0.385,3.519,Congr,1
2,R,R,345.07,0.448,1.819,Incongr,1
2,L,L,315.84,0.351,3.398,Neutr,1
2,R,R,304.12,0.453,2.665,Incongr,1
2,R,R,339.63,0.389,3.402,Neutr,1
2,R,R,331.72,0.419,2.763,Neutr,1
2,R,R,325.47,0.402,2.055,Incongr,1
2,R,R,330.46,0.537,2.097,Neutr,1
2,L,L,330.78,0.442,2.73,Incongr,1
2,R,R,315.66,0.383,1.582,Incongr,1
2,R,R,330.69,0.401,1.247,Neutr,1
2,L,L,325.86,0.446,2.708,Neutr,1
2,R,R,344.97,0.372,2.914,Neutr,1
2,L,L,250.58,0.489,1.863,Incongr,1
2,R,R,320.99,0.471,3.606,Incongr,1
2,L,L,347.11,0.383,2.56,Neutr,1
2,L,L,343.09,0.421,1.425,Incongr,1
2,R,R,292.97,0.35,1.437,Incongr,1
2,L,L,189.47,0.437,2.594,Neutr,1
2,L,L,331.44,0.348,3.049,Congr,1
2,L,L,339.86,0.4,2.409,Incongr,1
2,L,L,325.92,0.321,1.98,Congr,1
2,L,L,341.82,0.435,2.195,Neutr,1
2,R,R,270.74,0.483,3.158,Congr,1
2,L,L,301.91,0.398,1.726,Incongr,1
2,L,L,345.41,0.367,1.444,Neutr,1
2,R,R,337.75,0.4,2.148,Congr,1
2,L,L,341.8,0.48,1.076,Neutr,1
2,L,L,344.48,0.38,2.515,Incongr,1
2,L,L,309.37,0.319,2.352,Neutr,1
2,L,L,335.18,0.324,1.776,Congr,1
2,R,R,166,0.452,2.054,Neutr,1
2,L,L,299.2,0.476,1.635,Incongr,1
2,R,R,227.04,0.485,2.482,Incongr,1
2,L,L,317.09,0.384,1.96,Congr,1
2,L,L,317.93,0.346,1.726,Congr,1
2,R,R,316.16,0.414,3.252,Congr,1
2,L,L,324.79,0.425,1.673,Neutr,1
2,R,R,329.34,0.338,2.831,Congr,1
2,R,R,340.93,0.394,3.419,Incongr,1
2,R,R,334.55,0.309,2.186,Congr,1
2,R,R,222.79,0.449,1.711,Incongr,1
2,R,R,311.79,0.342,1.303,Congr,1
2,R,R,338.41,0.331,2.208,Neutr,1
2,R,R,334.49,0.34,2.025,Congr,1
2,L,L,326.23,0.357,2.167,Congr,1
2,R,R,320.13,0.372,1.92,Congr,1
2,R,R,326.41,0.447,1.803,Incongr,1
2,L,L,151.37,0.53,1.883,Incongr,1
3,L,L,314.25,0.461,7.637,Congr,1
3,R,R,317.81,0.522,4.715,Neutr,1
3,L,L,344.18,0.507,4.29,Neutr,1
3,R,R,347.22,0.493,3.916,Congr,1
3,R,R,344.98,0.484,5.205,Neutr,1
3,L,L,249.02,0.509,5.437,Neutr,1
3,L,L,332.2,0.43,9.057,Congr,1
3,L,L,314.4,0.659,6.194,Congr,1
3,L,L,327.79,0.517,5.712,Neutr,1
3,R,R,319.32,0.484,5.376,Congr,1
3,R,R,181.22,0.533,5.474,Incongr,1
3,R,R,275.36,0.443,4.32,Congr,1
3,R,R,313.97,0.411,7.969,Incongr,1
3,L,L,337.41,0.395,3.239,Congr,1
3,L,L,333.71,0.415,4.756,Incongr,1
3,R,R,326.25,0.421,4.253,Incongr,1
3,R,R,323.93,0.396,5.397,Congr,1
3,L,L,326.77,0.372,4.536,Incongr,1
3,R,R,302.74,0.413,4.479,Incongr,1
3,L,L,335.28,0.401,3.748,Congr,1
3,L,L,307.19,0.67,3.901,Neutr,1
3,R,L,140.39,0.338,2.449,Incongr,0
3,L,L,288.89,0.619,5.531,Incongr,1
3,L,L,320.8,0.437,3.221,Neutr,1
3,R,R,247.4,0.356,2.837,Neutr,1
3,L,L,304.59,0.442,10.437,Neutr,1
3,L,L,297.05,0.634,10.251,Neutr,1
3,L,L,333.43,0.314,12.956,Congr,1
3,R,R,320.92,0.5,4.799,Congr,1
3,R,R,345.29,0.443,4.212,Congr,1
3,L,L,335.39,0.349,5.369,Congr,1
3,R,R,317.49,0.375,5.019,Neutr,1
3,R,R,328.75,0.391,6.08,Incongr,1
3,R,R,345.41,0.366,4.709,Incongr,1
3,R,R,318.15,0.408,1.738,Neutr,1
3,R,R,298.16,0.509,3.251,Congr,1
3,R,R,327.37,0.496,6.239,Incongr,1
3,R,R,296.07,0.366,9.785,Neutr,1
3,R,R,334.08,0.499,5.594,Incongr,1
3,L,L,246.77,0.478,4.705,Neutr,1
3,R,R,320.96,0.37,5.328,Incongr,1
3,R,R,325.17,0.443,2.428,Neutr,1
3,R,L,263.49,0.376,3.798,Congr,0
3,L,L,338.36,0.398,3.495,Congr,1
3,L,L,337.26,0.375,5.08,Incongr,1
3,L,L,319.61,0.513,3.524,Incongr,1
3,L,L,340.14,0.411,4.474,Incongr,1
3,L,L,333.27,0.435,4.216,Incongr,1
3,R,R,297.98,0.487,8.03,Neutr,1
3,R,R,302.04,0.406,3.448,Congr,1
3,R,R,328.89,0.39,5.896,Neutr,1
3,L,L,207.12,0.528,2.543,Incongr,1
3,R,R,315.43,0.469,4.527,Neutr,1
3,R,R,294.52,0.453,4.63,Congr,1
3,L,L,338.33,0.515,3.852,Incongr,1
3,L,L,314.93,0.504,3.744,Incongr,1
3,L,L,344.85,0.46,7.204,Congr,1
3,L,L,342.06,0.453,6.202,Incongr,1
3,L,L,333.58,0.412,4.216,Incongr,1
3,R,R,235.6,0.506,10.141,Neutr,1
3,L,L,339.93,0.404,3.055,Neutr,1
3,R,R,279.83,0.429,3.739,Neutr,1
3,R,R,326.37,0.356,7.009,Incongr,1
3,L,L,300.88,0.475,2.197,Neutr,1
3,R,R,258.49,0.348,7.429,Incongr,1
3,L,L,322.7,0.383,3.206,Congr,1
3,L,L,348.66,0.384,3.458,Congr,1
3,L,L,340.71,0.405,3.616,Congr,1
3,R,R,307.82,0.383,4.757,Congr,1
3,L,L,268.68,0.384,3.454,Neutr,1
3,R,R,320.91,0.426,3.074,Congr,1
3,L,L,348.65,0.448,3.506,Neutr,1
3,L,L,309.86,0.518,6.54,Incongr,1
3,R,R,312.88,0.354,4.47,Congr,1
3,R,R,206.37,0.458,5.587,Incongr,1
3,R,R,333.68,0.362,2.705,Incongr,1
3,R,L,207.16,0.396,2.432,Congr,0
3,L,L,311.3,0.454,3.781,Congr,1
3,R,R,297.72,0.395,5.148,Incongr,1
3,R,R,324.12,0.438,3.147,Incongr,1
3,R,R,225.57,0.47,3.643,Congr,1
3,R,R,303.77,0.331,2.237,Neutr,1
3,R,R,287.63,0.519,3.166,Incongr,1
3,R,R,312.53,0.389,2.391,Congr,1
3,L,L,322.19,0.382,2.957,Neutr,1
3,L,L,347.04,0.408,4.018,Neutr,1
3,L,L,337.18,0.419,4.219,Congr,1
3,R,R,206.67,0.54,3.986,Congr,1
3,R,R,256.4,0.462,4.194,Congr,1
3,L,L,326.63,0.376,5.012,Incongr,1
3,R,R,331.81,0.575,2.857,Neutr,1
3,R,R,321.34,0.453,8.006,Neutr,1
3,L,L,333.89,0.397,5.009,Congr,1
3,R,R,283.29,0.398,4.603,Congr,1
3,L,L,340.12,0.386,4.414,Incongr,1
3,R,R,347.46,0.392,3.939,Neutr,1
3,R,R,320.15,0.464,7.12,Incongr,1
3,R,R,336.94,0.391,5.72,Congr,1
3,R,R,319.33,0.387,5.627,Congr,1
3,R,R,254.91,0.472,3.213,Incongr,1
3,L,L,287.66,0.354,3.176,Neutr,1
3,R,R,231.91,0.487,4.157,Neutr,1
3,R,R,310.59,0.448,4.336,Neutr,1
3,L,L,312.31,0.379,5.702,Congr,1
3,L,L,288.38,0.455,3.326,Congr,1
3,L,L,333.42,0.396,5.708,Congr,1
3,L,L,279.57,0.455,8.021,Congr,1
3,L,L,325.25,0.375,3.455,Incongr,1
3,R,R,253.03,0.46,2.347,Neutr,1
3,R,R,333.59,0.507,7.747,Neutr,1
3,L,L,332.61,0.38,3.471,Incongr,1
3,L,L,340.47,0.47,3.939,Neutr,1
3,R,R,332.44,0.424,4.829,Congr,1
3,L,L,345.6,0.334,2.434,Congr,1
3,L,L,319.43,0.443,5.375,Neutr,1
3,R,R,252.75,0.488,2.619,Incongr,1
3,L,L,284.85,0.543,2.702,Congr,1
3,L,L,323.37,0.52,3.527,Congr,1
3,L,L,321.65,0.568,4.323,Neutr,1
3,R,R,324.65,0.434,5.185,Congr,1
3,L,L,312.34,0.406,3.461,Neutr,1
3,R,R,335.14,0.404,2.637,Neutr,1
3,L,L,299.55,0.464,2.343,Neutr,1
3,L,L,321.32,0.576,4.537,Incongr,1
3,L,L,346.03,0.399,3.792,Incongr,1
3,L,L,335.54,0.374,2.883,Incongr,1
3,R,R,332.09,0.383,5.38,Neutr,1
3,L,L,310.19,0.51,2.225,Neutr,1
