Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Task,Catch_trial,ContrastOrTilt
2,0,0,3,1.504,1.89,1,0,5.5
2,0,0,4,1.435,0.908,1,0,5.5
2,0,0,3,0.991,1.774,1,0,5.5
2,0,0,3,1.186,1.238,1,0,5.5
2,0,0,4,1.068,1.027,1,0,5.5
2,1,0,2,1.679,1.381,1,0,5.5
2,1,0,3,0.741,0.752,1,0,5.5
2,1,0,3,0.634,0.695,1,0,5.5
2,0,0,3,0.687,0.64,1,0,5.5
2,1,0,2,0.852,1.664,1,0,5.5
2,1,1,3,2.203,0.755,1,0,5.5
2,0,0,2,2.018,1.058,1,0,5.5
2,1,1,3,2.276,0.667,1,0,5.5
2,0,0,2,1.478,0.807,1,0,5.5
2,1,1,3,2.48,0.598,1,0,5.5
2,1,1,4,1.966,0.704,1,0,5.5
2,1,1,4,1.383,0.963,1,0,5.5
2,1,1,3,1.263,1.067,1,0,5.5
2,0,1,3,1.453,0.693,1,0,5.5
2,0,1,3,1.245,0.594,1,0,5.5
2,1,0,2,1.254,0.699,1,0,5.5
2,1,1,3,1.894,0.39,1,0,5.5
2,0,0,2,1.157,0.463,1,0,5.5
2,0,1,3,1.423,0.431,1,0,5.5
2,0,0,3,1.153,0.87,1,0,5.5
2,1,1,4,1.606,0.611,1,0,5.5
2,1,1,3,2.071,0.933,1,0,5.5
2,0,0,3,0.991,1.089,1,0,5.5
2,1,1,3,1.038,0.536,1,0,5.5
2,0,0,2,0.869,0.406,1,0,5.5
2,1,1,2,1.291,0.391,1,0,5.5
2,1,1,3,1.533,1.136,1,0,5.5
2,0,0,3,0.951,1.016,1,0,5.5
2,0,0,3,0.921,0.773,1,0,5.5
2,0,0,2,1.748,0.899,1,0,5.5
2,0,0,1,0.937,0.786,1,0,5.5
2,1,1,3,0.939,0.545,1,0,5.5
2,0,0,4,0.849,0.664,1,1,15
2,0,0,1,0.987,0.472,1,0,5.5
2,1,0,2,1,0.332,1,0,5.5
2,0,0,2,0.678,1.148,1,0,5.5
2,1,1,3,1.173,0.596,1,0,5.5
2,0,0,2,0.81,0.459,1,0,5.5
2,1,1,1,1.345,0.271,1,0,5.5
2,1,1,2,1.461,0.696,1,0,5.5
2,1,1,2,1.128,0.413,1,0,5.5
2,1,0,1,1.206,0.337,1,0,5.5
2,0,1,2,1.103,0.604,1,0,5.5
2,0,0,2,0.886,0.497,1,0,5.5
2,0,1,3,1.277,0.762,1,0,5.5
2,1,0,1,0.971,0.36,1,0,5.5
2,1,1,2,1.192,0.663,1,0,5.5
2,1,1,2,1.358,0.366,1,0,5.5
2,1,1,3,1.166,0.462,1,0,5.5
2,1,1,3,0.988,0.308,1,0,5.5
2,1,1,2,0.944,0.437,1,0,5.5
2,1,1,2,1.02,0.272,1,0,5.5
2,0,0,2,1.195,0.653,1,0,5.5
