Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,difficulty,Accuracy,Training
1,1,1,0.8412,2.3501,0.841,0.0083,1,0
1,2,1,-0.7266,1.6668,1.2993,0.0167,0,0
1,1,1,-0.7969,0.6085,0.8994,0.0083,1,0
1,1,1,-0.8203,1.2751,2.0577,0.0167,1,0
1,2,1,0.9048,3.2917,0.9327,0.0167,0,0
1,1,1,0.5555,0.9668,0.9577,0.0667,1,0
1,1,1,-0.7266,1.0418,1.066,0.0083,1,0
1,2,2,0.8016,0.6169,0.8493,0.1333,1,0
1,1,1,0.9365,0.9335,0.8411,0.0667,1,0
1,2,1,-0.6485,0.5835,0.9744,0.0333,0,0
1,2,2,0.7936,0.825,0.7662,0.0667,1,0
1,2,2,0.9206,0.7251,0.8744,0.0667,1,0
1,1,1,0.6905,0.6918,1.0828,0.0667,1,0
1,2,1,-0.8672,1.1252,1.0494,0.0333,0,0
1,1,1,-0.6172,0.5335,0.916,0.0333,1,0
1,2,1,-0.7266,1.3002,0.816,0.0167,0,0
1,1,1,-0.7422,0.8252,0.791,0.0667,1,0
1,1,1,-0.836,1.4668,0.9244,0.0167,1,0
1,2,1,-0.75,1.0835,1.4494,0.0667,0,0
1,1,1,-0.6641,0.1752,0.9993,0.0167,1,0
1,2,1,-0.875,0.6167,1.0494,0.0333,0,0
1,2,1,-0.75,1.4502,1.0577,0.0333,0,0
1,1,2,-0.6016,0.9085,1.216,0.0333,0,0
1,1,1,0.7381,1.0418,1.2075,0.0667,1,0
1,1,1,0.9365,1.0418,1.0994,0.0333,1,0
1,2,2,1,0.6085,0.8244,0.1333,1,0
1,1,1,0.3175,1.0085,1.1411,0.0333,1,0
1,1,1,0.4286,0.6169,0.7577,0.0667,1,0
1,2,2,0.9048,0.6502,0.9244,0.1333,1,0
1,2,1,-0.9141,0.8918,0.8161,0.0167,0,0
1,1,1,0.5873,0.6335,0.6994,0.0667,1,0
1,2,1,-0.875,0.9251,1.3244,0.0333,0,0
1,2,1,-0.6485,2.1334,1.3494,0.0333,0,0
1,2,1,-0.8203,0.6751,0.8578,0.0667,0,0
1,2,2,0.8571,0.6668,0.9578,0.1333,1,0
1,2,2,0.8174,0.6169,0.9244,0.1333,1,0
1,1,1,-0.8125,1.6418,1.591,0.0167,1,0
1,1,1,-0.5703,0.9668,1.2243,0.0083,1,0
1,1,1,-0.7891,1.1668,2.2659,0.0083,1,0
1,2,1,-0.7266,1.0835,1.1244,0.0083,0,0
1,1,2,-0.8125,1.0251,1.0494,0.0083,0,0
1,2,1,-0.875,1.4002,1.1744,0.0083,0,0
1,1,1,0.9048,0.675,0.8329,0.1333,1,0
1,1,1,-0.9453,1.0001,0.9327,0.0167,1,0
1,1,1,-0.9688,1.1001,1.3494,0.0083,1,0
1,2,1,-0.8594,1.0501,0.9578,0.0333,0,0
1,1,1,-0.75,0.5835,0.9744,0.0167,1,0
1,1,1,-0.8672,0.5252,1.1577,0.0333,1,0
1,2,1,-0.9453,0.3252,0.9827,0.0167,0,0
1,1,1,-0.8594,0.1168,1.6911,0.0333,1,0
1,2,2,0.8492,0.6669,1.266,0.1333,1,0
1,2,2,0.9048,0.7168,0.9244,0.1333,1,0
1,2,2,0.7143,1.1335,0.7994,0.0667,1,0
1,2,2,0.7381,0.9335,0.9494,0.0667,1,0
1,1,2,0.8492,1.0168,0.9411,0.0333,0,0
1,1,1,0.8968,0.5418,1.0911,0.0667,1,0
1,2,1,0.8809,0.5751,1.316,0.0167,0,0
1,1,1,0.9206,0.6085,0.9577,0.0083,1,0
1,2,1,0.7222,0.7083,1.1328,0.0667,0,0
1,1,1,0.7381,0.7418,0.6494,0.0667,1,0
1,2,1,-0.5625,1.0669,2.0326,0.0083,0,0
1,1,1,-0.7266,0.6669,1.9993,0.0167,1,0
1,2,1,-0.9453,0.6669,1.2244,0.0167,0,0
1,2,1,-0.8672,0.5252,1.0327,0.0167,0,0
1,2,1,-0.9219,0.0752,1.3744,0.1333,0,0
1,2,1,-0.8125,0.4585,1.4744,0.0167,0,0
