Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy
11,p19_rpm.gif,Option 4,80,14.85,1.873,10,1
11,p21_rpm.gif,Option 5,0,28.975,5.347,11,0
11,p23_rpm.gif,Option 7,40,23.051,1.722,12,1
11,p25_rpm.gif,Option 2,40,36.077,1.174,13,0
11,p27_rpm.gif,Option 6,40,27.297,2.746,14,0
11,p29_rpm.gif,Option 3,20,27.652,2.302,15,0
11,p31_rpm.gif,Option 9,60,60.793,1.262,16,0
11,p33_rpm.gif,Option 6,20,37.045,0.943,17,1
11,p34_rpm.gif,Option 5,80,46.147,1.624,18,0
11,p35_rpm.gif,Option 2,80,37.208,1.891,19,0
11,p36_rpm.gif,Option 5,20,27.848,1.058,20,0
12,p1_rpm.gif,Option 6,20,21.955,4.246,1,1
12,p3_rpm.gif,Option 8,40,9.988,2.977,2,1
12,p5_rpm.gif,Option 4,60,17.627,2.51,3,1
12,p7_rpm.gif,Option 7,20,33.843,0.927,4,1
12,p9_rpm.gif,Option 2,40,21.701,1.506,5,0
12,p11_rpm.gif,Option 6,60,24.8,1.83,6,1
12,p13_rpm.gif,Option 9,60,18.559,1.316,7,0
12,p15_rpm.gif,Option 3,20,58.426,0.991,8,1
12,p17_rpm.gif,Option 4,60,33.3,1.266,9,0
12,p19_rpm.gif,Option 4,40,34.819,1.821,10,1
12,p21_rpm.gif,Option 9,60,39.149,1.456,11,1
12,p23_rpm.gif,Option 9,20,87.447,0.888,12,0
12,p25_rpm.gif,Option 8,40,31.055,2.405,13,1
12,p27_rpm.gif,Option 5,40,36.374,1.09,14,0
12,p29_rpm.gif,Option 7,20,91.208,0.983,15,1
12,p31_rpm.gif,Option 5,60,84.098,0.876,16,1
12,p33_rpm.gif,Option 6,80,57.916,2.118,17,1
12,p34_rpm.gif,Option 5,20,65.107,0.67,18,0
12,p35_rpm.gif,Option 2,20,30.326,0.969,19,0
12,p36_rpm.gif,Option 3,0,85.157,1.139,20,1
13,p1_rpm.gif,Option 6,60,77.106,3.909,1,1
13,p3_rpm.gif,Option 8,100,13.328,1.877,2,1
13,p5_rpm.gif,Option 4,100,20.131,1.753,3,1
13,p7_rpm.gif,Option 7,100,11.949,1.401,4,1
13,p9_rpm.gif,Option 9,100,16.45,1.286,5,1
13,p11_rpm.gif,Option 6,100,12.108,0.475,6,1
13,p13_rpm.gif,Option 3,60,65.311,2.262,7,1
13,p15_rpm.gif,Option 3,80,36.859,3.373,8,1
13,p17_rpm.gif,Option 7,80,68.417,1.392,9,1
13,p19_rpm.gif,Option 4,100,40.305,2.229,10,1
13,p21_rpm.gif,Option 5,80,58.858,1.304,11,0
13,p23_rpm.gif,Option 7,100,26.797,1.411,12,1
13,p25_rpm.gif,Option 3,100,94.27,1.652,13,0
13,p27_rpm.gif,Option 6,100,163.961,2.156,14,0
13,p29_rpm.gif,Option 7,80,97.473,1.26,15,1
13,p31_rpm.gif,Option 5,60,79.064,1.468,16,1
13,p33_rpm.gif,Option 6,100,56.24,1.761,17,1
13,p34_rpm.gif,Option 2,80,51.506,1.788,18,1
13,p35_rpm.gif,Option 4,100,57.858,0.745,19,1
13,p36_rpm.gif,Option 6,0,93.761,1.948,20,0
14,p1_rpm.gif,Option 5,0,16.904,10.931,1,0
14,p3_rpm.gif,Option 8,100,13.314,3.708,2,1
14,p5_rpm.gif,Option 4,100,10.58,0.852,3,1
14,p7_rpm.gif,Option 7,100,26.908,0.472,4,1
14,p9_rpm.gif,Option 9,100,13.216,0.695,5,1
14,p11_rpm.gif,Option 6,100,11.279,0.323,6,1
14,p13_rpm.gif,Option 9,80,19.751,3.289,7,0
14,p15_rpm.gif,Option 9,60,21.464,2.213,8,0
14,p17_rpm.gif,Option 7,100,10.809,0.143,9,1
14,p19_rpm.gif,Option 4,100,24.763,1.173,10,1
14,p21_rpm.gif,Option 9,100,18.169,0.257,11,1
14,p23_rpm.gif,Option 7,100,21.233,0.111,12,1
14,p25_rpm.gif,Option 8,100,33.301,0.217,13,1
14,p27_rpm.gif,Option 8,20,70.575,1.243,14,1
14,p29_rpm.gif,Option 8,40,43.579,1.349,15,0
14,p31_rpm.gif,Option 5,100,70.015,0.201,16,1
14,p33_rpm.gif,Option 8,60,114.677,0.639,17,0
14,p34_rpm.gif,Option 2,100,99.636,0.527,18,1
14,p35_rpm.gif,Option 4,100,21.765,0.468,19,1
14,p36_rpm.gif,Option 6,20,52.529,1.517,20,0
15,p1_rpm.gif,Option 6,100,19.332,5.235,1,1
15,p3_rpm.gif,Option 8,100,11.313,3.127,2,1
15,p5_rpm.gif,Option 4,100,26.378,1.616,3,1
15,p7_rpm.gif,Option 7,100,15.897,1.62,4,1
15,p9_rpm.gif,Option 9,100,8.901,1.407,5,1
15,p11_rpm.gif,Option 6,100,15.152,0.778,6,1
15,p13_rpm.gif,Option 3,100,40.316,1.265,7,1
15,p15_rpm.gif,Option 3,100,37.031,4.034,8,1
15,p17_rpm.gif,Option 7,100,27.416,0.5,9,1
15,p19_rpm.gif,Option 4,100,46.336,0.431,10,1
15,p21_rpm.gif,Option 9,100,101.739,0.544,11,1
15,p23_rpm.gif,Option 4,100,32.132,0.446,12,0
15,p25_rpm.gif,Option 8,100,56.069,0.597,13,1
15,p27_rpm.gif,Option 6,40,90.108,5.668,14,0
15,p29_rpm.gif,Option 7,100,61.252,0.297,15,1
15,p31_rpm.gif,Option 5,100,90.764,0.369,16,1
15,p33_rpm.gif,Option 6,100,63.72,0.248,17,1
15,p34_rpm.gif,Option 4,60,53.831,4.147,18,0
15,p35_rpm.gif,Option 4,100,58.33,0.494,19,1
15,p36_rpm.gif,Option 5,20,76.257,0.862,20,0
16,p1_rpm.gif,Option 6,80,35.525,5.124,1,1
16,p3_rpm.gif,Option 8,80,33.532,1.494,2,1
16,p5_rpm.gif,Option 4,60,37.723,2.353,3,1
16,p7_rpm.gif,Option 7,80,33.705,1.42,4,1
16,p9_rpm.gif,Option 9,80,38.308,1.586,5,1
16,p11_rpm.gif,Option 6,80,44.843,1.421,6,1
16,p13_rpm.gif,Option 3,80,47.205,0.599,7,1
16,p15_rpm.gif,Option 3,80,51.177,1.128,8,1
16,p17_rpm.gif,Option 7,80,30.861,0.348,9,1
16,p19_rpm.gif,Option 5,60,57.568,3.706,10,0
16,p21_rpm.gif,Option 9,40,77.36,4.089,11,1
16,p23_rpm.gif,Option 4,40,91.641,1.825,12,0
16,p25_rpm.gif,Option 8,60,37.209,1.412,13,1
16,p27_rpm.gif,Option 5,20,53.164,1.819,14,0
16,p29_rpm.gif,Option 4,20,70.584,2.869,15,0
16,p31_rpm.gif,Option 4,0,156.914,1.996,16,0
16,p33_rpm.gif,Option 6,60,56.708,2.049,17,1
16,p34_rpm.gif,Option 3,20,32.64,0.662,18,0
16,p35_rpm.gif,Option 8,60,41.158,1.71,19,0
16,p36_rpm.gif,Option 5,0,7.164,0.444,20,0
17,p1_rpm.gif,Option 6,60,33.013,7.051,1,1
17,p3_rpm.gif,Option 8,80,14.253,3.722,2,1
17,p5_rpm.gif,Option 4,80,18.751,2.512,3,1
17,p7_rpm.gif,Option 7,80,25.063,1.525,4,1
17,p9_rpm.gif,Option 9,100,10.747,1.725,5,1
17,p11_rpm.gif,Option 6,80,20.139,3.732,6,1
17,p13_rpm.gif,Option 3,60,45.889,2.07,7,1
17,p15_rpm.gif,Option 3,100,39.597,1.845,8,1
17,p17_rpm.gif,Option 4,0,66.54,2.36,9,0
17,p19_rpm.gif,Option 4,60,26.901,1.864,10,1
17,p21_rpm.gif,Option 5,20,30.393,1.577,11,0
