"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Difficulty","Condition"
"1",0,1,85.8311631944444,1.359,1.366083337,-0.31,"congruent"
"1",1,1,73.6089409722222,0.622,1.715670331,0.27,"congruent"
"1",0,1,98.1363932291667,1.745,1.533066501,-0.22,"congruent"
"1",0,1,85.1388888888889,0.594,0.748854066,-0.28,"congruent"
"1",1,0,100,1.419,0.999251493,0.41,"incongruent"
"1",0,1,90.8734809027778,0.759,2.666805563,-0.41,"incongruent"
"1",0,1,93.2215711805556,0.768,0.865218365,-0.41,"congruent"
"1",0,1,91.8728298611111,1.306,2.316699494,-0.41,"congruent"
"1",1,0,8.916015625,2.746,2.049840893,0.36,"congruent"
"1",0,1,53.3637152777778,0.714,1.482479174,-0.36,"incongruent"
"1",1,0,19.5686848958333,1.603,1.415453977,0.36,"incongruent"
"1",0,1,83.80859375,1.272,1.43290106,-0.24,"congruent"
"1",1,1,82.4853515625,0.677,1.549452906,0.31,"congruent"
"1",1,0,75.0661892361111,1.939,1.49872513,0.36,"congruent"
"1",0,1,73.6561414930556,0.767,1.749451412,-0.31,"incongruent"
"1",1,0,63.5590277777778,1.065,1.382908909,0.36,"congruent"
"1",0,1,83.2259114583333,1.298,1.615814162,-0.15,"congruent"
"1",1,1,83.1070963541667,0.827,1.348992115,0.31,"congruent"
"1",1,1,81.8565538194444,1.254,1.249253515,0.31,"incongruent"
"1",0,1,72.5347222222222,0.656,1.899556511,-0.36,"incongruent"
"1",0,1,73.0647786458333,1.217,1.265608316,-0.36,"incongruent"
"1",0,1,93.5047743055556,1.201,1.766099481,-0.31,"incongruent"
"1",0,1,100,1.407,1.282544611,-0.31,"incongruent"
"1",0,1,91.9710286458333,1.196,1.649150735,-0.26,"incongruent"
"1",1,0,13.6197916666667,1.157,1.432345167,0.26,"incongruent"
"1",0,1,34.2833116319444,3.182,1.432950977,-0.36,"congruent"
"1",1,1,16.9737413194444,1.478,1.032489078,0.37,"incongruent"
"1",1,1,44.8649088541667,2.778,0.932493111,0.26,"incongruent"
"1",1,0,76.6172960069444,0.885,1.132831805,0.36,"congruent"
"1",0,1,82.2064887152778,0.684,2.099149469,-0.21,"congruent"
"1",1,0,64.0462239583333,0.841,2.31655518,0.31,"congruent"
"1",1,1,83.1027560763889,2.4,1.532532829,0.26,"congruent"
"1",1,0,32.0909288194444,1.679,1.732574311,0.31,"congruent"
"1",0,1,92.3491753472222,1.125,1.749702432,-0.31,"incongruent"
"1",0,1,86.4653862847222,0.641,1.048754064,-0.15,"congruent"
"1",1,1,76.4898003472222,0.639,1.132772565,0.26,"congruent"
"1",1,1,93.3892144097222,1.307,1.515974349,0.31,"incongruent"
"1",0,1,87.2629123263889,1.689,1.249583364,-0.36,"incongruent"
"1",1,1,66.1838107638889,1.381,1.282726751,0.36,"incongruent"
"1",0,0,0,0.847,1.449112663,-0.41,"incongruent"
"1",1,0,65.1280381944444,1.552,1.815982575,0.31,"congruent"
"1",0,1,83.3713107638889,0.735,1.399654959,-0.46,"incongruent"
"1",0,1,82.1674262152778,0.626,1.498921555,-0.23,"congruent"
"1",1,0,82.1983506944444,1.834,1.983115799,0.46,"incongruent"
"1",0,1,98.8406032986111,1.321,1.399587477,-0.41,"incongruent"
"1",1,0,36.8739149305556,1.676,1.649988688,0.41,"incongruent"
"1",1,0,36.8229166666667,3.634,1.448778765,0.36,"incongruent"
"1",0,1,75.5230034722222,1.391,1.69937073,-0.36,"incongruent"
"1",1,1,11.3151041666667,4.279,2.200009882,0.26,"congruent"
"1",0,1,86.7778862847222,1.389,0.982465115,-0.31,"incongruent"
"1",0,1,98.6870659722222,1.26,1.433118611,-0.25,"congruent"
"1",0,1,98.2237413194444,0.687,1.032705242,-0.31,"incongruent"
"1",1,1,76.9449869791667,1.325,1.365394405,0.26,"incongruent"
"1",1,1,68.8015407986111,0.719,1.499070785,0.31,"incongruent"
"1",0,1,93.8481987847222,0.834,1.566465416,-0.36,"incongruent"
"1",1,0,12.7229817708333,1.244,1.215588881,0.29,"congruent"
"1",0,1,86.513671875,1.357,1.165947318,-0.36,"incongruent"
"1",1,0,7.32421875,3.884,1.665547153,0.26,"congruent"
"1",0,1,89.3923611111111,0.705,0.86579734,-0.31,"incongruent"
"1",0,1,86.1078559027778,1.311,0.798880411,-0.26,"congruent"
"1",0,1,98.4662543402778,1.128,1.282575306,-0.31,"incongruent"
"1",1,1,95.1057942708333,0.62,0.865879977,0.21,"congruent"
"1",0,1,86.0004340277778,0.665,1.066025383,-0.26,"incongruent"
"1",1,1,35.5810546875,1.279,1.999383108,0.26,"incongruent"
"1",0,1,74.7243923611111,1.384,1.333233256,-0.26,"congruent"
"1",1,0,23.9382595486111,3.299,1.383049522,0.31,"incongruent"
"1",0,1,36.6921657986111,1.912,1.166139529,-0.26,"congruent"
"1",1,1,34.1476779513889,2.657,0.882285217,0.31,"incongruent"
"1",1,0,63.1770833333333,1.095,1.549410259,0.36,"incongruent"
"1",1,0,51.7746310763889,1.94,2.099458461,0.21,"congruent"
"1",1,0,72.5070529513889,2.271,1.299031558,0.36,"incongruent"
"1",0,1,88.0615234375,0.657,1.399029086,-0.31,"incongruent"
"1",1,0,53.2562934027778,1.389,1.615826443,0.31,"incongruent"
"1",0,1,75.1708984375,0.667,1.199344624,-0.26,"incongruent"
"1",0,1,24.3039279513889,1.821,1.282721283,-0.21,"congruent"
"1",0,1,93.7890625,0.761,0.98207377,-0.16,"congruent"
"1",0,1,93.1673177083333,0.602,0.96582555,-0.16,"congruent"
"1",0,1,91.298828125,2.248,1.816212859,-0.26,"incongruent"
"1",0,1,83.251953125,1.466,1.265672675,-0.16,"congruent"
