Subj_idx,Stimulus,Response,Confidence,RT_decConf,difficulty,Accuracy,Training
1,1,1,-0.2344,3.6577,0.0167,1,0
1,1,2,-0.0391,3.5741,0.0083,0,0
1,2,2,-0.375,3.5161,0.0333,1,0
1,2,1,0.373,7.2489,0.1333,0,0
1,1,2,-0.2891,3.2577,0.1333,0,0
1,2,1,0,9.099,0.0333,0,0
1,1,1,-0.6407,4.5743,0.1333,1,0
1,1,2,0.1587,3.5325,0.1333,0,0
1,2,2,-0.4375,2.9244,0.0167,1,0
1,2,1,0.3254,4.9824,0.1333,0,0
1,1,2,-0.5235,3.366,0.0083,0,0
1,1,1,0.2222,3.891,0.0083,1,0
1,1,2,-0.25,4.2074,0.0333,0,0
1,1,1,-0.5781,3.4827,0.0667,1,0
1,1,2,-0.5781,4.7074,0.0333,0,0
1,1,1,0.5317,4.6493,0.0667,1,0
1,1,1,-0.4766,4.7074,0.0083,1,0
1,1,1,-0.336,3.0575,0.0167,1,0
1,2,2,-0.2344,3.4622,0.0667,1,0
1,2,1,0.3254,4.949,0.0083,0,0
1,2,2,-0.3906,3.716,0.0333,1,0
1,2,1,0.254,4.0158,0.1333,0,0
1,1,2,-0.4297,3.4327,0.1333,0,0
1,2,1,-0.5781,3.7244,0.0083,0,0
1,1,2,-0.336,3.3411,0.0083,0,0
1,1,1,0.254,3.7577,0.1333,1,0
1,2,2,-0.3906,3.6908,0.0667,1,0
1,2,2,0.4047,3.3741,0.1333,1,0
1,2,2,0.0318,3.5575,0.0667,1,0
1,1,1,0.4047,4.2741,0.0667,1,0
1,1,1,-0.3906,4.0991,0.0333,1,0
1,2,1,-0.0235,8.6988,0.1333,0,0
1,2,2,-0.336,3.9244,0.1333,1,0
1,1,2,0.873,9.3238,0.0167,0,0
1,2,1,0.4444,4.3243,0.0167,0,0
1,1,2,0.1111,3.2161,0.0333,0,0
1,1,1,0.0318,2.9827,0.0083,1,0
1,2,2,-0.3281,4.9324,0.0167,1,0
1,2,2,-0.4922,3.3575,0.0083,1,0
1,1,2,-0.586,2.8159,0.1333,0,0
1,2,1,0.1825,4.7576,0.0667,0,0
1,2,2,-0.3985,2.6411,0.0083,1,0
1,2,1,0.2381,3.9574,0.0083,0,0
1,1,2,-0.3906,3.5494,0.0167,0,0
1,2,1,0.2381,3.5911,0.0333,0,0
1,1,2,0.0556,2.9827,0.0333,0,0
1,1,2,-0.3906,2.9494,0.0167,0,0
1,1,2,-0.5781,2.9994,0.1333,0,0
1,1,2,0,3.2911,0.0167,0,0
1,2,2,-0.3516,2.8661,0.0333,1,0
1,2,1,0.0397,3.9325,0.0167,0,0
1,2,1,-0.1406,3.1411,0.0167,0,0
1,1,2,0,2.8494,0.0333,0,0
1,1,1,0.2143,3.9994,0.1333,1,0
1,2,2,0.0397,2.7575,0.0333,1,0
1,2,1,-0.2735,4.1323,0.0333,0,0
1,1,2,0.1587,3.4077,0.0083,0,0
1,2,1,-0.461,3.4161,0.0667,0,0
1,2,2,-0.4766,3.841,0.0333,1,0
1,1,1,0.3254,3.8324,0.0333,1,0
1,1,1,0.1111,2.7325,0.0667,1,0
1,2,1,-0.1016,3.1075,0.1333,0,0
1,1,2,0.3016,3.6493,0.0667,0,0
1,2,1,-0.3125,4.2493,0.1333,0,0
1,1,2,-0.3125,3.1827,0.0167,0,0
1,1,1,0.2698,3.6827,0.0167,1,0
1,1,2,-0.2344,4.1658,0.0667,0,0
1,1,1,-0.2266,2.8828,0.0167,1,0
1,1,2,-0.5156,3.7908,0.0167,0,0
