Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Trial_number,Skin_site,raw_Confidence_NotReverseCoded,raw_Response,logTransformed_RT_dec_NaNOutlier,logTransformed_RT_conf_NaNOutlier
9,46,1.93,92.36,1514,1253,15,7,7.64,1.93,7.322510434,7.133295955
9,44,0.99,91.65,2019,1101,16,8,8.35,0.99,7.610357618,7.003974137
9,46,2.95,89.36,1193,2223,17,1,10.64,2.95,7.084226422,7.706612914
9,46,7,93.62,1318,2000,18,2,6.38,7,7.183870715,7.60090246
9,45,7.97,92.44,2457,853,19,3,7.56,7.97,7.806696373,6.748759547
9,44,0.95,89.83,1332,902,20,4,10.17,0.95,7.194436851,6.80461452
9,46,6.85,92.6,2929,1224,21,5,7.4,6.85,7.982416347,7.109879463
9,44,1,89.67,791,1013,22,6,10.33,1,6.673297968,6.920671504
9,45,1.02,94.73,6179,1166,23,7,5.27,1.02,8.728911725,7.061334367
9,45,2.02,90.23,2041,1901,24,8,9.77,2.02,7.621195163,7.550135342
10,41,1.01,0,2721,4433,1,1,106.06,1.01,7.908754739,8.396831835
10,44,4,81.06,3144,10528,2,2,18.94,4,8.053251154,9.261793654
10,47,6.98,90.7,3458,20102,3,3,9.3,6.98,8.148445666,9.908574592
10,45,2.96,NaN,14499,13359,4,4,28.98,2.96,NaN,NaN
10,42.5,1.98,76.63,2888,10956,5,5,23.37,1.98,7.9683195,9.30164253
10,48,7.46,90.78,7132,8650,6,6,9.22,7.46,8.872346979,9.0653146
10,42,3,81.45,2561,2865,7,7,18.55,3,7.848153086,7.960323629
10,48.5,7.95,95.84,10082,24206,8,8,4.16,7.95,9.218506935,10.09435582
10,45.5,5.43,61.45,2985,4087,9,1,38.55,5.43,8.001355026,8.315566484
10,42,1.46,81.29,3923,5566,10,2,18.71,1.46,8.274611946,8.624431942
10,42,0,100,3284,982,11,3,-14.81,-0.2,8.096817471,6.889591308
10,48.5,8.09,81.06,11089,8837,12,4,18.94,8.09,9.313708905,9.086702732
