Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,ContrastLevel,BlockNumber
1,1,1,4,0.574292029,0.247879762,0.070789491,3,4
1,1,1,1,0.938819356,0.888074691,0.035394745,1,4
1,0,1,1,1.895797348,0.407998571,0.053092118,2,4
1,0,1,1,1.209571662,0.159893075,0.053092118,2,4
1,0,1,1,0.904320724,0.143890659,0.053092118,2,4
1,0,1,1,1.732245763,0.296003012,0.035394745,1,4
1,1,1,1,0.697331754,0.14390167,0.070789491,3,4
1,1,1,3,0.725162473,0.256007047,0.070789491,3,4
1,0,0,3,0.875905501,0.407914704,0.070789491,3,4
1,1,1,1,1.117920123,0.455955583,0.035394745,1,4
1,0,0,4,0.676760835,0.183931552,0.070789491,3,4
1,0,0,4,0.688100904,0.175767579,0.053092118,2,4
1,1,1,1,0.939398841,0.295909529,0.035394745,1,4
1,0,1,1,0.871465294,0.335894355,0.053092118,2,4
1,1,1,1,1.548798317,0.175872018,0.053092118,2,4
1,0,1,1,0.725477213,0.152001866,0.035394745,1,4
1,1,1,1,0.560222269,0.223962611,0.035394745,1,4
1,1,0,3,1.246232973,0.295923217,0.053092118,2,4
1,0,0,1,1.358385895,0.239962546,0.053092118,2,4
1,1,1,1,0.651913,0.287946546,0.035394745,1,4
1,0,1,1,0.499844687,0.199997937,0.070789491,3,4
1,0,0,4,0.65308909,0.216013872,0.070789491,3,4
1,0,0,3,0.799748034,0.167936467,0.070789491,3,4
1,0,1,1,0.782350895,0.535941788,0.035394745,1,4
1,1,1,3,0.886153828,0.144860433,0.070789491,3,4
1,0,0,1,1.451787751,0.239976752,0.035394745,1,4
1,1,0,1,1.57358598,0.239931828,0.070789491,3,5
1,1,1,1,0.835239793,0.199876405,0.035394745,1,5
1,0,1,1,1.43122543,0.207952883,0.070789491,3,5
1,0,0,2,1.30736626,0.231913252,0.053092118,2,5
1,0,0,2,1.179593587,0.343878473,0.053092118,2,5
1,1,1,1,1.452429863,0.239927896,0.053092118,2,5
1,0,0,2,1.046602351,0.288011432,0.070789491,3,5
1,1,1,1,1.054678697,0.191956632,0.035394745,1,5
1,0,1,1,1.10672783,0.135951687,0.035394745,1,5
1,1,0,2,1.190851415,0.455858318,0.053092118,2,5
1,0,1,1,0.74698929,0.214937641,0.053092118,2,5
1,1,1,2,1.194297789,0.415999106,0.035394745,1,5
1,1,1,1,1.62382132,0.239980057,0.070789491,3,5
1,0,0,3,0.875455262,0.247948295,0.070789491,3,5
1,1,1,2,1.252064874,0.223843921,0.035394745,1,5
1,1,1,2,0.670960863,0.503945632,0.035394745,1,5
1,1,1,2,0.765561989,0.647868366,0.070789491,3,5
1,0,0,1,1.523004524,0.24803664,0.053092118,2,5
1,1,1,1,1.257960901,0.223974133,0.053092118,2,5
1,1,1,4,0.692169995,0.199886698,0.070789491,3,5
1,0,0,3,1.470078909,0.391880856,0.070789491,3,5
1,0,0,3,1.041690183,0.335864607,0.070789491,3,5
1,1,1,3,1.560391728,0.167982042,0.053092118,2,5
1,1,1,1,1.72934584,0.207961157,0.053092118,2,5
1,0,0,2,1.361558727,0.295982456,0.035394745,1,5
1,0,0,2,1.181077046,0.528002079,0.070789491,3,5
1,1,1,1,0.598651318,0.303963176,0.053092118,2,5
1,0,1,1,1.08798408,0.247963787,0.053092118,2,5
1,1,1,2,1.248072999,0.255924902,0.053092118,2,5
1,0,1,2,0.625528548,0.408013071,0.070789491,3,5
1,1,1,3,0.637611679,0.335850077,0.035394745,1,5
1,1,1,1,0.740208096,0.47199966,0.035394745,1,5
1,1,1,2,0.721552894,0.784057885,0.035394745,1,5
1,0,0,1,1.579086133,0.167927734,0.035394745,1,5
1,0,1,1,0.931308818,0.223982971,0.035394745,1,5
1,0,0,1,1.018708926,0.239919227,0.035394745,1,5
1,1,1,1,0.70200491,0.200074752,0.053092118,2,5
1,0,0,2,0.871414279,0.367888052,0.053092118,2,5
1,0,0,2,1.491408724,0.167951651,0.070789491,3,5
1,1,1,3,0.710957192,0.311927234,0.035394745,1,5
1,1,1,1,1.003610499,0.22394516,0.053092118,2,5
1,0,1,1,0.76840733,0.263936903,0.053092118,2,5
1,1,1,1,0.97240892,0.239846979,0.053092118,2,5
1,1,1,1,1.321774996,0.239954441,0.053092118,2,5
1,1,1,4,0.689248457,0.183984943,0.070789491,3,5
1,1,1,4,0.587784424,0.184033277,0.035394745,1,5
1,0,0,2,0.858457092,0.527965219,0.070789491,3,5
1,1,1,3,0.808555687,0.19996981,0.070789491,3,5
1,1,1,4,0.685862198,0.184026175,0.070789491,3,5
1,0,1,1,1.664498784,0.199962122,0.035394745,1,5
1,0,0,1,0.868064941,0.25595483,0.053092118,2,5
