Subj_idx,Stimulus,Response,Confidence,RT_dec,NoiseLevel,Condition,Accuracy,Mean_direction,SD_direction
1,0,1,81,1.156598806,1.160643953,4,0,-40.24031051,56.51125688
1,1,1,52,0.716492891,0.715584993,1,1,43.51928662,37.1824091
1,1,0,65,0.422319889,0.715584993,1,0,37.5251478,37.58255216
1,1,1,75,0.306496859,0.715584993,1,1,44.10693177,40.19787558
1,0,0,79,0.452316999,0.715584993,1,1,-44.84492796,37.09720554
1,0,0,81,0.456161022,0.715584993,1,1,-43.53535789,37.83914214
1,0,0,74,0.76216507,0.715584993,1,1,-45.5042299,37.12063222
1,1,1,79,0.384102821,0.715584993,1,1,46.91619924,38.93793657
1,1,1,82,0.370163918,0.715584993,1,1,41.4422453,41.41853774
1,1,0,67,0.666123867,0.715584993,1,0,50.42039404,39.7541939
1,0,0,76,0.229900122,1.160643953,4,1,-48.76572095,53.75683018
1,1,1,80,0.489895105,1.160643953,4,1,44.16625965,57.1197073
1,1,1,81,0.801993132,0.715584993,1,1,48.09994176,38.48548307
1,1,1,76,1.079733849,0.715584993,1,1,48.18521439,38.61553419
1,1,1,77,0.991827011,0.715584993,1,1,46.09044424,38.38200909
1,0,0,78,0.133795023,1.160643953,4,1,-41.69831329,57.28168215
1,0,0,100,0.691684008,0.715584993,1,1,-47.07360507,36.46865941
1,1,0,74,2.109659195,1.160643953,4,0,38.87478794,55.28193911
1,0,0,79,0.289539099,1.160643953,4,1,-42.23851407,55.31076145
1,1,0,80,0.689656019,1.160643953,4,0,39.46927656,57.61496465
1,0,0,71,0.347640991,0.715584993,1,1,-43.9876376,36.54736682
1,1,1,78,0.321418047,0.715584993,1,1,45.35946066,36.91019769
1,0,0,72,0.213379145,0.715584993,1,1,-44.98115208,37.65315747
1,1,1,90,0.181355953,0.715584993,1,1,44.46132778,41.43013563
1,0,0,70,0.205298185,0.715584993,1,1,-44.60980698,39.75319642
1,0,0,77,0.413153887,0.715584993,1,1,-48.61110241,36.93391202
1,1,1,87,0.327211142,0.715584993,1,1,50.10914717,38.22529638
1,0,0,84,0.119296074,0.715584993,1,1,-44.87929615,40.02282481
1,0,1,80,0.313065052,1.160643953,4,0,-46.81280181,53.63870079
1,0,0,79,0.278856039,0.715584993,1,1,-47.64551991,38.37051267
1,1,1,83,0.151056051,0.715584993,1,1,43.13650175,36.78710288
1,1,1,73,0.520851135,1.160643953,4,1,41.23015487,55.94112691
1,1,1,82,0.458781958,0.715584993,1,1,49.08033494,36.60248649
1,1,1,82,0.458801031,1.160643953,4,1,44.7734211,49.450508
1,0,0,72,0.132776976,0.715584993,1,1,-41.6505931,38.33073668
1,0,0,72,0.888889074,0.715584993,1,1,-44.59702503,37.87709929
1,0,0,84,0.482663155,0.715584993,1,1,-46.42133297,36.58460122
1,1,1,81,0.192535162,0.715584993,1,1,42.16441734,36.36786521
1,1,1,81,0.84445405,0.715584993,1,1,47.60677993,39.3158249
1,1,1,83,0.478441954,0.715584993,1,1,41.98382561,40.7007832
1,0,0,85,0.71066618,1.160643953,4,1,-39.38751859,55.37883274
1,1,1,77,0.328297138,0.715584993,1,1,45.00862475,39.7111083
1,0,0,83,0.216276884,0.715584993,1,1,-41.95336631,35.73978099
1,0,1,83,0.622260094,1.160643953,4,0,-38.96610095,54.0561256
1,1,1,90,0.408265829,1.160643953,4,1,45.78518251,57.22746615
1,0,0,89,0.226281881,0.715584993,1,1,-47.4271207,38.75476497
1,1,1,73,0.052162886,0.715584993,1,1,47.41312585,39.74354968
1,0,0,76,0.682005167,1.160643953,4,1,-45.25204566,56.70004886
1,1,1,83,0.654044867,0.715584993,1,1,42.55978237,38.64779445
1,0,0,80,0.227912903,0.715584993,1,1,-45.29331587,37.5420003
1,1,1,85,0.990038157,0.715584993,1,1,46.40654891,38.33130812
1,1,1,74,0.62392211,0.715584993,1,1,42.90682935,40.74381275
1,0,0,79,0.305758238,0.715584993,1,1,-44.35144783,35.47409319
1,0,0,79,0.551784992,0.715584993,1,1,-44.08041669,38.34014669
1,1,1,78,0.413774967,0.715584993,1,1,44.66229389,37.42042087
1,0,0,77,0.207854986,0.715584993,1,1,-44.36498408,39.55258699
1,0,0,82,0.705619812,0.715584993,1,1,-42.4538261,39.26036738
1,0,1,81,0.595449924,1.160643953,4,0,-36.94842377,55.57782504
1,0,0,77,0.409422159,0.715584993,1,1,-46.92647151,37.71161976
1,0,0,83,0.597411156,0.715584993,1,1,-47.56895734,36.12883118
1,1,1,86,0.093327999,1.160643953,4,1,38.64331708,57.81972445
1,1,1,81,0.599275112,0.715584993,1,1,39.30817956,37.91263965
1,1,1,81,0.307240009,0.715584993,1,1,46.38331625,34.92294394
1,1,0,80,0.425450087,0.715584993,1,0,45.37662602,38.31953691
1,0,1,87,0.267150164,0.715584993,1,0,-42.85310856,37.32146017
1,0,0,85,0.293158054,0.715584993,1,1,-45.89636875,38.44845323
1,1,1,87,0.377007961,0.715584993,1,1,47.55607713,38.51657213
1,0,0,53,0.079095125,1.160643953,6,1,-42.18079714,61.69892484
1,1,1,52,1.508896112,1.160643953,6,1,38.50316385,55.54873626
1,0,0,55,0.422842979,0.715584993,3,1,-40.91993916,36.96130561
1,0,1,60,0.20480299,1.160643953,6,0,-59.03469868,57.46564594
1,0,1,54,0.658971071,1.160643953,6,0,-45.3815508,56.81734333
1,1,0,54,0.196778059,1.160643953,6,0,35.5030525,58.32714227
1,1,1,60,0.448691845,1.160643953,6,1,43.92544044,53.39355356
1,1,0,57,0.332680941,1.160643953,6,0,44.6851738,54.76792728
1,1,0,63,0.288513899,1.160643953,6,0,40.03653514,60.01088672
1,1,1,57,0.292582035,0.715584993,3,1,42.36300288,36.66977368
