Subj_idx,Stimulus,Response,Confidence,RT_dec,Error,Condition,Delay
1,72,50.8125,3,2.83396939400018,21.1875,1,12
1,100,100.6796875,4,3.7645224920002,-0.679687500000009,1,6.3
1,164,328,3,1.99908638000034,16,1,0.6
1,170,307.421875,3,3.31632910600001,42.578125,1,0.6
1,130,130.171875,3,2.42472456699988,-0.171874999999995,1,3.45
1,175,308.9609375,2,5.55651706800018,46.0390625,1,12
1,172,232.6015625,1,4.47800095900038,-60.6015625,0.5,6.3
1,170,325.96875,1,1.44191473799992,24.03125,1,3.45
1,56,41.7578125,3,3.45089964300041,14.2421875,1,12
1,162,329.4609375,1,2.57047684999998,12.5390625,0.5,3.45
1,42,40.796875,3,2.03440943900023,1.203125,0.5,12
1,2,318.6171875,3,4.20854340200003,43.3828125,1,12
1,86,276.25,2,1.76792791800017,-10.25,1,6.3
1,40,232.8671875,3,2.52109970200036,-12.8671875,1,9.15
1,114,300.3203125,3,1.87425267000026,-6.32031250000003,0.5,0.6
1,177,51.625,2,2.25892423599998,-54.625,1,12
1,26,236.0859375,2,1.71732921500006,-30.0859375,0.5,6.3
1,147,160.796875,1,4.64940337000007,-13.796875,0.5,9.15
1,166,131.421875,2,2.37807766900005,34.578125,1,9.15
1,52,226.6953125,3,3.99330487199995,5.30468749999999,1,3.45
1,175,172.28125,2,2.00163653700019,2.71875,1,6.3
1,144,312.7109375,2,1.93315058700045,11.2890625,1,9.15
1,49,53.59375,2,1.90856330000042,-4.59375,1,12
1,138,132.6484375,3,1.53571318100012,5.35156249999998,1,12
1,49,231.921875,2,2.26948662699988,-2.92187499999997,0.5,12
1,77,245.7890625,3,1.96792468400008,11.2109375,1,6.3
1,97,262.3515625,3,3.84924946800038,14.6484375,0.5,3.45
1,112,127.2421875,2,1.52190619500016,-15.2421875,0.5,6.3
1,27,170.0234375,1,1.78647339000008,36.9765625,0.5,12
1,151,314.25,3,2.57958740100048,16.75,1,6.3
1,58,239.09375,3,2.04826707700022,-1.09374999999999,0.5,6.3
1,109,107.2578125,1,1.77483086500024,1.74218750000001,0.5,12
1,144,138.265625,3,2.12714786900005,5.734375,1,9.15
1,90,114.0546875,3,1.38145032900047,-24.0546875,0.5,0.6
1,95,102,4,2.35743612200031,-7,1,12
1,62,63.390625,2,4.78272798199987,-1.39062500000001,0.5,12
1,33,188.3671875,1,1.84622356000045,24.6328125,0.5,3.45
1,101,102.0390625,3,3.31873817900032,-1.03906249999999,0.5,0.6
1,20,127.921875,1,2.4397079360001,72.078125,1,12
1,131,311.90625,3,1.78014238000014,-0.90624999999996,0.5,0.6
1,141,320,3,1.36188869900025,0.99999999999998,1,0.6
1,33,229.2578125,2,1.85351861800018,-16.2578125,0.5,6.3
1,138,310,3,1.32090705100018,7.99999999999995,0.5,0.6
