Subj_idx,Stimulus,Response,Confidence,Order,Scale
44,1,1,3,DS,P
215,2,2,2,DS,P
215,2,2,2,DS,P
215,1,1,3,DS,P
215,1,1,3,DS,P
215,1,1,3,DS,P
215,1,2,2,DS,P
215,2,2,4,DS,P
215,2,2,3,DS,P
215,1,1,2,DS,P
215,1,1,2,DS,P
215,2,2,3,DS,P
215,1,2,2,DS,P
215,2,2,3,DS,P
215,2,2,3,DS,P
215,2,2,4,DS,P
215,2,2,3,DS,P
215,1,2,2,DS,P
215,2,2,3,DS,P
215,2,2,4,DS,P
215,2,2,4,DS,P
215,1,2,2,DS,P
215,1,1,1,DS,P
215,1,1,1,DS,P
215,2,2,3,DS,P
215,1,2,2,DS,P
215,1,1,3,DS,P
215,2,2,3,DS,P
215,2,2,3,DS,P
215,1,1,3,DS,P
215,2,2,3,DS,P
215,1,1,2,DS,P
215,1,2,3,DS,P
215,2,2,2,DS,P
215,2,2,4,DS,P
215,1,1,1,DS,P
215,2,2,3,DS,P
215,1,1,1,DS,P
215,1,2,1,DS,P
215,1,2,2,DS,P
215,2,1,2,DS,P
215,2,1,2,DS,P
215,2,1,3,DS,P
215,2,2,2,DS,P
215,1,1,2,DS,P
215,1,1,3,DS,P
215,1,1,3,DS,P
215,2,2,3,DS,P
215,1,1,2,DS,P
215,1,1,2,DS,P
215,1,1,3,DS,P
215,2,1,4,DS,P
215,1,1,2,DS,P
215,2,2,4,DS,P
215,2,2,4,DS,P
215,2,2,4,DS,P
215,1,1,2,DS,P
215,2,1,2,DS,P
215,2,1,4,DS,P
215,1,1,3,DS,P
215,1,1,3,DS,P
203,2,2,3,DS,P
203,2,2,3,DS,P
203,1,2,2,DS,P
203,1,1,2,DS,P
203,1,2,2,DS,P
203,1,2,3,DS,P
203,2,2,3,DS,P
203,2,2,3,DS,P
203,1,1,3,DS,P
203,1,2,2,DS,P
203,2,2,3,DS,P
203,1,1,4,DS,P
203,2,2,3,DS,P
203,2,2,2,DS,P
203,2,2,2,DS,P
203,2,2,2,DS,P
203,1,1,3,DS,P
203,2,1,2,DS,P
203,2,1,1,DS,P
203,2,2,1,DS,P
203,1,2,2,DS,P
203,1,2,1,DS,P
203,1,2,1,DS,P
203,2,2,1,DS,P
203,1,2,1,DS,P
203,1,2,2,DS,P
203,2,2,2,DS,P
203,2,1,2,DS,P
203,1,1,2,DS,P
203,2,2,2,DS,P
203,1,2,2,DS,P
203,1,2,2,DS,P
203,2,1,2,DS,P
203,2,1,2,DS,P
203,1,2,2,DS,P
203,2,2,4,DS,P
203,1,1,2,DS,P
203,1,1,2,DS,P
203,1,1,2,DS,P
203,2,2,2,DS,P
203,2,2,2,DS,P
203,2,2,2,DS,P
203,2,1,3,DS,P
203,1,1,3,DS,P
203,1,2,2,DS,P
203,1,2,2,DS,P
203,2,2,2,DS,P
203,1,1,3,DS,P
203,1,1,2,DS,P
203,1,2,3,DS,P
203,2,1,2,DS,P
203,1,1,2,DS,P
203,2,2,2,DS,P
203,2,2,3,DS,P
203,2,2,3,DS,P
203,1,2,3,DS,P
203,2,1,2,DS,P
203,2,2,4,DS,P
203,1,2,1,DS,P
203,1,1,3,DS,P
174,2,2,1,DS,O
174,2,2,2,DS,O
174,1,1,4,DS,O
174,1,1,4,DS,O
174,1,1,3,DS,O
174,1,1,2,DS,O
174,2,2,1,DS,O
174,2,2,3,DS,O
174,1,1,4,DS,O
174,1,1,2,DS,O
174,2,2,4,DS,O
174,1,1,1,DS,O
174,2,2,3,DS,O
174,2,1,2,DS,O
174,2,2,4,DS,O
174,2,2,4,DS,O
174,1,1,2,DS,O
174,2,2,4,DS,O
174,2,1,2,DS,O
174,2,2,1,DS,O
174,1,1,3,DS,O
174,1,1,2,DS,O
174,1,1,2,DS,O
174,2,2,4,DS,O
174,1,1,2,DS,O
174,1,1,3,DS,O
174,2,2,3,DS,O
174,2,2,4,DS,O
174,1,1,4,DS,O
174,2,1,3,DS,O
174,1,1,1,DS,O
174,1,1,2,DS,O
174,2,2,2,DS,O
174,2,2,4,DS,O
174,1,1,4,DS,O
174,2,1,2,DS,O
174,1,1,2,DS,O
174,1,1,3,DS,O
174,1,1,3,DS,O
174,2,2,4,DS,O
174,2,2,1,DS,O
174,2,1,2,DS,O
174,2,1,1,DS,O
174,1,1,2,DS,O
174,1,1,2,DS,O
174,1,1,3,DS,O
174,2,2,3,DS,O
174,1,1,2,DS,O
174,1,1,3,DS,O
174,1,1,3,DS,O
174,2,2,4,DS,O
174,1,1,4,DS,O
174,2,2,4,DS,O
174,2,2,4,DS,O
174,2,2,4,DS,O
174,1,1,3,DS,O
174,2,2,4,DS,O
174,2,2,4,DS,O
174,1,1,3,DS,O
174,1,1,3,DS,O
84,2,2,4,DS,O
84,2,1,4,DS,O
84,1,1,2,DS,O
84,1,2,4,DS,O
84,1,1,2,DS,O
84,1,2,4,DS,O
84,2,1,1,DS,O
84,2,2,2,DS,O
84,1,2,1,DS,O
84,1,1,4,DS,O
84,2,1,3,DS,O
84,1,1,3,DS,O
84,2,2,4,DS,O
84,2,2,4,DS,O
84,2,2,4,DS,O
84,2,1,4,DS,O
84,1,1,4,DS,O
84,2,1,4,DS,O
84,2,1,4,DS,O
84,2,1,4,DS,O
84,1,2,3,DS,O
84,1,1,4,DS,O
84,1,1,4,DS,O
84,2,1,4,DS,O
84,1,1,4,DS,O
84,1,2,4,DS,O
84,2,1,4,DS,O
84,2,2,4,DS,O
84,1,1,4,DS,O
84,2,1,3,DS,O
84,1,1,4,DS,O
84,1,2,4,DS,O
84,2,1,1,DS,O
84,2,1,4,DS,O
84,1,1,4,DS,O
84,2,2,3,DS,O
84,1,2,4,DS,O
84,1,1,2,DS,O
84,1,2,4,DS,O
84,2,1,3,DS,O
84,2,1,3,DS,O
84,2,1,4,DS,O
84,2,2,4,DS,O
84,1,2,4,DS,O
84,1,2,4,DS,O
84,1,2,4,DS,O
84,2,1,4,DS,O
84,1,2,4,DS,O
84,1,1,4,DS,O
84,1,2,4,DS,O
84,2,2,4,DS,O
84,1,1,4,DS,O
84,2,1,4,DS,O
84,2,1,4,DS,O
84,2,2,4,DS,O
84,1,1,4,DS,O
84,2,2,4,DS,O
84,2,1,4,DS,O
84,1,1,4,DS,O
84,1,2,4,DS,O
39,2,2,NaN,DS,O
39,2,1,2,DS,O
39,1,1,2,DS,O
39,1,1,3,DS,O
39,1,1,1,DS,O
39,1,2,4,DS,O
39,2,1,2,DS,O
39,2,2,2,DS,O
39,1,1,4,DS,O
