"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Noise","Difficulty","Error_trial"
2,0,0,5,0.688,1.341,1,0.09,0
2,1,1,5,1.589,1.655,1,0.1,0
2,0,1,5,1.012,1.093,0,0.09,0
2,1,0,5,0.937,1.247,1,0.11,0
2,0,1,6,1.084,0.113,0,0.1,0
2,0,1,2,1.045,1.609,0,0.11,0
2,1,0,4,1.222,1.325,1,0.11,0
2,0,1,5,0.94,2.62,1,0.1,0
2,0,1,3,0.94,1.933,1,0.1,0
2,0,1,2,0.905,2.44,1,0.09,0
2,1,1,6,0.955,1.924,0,0.12,0
2,1,1,5,0.79,1.529,0,0.12,0
2,0,0,6,0.602,0.889,0,0.11,0
2,1,1,4,1.155,1.309,1,0.1,0
2,0,1,2,1.002,2.04,1,0.11,0
2,1,1,5,0.606,1.476,1,0.12,0
2,0,0,4,0.76,1.127,0,0.11,0
2,0,0,5,0.968,1.309,1,0.12,0
2,1,1,5,1.084,1.262,0,0.1,0
2,1,1,6,0.706,1.853,1,0.11,0
2,1,1,6,0.753,0.911,1,0.11,0
2,1,1,6,0.811,1.788,0,0.1,0
2,0,1,4,0.871,1.373,1,0.1,0
2,0,0,5,0.619,1.775,0,0.09,0
2,1,1,5,0.799,1.723,0,0.09,0
2,0,1,4,0.848,2.139,0,0.08,0
2,0,1,6,0.793,1.427,0,0.09,0
2,1,1,4,0.915,1.775,1,0.1,0
2,1,1,6,1.018,2.306,0,0.1,0
2,0,0,5,0.905,0.943,1,0.09,0
2,1,1,3,1.721,2.776,0,0.1,0
2,1,1,4,0.752,1.208,1,0.09,0
2,1,1,6,0.967,1.539,1,0.08,0
2,0,1,5,0.826,2.722,1,0.09,0
2,0,1,3,0.85,1.91,0,0.09,0
2,1,1,3,0.906,1.837,0,0.1,0
2,0,0,6,1.473,1.448,1,0.1,0
2,0,1,4,1.329,2.019,1,0.1,0
2,0,0,5,1.214,1.213,1,0.09,0
2,1,0,5,1.509,2.222,1,0.1,0
2,1,1,5,1.036,1.779,0,0.1,0
2,1,1,3,0.86,1.506,1,0.1,0
2,1,1,6,0.739,1.501,0,0.09,0
2,0,0,2,0.952,1.27,1,0.09,0
2,0,0,4,1.157,1.355,0,0.09,0
2,0,1,3,1.341,1.644,1,0.09,0
2,0,1,4,1.734,2.007,0,0.08,0
2,0,0,4,1.927,1.833,0,0.09,0
2,1,1,5,0.717,1.326,1,0.08,0
2,0,0,6,0.914,0.862,1,0.09,0
2,1,0,3,1.312,1.591,0,0.09,0
2,0,1,4,0.754,1.345,0,0.1,0
2,0,0,6,1.098,1.843,1,0.09,0
2,0,1,5,1.007,1.473,0,0.11,0
2,1,0,3,1.252,1.94,0,0.12,0
2,1,1,5,2.422,1.971,1,0.1,0
2,0,0,5,0.633,1.906,0,0.13,0
2,1,1,3,1.168,1.752,1,0.11,0
2,1,0,5,1.114,1.528,1,0.12,0
2,0,0,4,1.154,1.585,1,0.13,0
2,1,1,5,0.757,1.413,0,0.13,0
2,1,1,6,0.92,1.786,1,0.13,0
2,1,1,5,0.633,1.375,0,0.12,0
2,0,0,3,1.155,1.453,1,0.12,0
2,1,1,6,0.691,1.47,1,0.12,0
2,0,1,5,1.175,2.005,0,0.12,0
2,0,1,5,1.387,1.395,1,0.12,0
2,0,0,5,1.5,1.661,0,0.13,0
2,1,1,5,1.154,1.541,1,0.13,0
2,0,0,6,0.681,1.745,1,0.13,0
2,1,0,5,1.48,1.472,0,0.13,0
2,1,1,6,0.754,1.927,0,0.14,0
2,0,0,5,1.947,1.191,0,0.14,0
2,1,1,6,0.722,1.718,0,0.13,0
2,0,1,3,0.803,1.253,0,0.13,0
2,1,1,5,0.947,1.239,0,0.14,0
2,1,0,1,0.91,1.954,1,0.13,0
2,1,1,5,1.059,1.354,0,0.14,0
2,0,1,3,1.249,0.936,0,0.13,0
2,1,0,4,0.89,2.107,1,0.14,0
2,0,1,4,1.765,1.314,0,0.14,0
2,0,0,5,0.604,1.441,0,0.15,0
2,0,1,5,1.305,1.558,1,0.14,0
2,1,0,6,2.073,1.375,0,0.15,0
2,0,0,5,1.029,1.661,0,0.16,0
2,0,1,6,0.836,1.473,0,0.16,0
2,1,1,6,0.84,1.401,1,0.13,0
2,0,0,5,0.589,0.781,1,0.13,0
2,1,0,1,1.572,1.902,0,0.17,0
2,1,1,6,0.741,1.024,0,0.18,0
2,1,1,5,0.612,2.013,1,0.14,0
2,0,0,3,1.639,2.009,0,0.18,0
2,1,1,6,0.847,2.009,1,0.14,0
2,0,0,4,0.737,1.22,0,0.17,0
2,0,1,4,2.154,1.503,1,0.13,0
2,0,0,5,0.894,1.305,0,0.17,0
2,0,1,2,0.89,1.747,1,0.14,0
2,1,1,6,0.582,1.458,0,0.16,0
2,0,0,6,0.62,1.023,1,0.15,0
2,1,0,5,0.975,2.421,1,0.15,0
2,1,1,6,1.456,1.451,0,0.16,0
2,1,1,6,0.773,1.789,1,0.16,0
2,1,1,5,0.752,1.675,0,0.15,0
