Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Prompt_time
2,1,1,83,1.1044,2.5049,0.16,0.05
2,1,2,64,1.3525,4.1195,0.08,1.5
2,2,2,51,1.7111,4.3429,0.02,1.5
2,2,2,57,1.8174,3.4024,0.02,0.05
2,1,2,56,1.9432,3.3929,0.04,0.05
2,1,1,53,1.8493,3.7959,0.02,0.75
2,1,1,63,1.6764,3.9182,0.08,0.75
2,1,1,65,1.1402,2.9022,0.16,0.75
2,2,2,54,1.0738,3.0326,0.04,0.75
2,1,1,62,1.2794,3.7389,0.08,1.5
2,1,1,73,1.0501,2.6768,0.16,0.75
2,2,2,83,0.79942,1.8924,0.16,0.05
2,2,2,73,0.94628,2.0024,0.04,0.05
2,2,2,70,0.8137,1.8822,0.02,0.05
2,2,2,72,0.99788,2.5507,0.04,0.75
2,2,2,99,0.80108,2.3908,0.16,0.75
2,1,1,53,1.3451,3.3778,0.04,0.75
2,1,1,87,0.85362,1.8974,0.16,0.05
2,2,2,56,1.0878,3.5841,0.02,1.5
2,2,2,75,0.87307,3.2833,0.08,1.5
2,2,2,84,1.2624,2.3308,0.08,0.05
2,1,1,65,1.0687,3.4544,0.04,1.5
2,2,2,67,1.0773,2.7778,0.08,0.75
2,2,2,73,1.1324,2.694,0.02,1.5
2,1,1,74,1.004,2.5533,0.16,1.5
2,1,1,94,0.88486,3.3936,0.16,1.5
2,1,1,73,1.6298,2.8581,0.02,0.05
2,2,2,75,0.91192,2.5879,0.16,0.75
2,1,2,70,1.5617,3.3237,0.02,0.75
2,2,1,59,1.3451,2.5979,0.04,0.05
2,2,2,52,2.1112,4.23,0.02,0.75
2,2,2,54,1.4175,3.8032,0.04,1.5
2,1,1,54,1.2737,3.7578,0.08,1.5
2,2,1,44,1.4369,2.9112,0.08,0.05
2,1,1,56,1.2047,2.9543,0.08,0.75
3,2,1,71,1.0924,3.0496,0.02,0.05
3,1,2,79,0.88414,2.7567,0.16,0.75
3,2,2,79,1.3363,3.6204,0.08,1.5
3,2,2,79,1.2156,3.0343,0.08,0.05
3,1,1,90,0.87253,2.7261,0.08,1.5
3,1,2,90,0.87125,2.4979,0.04,0.75
3,1,2,91,1.0517,3.1397,0.08,0.75
3,1,2,21,1.4848,3.0575,0.16,0.05
3,2,2,67,1.1041,2.3309,0.02,0.75
3,1,2,69,0.93127,3.0807,0.04,0.75
3,1,1,90,0.78407,2.4994,0.16,1.5
3,2,2,89,0.6821,1.7856,0.02,0.75
3,2,2,90,0.74987,2.2611,0.02,0.05
3,1,1,92,0.839,1.9274,0.08,0.75
3,2,1,91,1.079,2.7021,0.02,1.5
3,1,2,89,0.74292,2.1389,0.16,0.75
3,1,1,60,1.0078,2.9075,0.02,1.5
3,2,2,70,0.90301,3.4024,0.04,1.5
3,1,2,61,0.934,2.2454,0.08,0.05
3,2,2,90,1.0415,2.5988,0.04,0.05
3,1,2,60,0.83034,2.4843,0.16,1.5
3,1,2,81,0.88324,2.2868,0.16,0.05
3,1,1,89,0.76943,2.4805,0.04,0.05
3,1,1,99,0.86368,2.4253,0.04,1.5
3,2,1,2,1.2497,3.1993,0.04,0.75
3,2,1,99,1.7072,2.4727,0.08,0.75
3,2,1,100,1.5638,2.3676,0.08,0.05
3,2,1,99,1.2582,2.1005,0.02,0.75
3,2,2,99,0.91201,1.7005,0.04,0.05
3,1,2,99,1.5437,3.6589,0.04,1.5
3,1,2,99,1.5399,2.3207,0.02,0.75
3,2,1,97,1.2242,3.2011,0.02,1.5
3,2,2,99,0.75294,1.5107,0.16,0.05
3,1,2,100,0.73992,1.5823,0.04,0.75
3,1,1,98,0.94333,1.8625,0.16,0.75
