Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Accuracy,Training,cond,Int.Block,five_s_to,exclude_subj
101,1,0,30,2.840767959,1.469487046,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,1,30,2.673583131,0.733995336,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.163746217,0.4995078,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,1.927365045,0.451243783,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,2.425957572,0.585650871,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,2.706826658,0.515893651,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,2.078394651,0.916137563,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,30,2.882514282,1.265265382,0.064,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.857008007,0.75312942,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.196020437,0.366380644,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,1,30,2.365488314,3.798459251,0.256,0,0,Expt,Pre,TRUE,FALSE
101,1,0,20,2.516535126,0.448689956,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,1,50,2.096798207,0.416457998,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,30,3.107340141,0.849314527,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.359082916,0.483264733,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,2.58379829,0.449818349,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,3.379899326,0.466647045,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,2.603603432,0.46847276,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,3.310008377,0.452011441,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.407156754,0.682665821,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,2.901204616,0.415806561,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.328887983,0.382353838,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.583639808,0.481967292,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,1,30,2.140717094,0.336138015,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.136932841,1.084480971,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,2.396531806,0.481923521,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,2.072134151,0.550214253,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,50,2.242248334,0.348297977,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,0,30,3.452499868,0.981862996,0.064,0,0,Expt,Pre,TRUE,FALSE
101,0,0,30,3.352103361,0.417818228,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.830553556,0.451705042,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.629240116,0.449031976,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,2.276375739,0.466083452,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.835838409,0.466559804,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,2.230267986,0.383948923,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,1.247604428,0.369356789,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,2.352840227,0.383167984,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,1.967402477,0.418188322,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,3.259208042,0.451349136,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.446812017,0.482186451,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,2.139583871,0.654063257,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,1,50,1.810206857,0.66703676,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,3.54645747,0.66727222,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.254615983,0.684798539,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,10,1.566247519,0.768095572,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,1.952378063,0.499613756,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,2.417432739,0.468123495,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,1.499243361,0.714967813,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,40,3.032359649,0.718280544,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.623685994,0.953757915,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,2.902240033,0.782568468,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.355445675,0.318306203,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,1.106024286,0.801252764,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.116636857,0.394980492,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,0.986425774,0.548287109,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,1,20,2.229087067,0.436519731,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.991997706,0.634453123,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.87888821,0.399974039,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.71844778,0.352495189,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,10,2.809758579,0.686103828,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,3.264581645,0.482988521,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.388781876,0.469596625,0.064,1,0,Expt,Pre,TRUE,FALSE
