Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Visual_search_accuracy
2,1,0,0,0.542416613,0.460935119,0.02,2,0,NaN
2,1,1,0,1.361520903,0.644819104,0.02,2,1,NaN
2,0,0,0,0.83608457,0.778566829,0.02,2,1,NaN
2,1,1,0,1.127495061,0.692742513,0.024,6,1,1
2,0,0,0,1.688656606,1.103410908,0.024,6,1,0
2,1,0,1,0.659407637,0.441952539,0.024,6,0,1
2,1,0,0,1.177643147,0.558969646,0.024,6,0,1
2,1,1,0,1.010475007,0.551748895,0.024,6,1,1
2,0,1,1,0.68564924,0.809702071,0.024,6,0,1
2,1,1,0,0.886212728,0.735610531,0.024,6,1,0
2,1,0,0,1.99679102,0.94576713,0.024,6,0,1
2,0,1,0,0.769241149,0.5517204,0.024,6,0,1
2,1,1,0,0.742998241,0.575680987,0.024,6,1,1
2,1,0,0,1.96334999,0.910007277,0.024,6,0,0
2,1,0,1,1.913188783,0.635374887,0.024,6,0,1
2,0,0,0,0.986522209,0.475383045,0.02,3,1,NaN
2,1,1,1,0.575814805,0.5278006,0.02,3,1,NaN
2,1,0,1,0.575814703,1.588181459,0.02,3,0,NaN
2,1,0,0,0.709581704,1.304028864,0.02,3,0,NaN
2,0,1,0,1.177677044,0.475381089,0.02,3,0,NaN
2,1,0,1,0.709593624,0.451439778,0.02,3,0,NaN
2,1,1,0,1.220566303,0.518323698,0.02,3,1,NaN
2,1,1,1,0.58534152,0.434728995,0.02,3,1,NaN
2,1,0,0,1.906012443,1.003106819,0.02,3,0,NaN
2,1,0,1,0.52569241,0.659267309,0.02,3,0,NaN
2,0,0,0,0.408664511,1.263339614,0.02,3,1,NaN
2,1,1,1,0.551886811,0.468187717,0.02,3,1,NaN
2,1,1,1,0.743012405,0.869402955,0.024,4,1,1
2,0,1,1,0.542390809,0.559002331,0.024,4,0,1
2,0,1,0,1.25399625,0.678253242,0.024,4,0,0
2,1,0,0,1.528718122,1.244377149,0.024,4,0,1
2,0,1,0,2.006280306,1.036586494,0.024,4,0,1
2,0,0,0,0.625977411,0.351141276,0.024,4,1,0
2,1,1,1,0.618747533,0.45866835,0.024,4,1,1
2,0,0,1,0.642710356,0.91005896,0.024,4,1,1
2,0,0,1,0.919654315,0.728308766,0.024,4,1,1
2,0,0,0,1.344845506,0.460938471,0.024,4,1,1
2,0,0,1,0.769187799,0.501588051,0.024,4,1,1
