Subj_idx,Stimulus,Response,Confidence,RT_decConf,Picture_ID,Accuracy,Confidence_raw
108,1,1,1,3.350529453,shapes\slide.042.jpeg,1,6
108,1,1,1,2.12558569,shapes\slide.047.jpeg,1,6
108,0,0,1,1.212394431,shapes\slide.053.jpeg,1,4
108,0,0,2,2.848585859,shapes\slide.054.jpeg,1,2
108,0,0,2,0.774022586,shapes\slide.055.jpeg,1,2
108,0,0,1,3.637711848,faces\slide053.jpg,1,4
108,0,0,2,1.480796263,faces\slide054.jpg,1,2
108,1,1,1,3.106398998,faces\slide041.jpg,1,6
108,0,1,1,1.70618391,faces\slide107.jpg,0,6
108,0,0,2,1.582404911,faces\slide057.jpg,1,2
109,0,0,1,3.075278399,words\slide14.jpg,1,4
109,1,1,1,1.386391285,words\slide7.jpg,1,6
109,0,1,2,1.386426107,words\slide16.jpg,0,8
109,0,0,2,1.722570947,words\slide217.jpg,1,2
109,0,0,2,0.930881356,words\slide18.jpg,1,2
109,1,1,2,2.015808632,shapes\slide.284.jpeg,1,8
109,1,1,2,1.159980984,shapes\slide.288.jpeg,1,8
109,0,1,1,2.958092041,shapes\slide.299.jpeg,0,6
109,0,1,1,4.488564042,shapes\slide.300.jpeg,0,6
109,1,1,1,0.858212011,shapes\slide.292.jpeg,1,6
109,0,0,2,1.529021957,faces\slide015.jpg,1,2
109,1,1,2,2.637602618,faces\slide005.jpg,1,8
109,1,1,2,2.117518812,faces\slide004.jpg,1,8
109,0,0,1,1.96580044,faces\slide018.jpg,1,4
109,1,1,1,1.0099773,faces\slide012.jpg,1,6
109,0,0,2,3.650562478,words\slide33.jpg,1,2
109,1,1,2,1.403087318,words\slide34.jpg,1,8
109,0,0,2,0.761385283,words\slide35.jpg,1,2
109,0,0,1,1.861483407,words\slide36.jpg,1,4
109,1,1,2,1.216971453,words\slide37.jpg,1,8
109,1,1,2,1.430021996,shapes\slide.028.jpeg,1,8
109,0,0,2,1.850140368,shapes\slide.033.jpeg,1,2
109,1,1,1,2.20190507,shapes\slide.023.jpeg,1,6
109,1,1,1,2.268533421,shapes\slide.025.jpeg,1,6
109,0,0,1,2.689648423,shapes\slide.036.jpeg,1,4
109,1,1,1,3.59558543,faces\slide025.jpg,1,6
109,0,1,1,1.211623225,faces\slide035.jpg,0,6
109,0,0,1,1.546737346,faces\slide036.jpg,1,4
109,0,0,2,0.857171762,faces\slide037.jpg,1,2
109,1,1,2,1.059949204,faces\slide026.jpg,1,8
109,0,0,2,0.928118722,words\slide52.jpg,1,2
109,0,0,2,0.878085238,words\slide53.jpg,1,2
109,1,1,2,2.855986362,words\slide48.jpg,1,8
109,0,0,1,2.533955625,words\slide55.jpg,1,4
109,0,0,1,1.589230674,words\slide191.jpg,1,4
109,1,1,1,2.956028037,shapes\slide.042.jpeg,1,6
109,1,1,1,1.765102762,shapes\slide.047.jpeg,1,6
109,0,1,1,1.630033872,shapes\slide.053.jpeg,0,6
109,0,0,1,2.670929806,shapes\slide.054.jpeg,1,4
109,0,0,1,0.841534671,shapes\slide.055.jpeg,1,4
109,0,1,1,1.98352316,faces\slide053.jpg,0,6
109,0,0,1,1.277211326,faces\slide054.jpg,1,4
109,1,1,2,1.39500248,faces\slide041.jpg,1,8
109,0,0,2,1.647394814,faces\slide107.jpg,1,2
109,0,0,2,1.058859839,faces\slide057.jpg,1,2
110,0,0,2,4.731139256,words\slide14.jpg,1,2
110,1,1,2,1.908675816,words\slide7.jpg,1,8
110,0,1,2,1.738182379,words\slide16.jpg,0,8
110,0,0,2,1.622561893,words\slide217.jpg,1,2
110,0,0,2,1.180843511,words\slide18.jpg,1,2
110,1,1,1,3.228227988,shapes\slide.284.jpeg,1,6
110,1,1,1,2.200836597,shapes\slide.288.jpeg,1,6
110,0,0,2,1.999110767,shapes\slide.299.jpeg,1,2
110,0,1,2,1.578996061,shapes\slide.300.jpeg,0,8
110,1,1,2,1.864014753,shapes\slide.292.jpeg,1,8
110,0,0,2,3.347694976,faces\slide015.jpg,1,2
110,1,1,1,2.269192099,faces\slide005.jpg,1,6
110,1,0,1,1.814120189,faces\slide004.jpg,0,4
110,0,0,1,1.546730748,faces\slide018.jpg,1,4
110,1,1,1,5.846759742,faces\slide012.jpg,1,6
110,0,0,2,1.875370987,words\slide33.jpg,1,2
110,1,1,2,1.705886277,words\slide34.jpg,1,8
110,0,0,2,1.38647559,words\slide35.jpg,1,2
110,0,1,2,2.942119198,words\slide36.jpg,0,8
110,1,1,2,1.080833724,words\slide37.jpg,1,8
110,1,1,1,1.697349491,shapes\slide.028.jpeg,1,6
110,0,0,2,1.681793773,shapes\slide.033.jpeg,1,2
110,1,1,2,2.000619458,shapes\slide.023.jpeg,1,8
110,1,1,2,1.02375785,shapes\slide.025.jpeg,1,8
110,0,1,1,1.5289941,shapes\slide.036.jpeg,0,6
110,1,1,1,1.6974217,faces\slide025.jpg,1,6
110,0,0,2,1.41225016,faces\slide035.jpg,1,2
110,0,0,2,1.747530325,faces\slide036.jpg,1,2
110,0,0,1,1.883491381,faces\slide037.jpg,1,4
110,1,1,1,1.748463543,faces\slide026.jpg,1,6
110,0,0,2,1.503130094,words\slide52.jpg,1,2
110,0,0,2,2.028188255,words\slide53.jpg,1,2
110,1,0,1,2.078155028,words\slide48.jpg,0,4
110,0,1,2,1.080789006,words\slide55.jpg,0,8
110,0,0,1,1.589254133,words\slide191.jpg,1,4
110,1,1,1,5.865641104,shapes\slide.042.jpeg,1,6
110,1,1,2,2.98935266,shapes\slide.047.jpeg,1,8
110,0,0,1,2.453621866,shapes\slide.053.jpeg,1,4
110,0,0,2,1.278322685,shapes\slide.054.jpeg,1,2
110,0,0,2,0.824902417,shapes\slide.055.jpeg,1,2
110,0,0,2,2.319270301,faces\slide053.jpg,1,2
110,0,0,1,1.261676135,faces\slide054.jpg,1,4
110,1,1,1,1.395041333,faces\slide041.jpg,1,6
110,0,0,1,1.830712856,faces\slide107.jpg,1,4
110,0,0,1,1.19501223,faces\slide057.jpg,1,4
111,0,0,2,3.008822323,words\slide14.jpg,1,2
111,1,1,2,1.775389058,words\slide7.jpg,1,8
111,0,0,1,6.721444927,words\slide16.jpg,1,4
111,0,0,2,2.535484843,words\slide217.jpg,1,2
111,0,0,2,1.283686675,words\slide18.jpg,1,2
111,1,0,1,4.236867406,shapes\slide.284.jpeg,0,4
111,1,1,1,2.690795702,shapes\slide.288.jpeg,1,6
111,0,0,2,3.006421833,shapes\slide.299.jpeg,1,2
111,0,1,2,2.807059838,shapes\slide.300.jpeg,0,8
111,1,0,1,6.436347062,shapes\slide.292.jpeg,0,4
111,0,0,1,3.09107017,faces\slide015.jpg,1,4
111,1,1,2,1.933532562,faces\slide005.jpg,1,8
111,1,1,2,1.311671865,faces\slide004.jpg,1,8
111,0,0,1,2.7237974,faces\slide018.jpg,1,4
111,1,1,1,2.051843106,faces\slide012.jpg,1,6
