Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy,Response_key,Solution,Target,Anagram,Type_of_change,RT_covresp,Trial,Sol_letters,Target_letters
40,0,1,1,1.482,1.217,1,2,0,o,cmentarz,tancerz,RNACTMZE,added,NaN,8,8,7
40,1,1,4,1.676,1.266,3,2,1,o,koniczyna,koniczyna,NYNICZKOA,none,NaN,9,9,9
40,1,1,NaN,1.359,NaN,3,2,1,o,sliniak,sliniak,IALNKIS,none,NaN,10,7,7
40,1,1,4,2.033,0.157,3,2,1,o,klamerka,klamerka,ELAMKRKA,none,NaN,11,8,8
40,1,1,2,1.6,1.634,3,2,1,o,wanilia,wanilia,WLNIAIA,none,NaN,12,7,7
40,1,1,1,1.826,1.794,3,2,1,o,koszula,koszula,OULZKSA,none,NaN,13,7,7
40,0,0,1,1.406,1.319,0,2,1,p,rachunek,rabunek,ENCKRHAU,added&changed,NaN,14,8,7
40,0,0,1,0.941,1.519,2,2,1,p,remanent,atrament,TRMNAENE,changed,NaN,15,8,8
40,0,0,1,1.048,1.676,2,2,1,p,klasztor,kloszard,ARLZOSTK,changed,NaN,16,8,8
40,0,0,2,1.562,2.02,2,2,1,p,plantacja,policjant,CJATLANPA,changed,NaN,17,9,9
40,0,0,4,2.109,1.005,0,2,1,p,kochanka,choinka,AKNAOHCK,added&changed,NaN,18,8,7
40,1,1,2,1.594,1.778,3,2,1,o,stolnica,stolnica,ILOTNCSA,none,NaN,19,8,8
40,1,1,2,0.979,1.517,3,2,1,o,bratanek,bratanek,RNATBKEA,none,NaN,20,8,8
40,1,1,2,1.674,1.347,3,2,1,o,doniczka,doniczka,OCDAIZKN,none,NaN,21,8,8
40,1,0,2,1.371,1.739,3,2,0,p,sniezyca,sniezyca,ICEYZANS,none,NaN,22,8,8
40,0,0,1,1.528,1.022,2,2,1,p,kurczak,kucharz,CKRAZKU,changed,NaN,23,7,7
40,0,0,4,1.244,1.112,2,2,1,p,parowka,oprawka,RAOKAPW,changed,NaN,24,7,7
40,1,0,1,1.605,1.356,3,2,0,p,bratowa,bratowa,TRWAOBA,none,NaN,25,7,7
40,1,1,4,0.822,0.667,3,2,1,o,podstawa,podstawa,AODSTPAW,none,NaN,26,9,9
40,1,1,4,0.585,0.613,3,2,1,o,kregoslup,kregoslup,UGELROKSP,none,NaN,27,9,9
40,1,0,1,1.874,2.221,3,2,0,p,katalog,katalog,KTGALOA,none,NaN,28,7,7
40,0,0,1,1.722,1.474,1,2,1,p,nadzieja,niedziela,ZDAEJNAI,added,NaN,29,8,7
40,1,1,2,1.522,1.368,3,2,1,o,rakieta,rakieta,RKEAIAT,none,NaN,30,7,7
40,1,1,4,0.551,0.735,3,2,1,o,czujnik,czujnik,KZIJUNC,none,NaN,31,7,7
40,1,1,2,1.284,1.395,3,2,1,o,kosiarka,kosiarka,RSKIOAKA,none,NaN,32,8,8
40,1,1,2,1.682,1.554,3,2,1,o,spotkanie,spotkanie,TPNSKAOIE,none,NaN,33,9,9
40,0,0,1,1.437,1.578,2,2,1,p,prowincja,pracownik,RPWIJNOAC,changed,NaN,34,9,9
40,1,1,4,1.022,0.923,3,2,1,o,uzdrowisko,uzdrowisko,ISDRKWOZUO,none,NaN,35,10,10
40,0,0,4,1.106,1.012,1,2,1,p,trucizna,intruz,CNRIZAUT,added,NaN,36,8,6
40,1,0,1,1.051,1.329,3,2,0,p,naparstek,naparstek,RAEKNSTPA,none,NaN,37,9,9
40,0,0,4,0.786,0.735,1,2,1,p,dinozaur,rodzina,OIDZUARN,added,NaN,38,8,7
40,0,0,4,1.208,1.115,2,2,1,p,potrawa,poprawa,PAOATWR,changed,NaN,39,7,7
40,0,1,2,1.474,1.743,1,2,0,o,lakomstwo,klamstwo,TLKOASOWM,added,NaN,40,9,8
40,0,0,4,1.214,0.821,1,2,1,p,bankomat,komnata,AKMOTABN,added,NaN,41,8,7
40,1,1,2,1.837,1.989,3,2,1,o,zmiennik,zmiennik,NZIEKNMI,none,NaN,42,8,8
41,1,1,4,0.916,1.121,3,1,1,o,koszula,koszula,OULZKSA,none,NaN,3,7,7
41,0,0,4,2.624,1.213,2,1,1,p,parowka,oprawka,RAOKAPW,changed,NaN,4,7,7
