Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
7,2,2,4,0.468,1.315,1,1,5,1,8,8,1124,1124,0
7,1,1,4,0.922,1.231,1,1,6,1,8,7,104,100,1
7,1,1,3,0.795,3.369,1,1,7,1,7,7,618,1644,1
7,1,2,3,1.804,1.673,1,0,8,1,7,7,177,236,1
7,1,1,4,0.879,1.543,1,1,9,1,8,8,594,100,1
7,2,2,4,0.571,0.862,1,1,10,1,7,7,613,613,0
7,1,1,4,0.758,0.871,1,1,11,1,8,7,1022,556,1
7,1,2,3,0.842,5.111,1,0,12,1,8,9,3412,100,1
7,2,2,4,0.519,1.549,1,1,13,1,7,7,126,126,0
7,2,2,4,0.455,1.194,1,1,14,1,8,8,248,248,0
7,2,2,4,0.42,1.081,1,1,15,1,9,9,707,707,0
7,1,1,4,1.414,7.104,1,1,16,1,8,7,857,227,1
7,1,1,4,1.082,1.452,1,1,17,1,8,7,134,196,1
7,2,2,4,0.846,1.415,1,1,18,2,8,8,2183,2183,0
7,1,1,3,0.653,1.148,1,1,19,2,8,7,962,408,2
7,1,1,4,0.373,2.007,1,1,20,2,8,6,175,160,2
7,2,2,4,2.236,1.647,1,1,21,2,7,7,920,920,0
7,2,NaN,4,NaN,1.719,1,NaN,22,2,6,6,422,422,0
7,2,2,4,0.293,1.337,1,1,23,2,7,7,248,248,0
7,1,1,4,1.184,1.689,1,1,24,2,8,7,976,283,2
7,2,2,4,1.499,1.077,1,1,25,2,7,7,212,212,0
7,1,1,4,1.233,0.633,1,1,26,2,9,9,2212,100,2
7,2,2,4,1.31,0.815,1,1,27,2,9,9,653,653,0
7,1,1,4,0.535,1.164,1,1,28,2,9,9,120,1042,1
7,1,1,4,0.414,0.675,1,1,29,2,8,6,896,100,2
7,2,2,4,1.719,2.566,1,1,30,2,8,8,1026,1026,0
7,2,2,4,0.963,1.217,1,1,31,2,8,8,328,328,0
7,1,1,4,0.382,0.516,1,1,32,2,8,6,455,457,2
8,1,NaN,4,NaN,4.065,1,NaN,1,0,NaN,NaN,NaN,NaN,NaN
8,2,2,4,0.133,1.521,1,1,2,0,NaN,NaN,NaN,NaN,NaN
8,2,2,1,1.517,2.395,1,1,3,1,8,8,248,248,0
8,1,2,1,1.471,1.498,1,0,4,1,8,9,3412,100,1
8,1,2,2,1.93,1.724,1,0,5,1,7,7,177,236,1
8,1,1,2,2.381,1.045,1,1,6,1,8,7,857,227,1
8,1,1,2,2.02,0.501,1,1,7,1,8,8,594,100,1
8,2,2,2,1.1,0.829,1,1,8,1,8,8,1124,1124,0
8,1,1,4,1.647,0.746,1,1,9,1,8,7,1022,556,1
8,1,1,1,1.15,1.447,1,1,10,1,8,7,134,196,1
8,1,1,3,2.077,2.777,1,1,11,1,7,7,618,1644,1
