Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Prompt_time
2,2,2,85,3.454,0.16,0.75
2,1,2,57,3.6424,0.02,0.75
2,1,1,86,3.6948,0.16,1.5
2,2,2,80,2.0495,0.16,0.05
2,1,1,64,2.5907,0.04,0.05
3,2,1,100,2.8336,0.02,0.75
3,1,1,95,2.3969,0.02,0.05
3,1,1,98,2.7941,0.02,1.5
3,1,1,100,1.818,0.04,0.75
3,2,1,100,2.0962,0.08,0.05
3,1,1,98,1.974,0.02,0.75
3,2,1,99,2.1163,0.04,0.05
3,2,1,98,2.2466,0.04,0.05
3,2,2,99,2.7233,0.02,0.05
3,1,2,99,2.8535,0.08,1.5
3,2,1,99,2.6234,0.16,1.5
3,1,1,99,1.9063,0.04,0.75
3,1,1,98,1.7496,0.16,0.05
3,1,1,98,1.8308,0.08,0.75
3,2,1,100,2.846,0.16,1.5
3,2,2,95,2.8556,0.08,0.05
3,2,2,98,2.051,0.08,0.75
3,2,1,99,3.0739,0.04,1.5
3,1,2,99,2.4961,0.16,0.75
3,2,2,99,3.0062,0.08,1.5
3,1,2,100,3.1693,0.02,1.5
3,1,1,100,2.7874,0.04,1.5
3,2,2,99,1.7689,0.16,0.05
3,2,1,100,1.8852,0.16,0.75
3,2,2,100,2.7891,0.04,1.5
3,2,1,99,2.024,0.08,0.05
3,1,2,99,2.1246,0.08,0.75
3,1,1,99,1.7395,0.16,0.05
3,2,1,100,3.0152,0.08,1.5
3,1,1,99,2.0378,0.16,0.75
3,2,1,100,2.715,0.02,1.5
3,1,2,99,1.9071,0.04,0.05
3,2,2,99,2.0878,0.16,0.05
3,1,2,99,1.7353,0.08,0.05
3,2,1,100,2.0826,0.04,0.75
3,1,2,99,1.8861,0.02,0.05
3,1,2,100,2.8127,0.02,1.5
3,1,2,100,1.8682,0.16,0.75
3,2,1,98,1.9986,0.02,0.75
3,1,2,100,2.1071,0.04,0.05
3,1,2,99,2.5399,0.16,1.5
3,2,2,98,2.0889,0.02,0.05
3,2,1,97,1.6912,0.02,0.75
3,2,2,99,2.5115,0.16,1.5
3,1,1,100,3.3001,0.08,1.5
3,1,1,60,3.3838,0.08,0.75
3,1,2,81,3.2892,0.04,0.75
3,1,1,89,2.4965,0.04,1.5
3,1,2,99,2.2467,0.08,0.75
3,2,2,99,3.8822,0.08,0.05
3,1,2,99,3.9754,0.02,1.5
3,1,1,99,3.9194,0.04,1.5
3,1,2,99,2.931,0.04,0.05
3,2,1,99,2.5737,0.04,0.75
3,1,2,100,3.438,0.02,0.05
3,2,1,80,4.208,0.16,0.05
3,2,2,79,2.9019,0.02,0.05
3,2,2,61,3.2816,0.04,0.05
3,1,1,77,2.6323,0.04,1.5
3,2,1,79,2.5903,0.08,0.05
3,1,2,80,3.7946,0.02,0.75
3,2,2,60,3.6537,0.08,1.5
3,2,2,59,3.3503,0.02,1.5
3,1,2,69,3.2625,0.16,1.5
3,2,1,70,3.0268,0.16,0.75
3,2,2,80,3.0591,0.08,1.5
3,2,1,50,3.7534,0.16,0.05
3,2,1,50,4.5689,0.02,0.75
3,2,2,70,3.7782,0.04,0.75
3,2,1,50,3.9971,0.16,0.75
3,2,2,90,2.8506,0.08,0.75
3,2,1,50,3.6151,0.16,1.5
3,2,2,62,3.6551,0.02,1.5
3,1,1,80,3.5274,0.08,1.5
3,1,2,99,2.0743,0.04,0.75
3,1,2,95,3.4398,0.16,1.5
3,2,2,51,4.3377,0.04,1.5
3,1,2,89,2.6231,0.16,0.75
3,1,1,91,4.1432,0.08,0.05
3,1,1,90,4.4683,0.08,1.5
3,1,2,99,2.701,0.04,0.75
3,1,1,52,4.8079,0.16,0.75
3,2,2,99,2.4907,0.16,0.05
3,2,2,98,3.1921,0.08,0.75
3,1,1,100,5.4167,0.04,1.5
3,1,2,98,3.2757,0.04,0.05
3,1,2,99,2.6224,0.02,0.75
3,2,2,69,4.1662,0.04,0.05
3,2,2,71,3.6594,0.08,0.05
3,1,2,99,2.6632,0.02,1.5
3,1,1,50,4.511,0.16,0.05
3,2,1,60,4.1022,0.08,0.75
3,2,2,51,3.5974,0.02,0.05
3,2,2,99,3.5549,0.16,1.5
3,1,1,50,5.6344,0.02,0.05
3,1,2,70,3.5567,0.02,0.75
3,1,1,60,3.8301,0.04,0.05
3,2,2,79,2.9581,0.02,0.75
3,1,1,90,4.0306,0.08,0.05
3,2,2,71,4.2047,0.02,0.05
3,2,2,98,3.6523,0.08,1.5
3,1,2,99,2.5688,0.16,0.05
3,1,1,90,3.1135,0.08,0.75
3,1,1,51,3.9256,0.04,1.5
3,2,2,100,3.157,0.08,0.75
3,2,2,100,2.4848,0.16,0.75
3,1,1,99,2.5678,0.16,0.75
3,2,2,98,3.3213,0.16,1.5
3,2,2,98,3.319,0.02,1.5
3,1,2,100,1.9812,0.08,0.05
3,2,1,99,3.5593,0.08,1.5
3,1,2,99,2.1475,0.02,0.75
3,1,1,90,2.8849,0.16,0.05
3,1,2,71,2.9241,0.04,0.05
3,2,2,98,2.9521,0.04,1.5
3,2,2,51,3.4796,0.02,0.05
3,2,1,89,3.3554,0.02,1.5
3,1,1,99,2.939,0.16,1.5
3,1,1,99,2.1562,0.04,0.75
3,1,2,100,1.9996,0.04,0.75
3,2,2,60,3.5204,0.02,0.05
3,1,1,60,4.1918,0.08,0.05
3,1,2,89,2.8311,0.02,1.5
3,2,1,91,2.5636,0.02,0.75
3,2,2,59,3.7477,0.04,0.05
3,1,1,95,1.6778,0.16,0.05
3,1,2,81,3.108,0.02,0.75
3,1,1,99,2.1663,0.04,0.75
3,1,1,99,2.1258,0.16,0.75
3,2,2,70,3.026,0.08,1.5
3,1,1,99,3.0957,0.16,1.5
3,1,1,89,2.4442,0.08,0.75
3,2,2,59,2.3748,0.08,0.75
3,2,1,79,2.9391,0.08,1.5
3,2,2,100,2.7335,0.02,0.05
3,2,2,58,2.4566,0.16,0.05
3,1,1,100,1.8178,0.08,0.05
3,1,2,61,2.6945,0.02,1.5
3,2,1,99,2.6758,0.04,1.5
3,2,2,78,3.0256,0.04,1.5
3,2,1,90,3.7681,0.04,0.05
3,1,1,80,4.341,0.16,1.5
3,1,1,80,6.2923,0.04,0.75
3,2,2,60,3.1836,0.16,0.75
3,1,1,90,3.3061,0.04,1.5
3,2,2,71,2.9987,0.04,0.05
3,2,2,60,3.1174,0.04,0.75
3,2,1,91,2.9734,0.08,1.5
3,1,1,93,2.8904,0.02,1.5
3,2,2,99,3.2945,0.02,1.5
3,2,2,56,3.6232,0.16,1.5
3,1,1,97,1.807,0.16,0.75
3,1,1,92,2.9348,0.04,1.5
3,2,1,98,1.4139,0.02,0.75
3,2,2,99,3.3661,0.16,1.5
3,2,1,50,4.195,0.02,0.75
3,2,2,59,2.9365,0.08,0.05
3,1,1,100,2.4331,0.08,0.75
3,1,2,100,2.0891,0.02,0.05
3,2,2,57,3.1783,0.04,0.05
3,1,1,70,2.5695,0.02,0.05
3,1,2,73,3.8545,0.08,0.75
3,2,2,100,2.3872,0.16,0.05
3,2,2,60,2.9801,0.08,1.5
3,1,2,100,1.686,0.08,0.05
3,1,1,100,2.17,0.16,0.05
3,1,2,70,2.2729,0.04,0.75
3,1,1,90,2.6867,0.16,0.75
3,1,1,100,2.4216,0.04,0.75
3,2,2,99,3.0533,0.08,1.5
3,1,1,90,3.4586,0.08,0.75
3,2,2,97,2.905,0.16,1.5
3,1,1,98,1.6007,0.16,0.05
3,2,1,90,2.5248,0.02,1.5
3,1,1,99,2.8027,0.08,1.5
3,1,1,79,3.8837,0.04,0.05
3,2,2,96,1.5339,0.16,0.75
3,1,2,59,3.8519,0.04,1.5
3,2,2,59,2.8451,0.02,0.75
3,2,2,71,2.2995,0.02,0.05
3,1,1,80,2.3583,0.16,0.05
3,1,2,100,3.0226,0.08,0.75
3,1,1,70,3.3964,0.02,0.05
3,2,1,60,4.8691,0.04,1.5
3,2,2,90,2.4396,0.16,0.75
3,2,1,70,3.2655,0.02,1.5
3,2,1,59,4.1679,0.04,0.05
3,2,1,73,3.2005,0.08,0.05
3,1,1,81,4.805,0.04,0.75
3,1,1,98,1.9979,0.08,0.05
3,1,1,50,3.0937,0.02,0.75
3,1,1,97,2.9522,0.16,1.5
4,1,1,68,5.7877,0.04,1.5
4,1,1,83,5.0335,0.16,0.75
4,1,1,84,4.3711,0.02,0.75
4,2,2,94,3.7534,0.02,0.05
4,1,1,85,3.3031,0.04,1.5
4,2,2,94,4.5289,0.08,1.5
4,1,1,77,4.0579,0.02,1.5
4,2,2,95,3.2108,0.16,1.5
4,1,1,83,4.4447,0.04,0.75
4,1,1,78,4.8589,0.16,1.5
4,2,2,84,4.8562,0.02,0.75
4,2,2,87,5.2388,0.16,0.05
4,1,1,77,4.6825,0.04,0.05
4,1,2,87,6.9187,0.08,1.5
4,2,1,77,5.3088,0.08,0.05
4,1,2,83,4.3526,0.02,1.5
4,1,2,84,4.6451,0.04,0.05
4,2,2,85,7.4674,0.08,0.75
4,1,1,81,4.7038,0.08,0.75
4,2,2,83,5.9113,0.08,0.05
4,1,1,78,5.9693,0.04,0.75
4,1,1,82,4.2824,0.16,0.75
4,1,2,90,6.0961,0.16,0.05
4,1,2,83,4.6176,0.02,0.05
4,2,1,94,2.639,0.02,0.75
4,1,1,82,3.5636,0.02,1.5
4,1,1,93,2.8389,0.16,1.5
4,2,2,95,3.7149,0.02,0.05
4,2,2,86,3.6002,0.16,0.05
4,2,1,87,3.9962,0.04,1.5
4,1,1,83,3.818,0.16,0.75
4,1,1,81,3.6128,0.04,0.05
4,1,1,83,2.7468,0.08,0.05
4,2,1,84,2.5765,0.08,0.05
4,2,1,83,3.2833,0.02,0.05
4,2,1,82,4.7478,0.02,0.75
4,1,2,90,4.5578,0.08,1.5
4,1,1,86,3.8567,0.04,1.5
4,2,1,74,3.4957,0.02,1.5
4,1,1,75,4.1963,0.04,0.75
4,2,2,86,4.2717,0.16,0.75
4,1,1,83,5.725,0.04,0.05
4,2,2,85,8.7729,0.08,0.75
4,2,1,82,3.5471,0.04,0.75
4,1,1,80,4.3761,0.16,1.5
4,1,2,96,3.9688,0.08,1.5
4,2,2,97,5.4331,0.16,0.05
4,1,1,81,4.8328,0.08,0.75
4,2,2,83,3.0177,0.02,1.5
4,2,2,84,2.8699,0.08,1.5
4,2,1,79,3.9204,0.16,0.75
4,1,1,80,3.8311,0.04,0.05
4,2,1,76,3.0764,0.02,0.05
4,1,2,83,3.2955,0.08,1.5
4,2,2,89,2.7569,0.16,0.05
4,1,1,77,2.6674,0.16,0.75
4,2,1,78,2.782,0.02,0.05
4,2,1,75,3.7156,0.16,0.05
4,2,2,84,3.1915,0.16,1.5
4,1,1,83,3.3988,0.04,0.05
4,2,2,81,2.4038,0.08,0.05
4,2,1,78,3.7314,0.04,0.75
4,1,2,87,3.0531,0.04,1.5
4,2,1,83,2.9919,0.08,0.05
4,1,2,83,3.5159,0.08,0.75
4,2,1,81,3.4215,0.02,1.5
4,2,1,67,4.0724,0.16,1.5
4,1,1,86,4.2335,0.08,0.75
4,2,2,84,6.1106,0.04,1.5
4,1,1,83,5.7145,0.02,0.75
4,1,1,86,4.7084,0.04,0.75
4,1,1,82,3.6074,0.02,0.75
4,2,2,86,2.9986,0.16,0.75
4,2,2,86,5.0226,0.16,0.75
4,2,1,83,3.736,0.04,0.75
4,2,2,78,3.127,0.04,1.5
4,2,1,88,4.17,0.04,0.05
4,1,1,79,6.9193,0.04,0.75
4,2,2,77,2.9152,0.08,1.5
4,2,1,81,4.3379,0.04,0.05
4,1,1,77,5.4356,0.04,1.5
4,1,1,83,3.1788,0.16,1.5
4,2,2,80,3.6917,0.08,0.05
4,1,2,81,3.6472,0.02,0.05
4,1,1,84,4.379,0.08,1.5
4,1,1,79,4.0301,0.16,0.05
