Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
16,2,35,95,1.5,0.72498,1.0523,2,1.5696,0,0.93254
16,2,36,96,1.5,0.96091,1.8664,3,1.0649,0,1.8043
16,2,37,97,1.5,0.93911,1.7739,3,2.7604,0,0.82308
16,2,38,98,1.5,0.96034,1.5526,3,1.6199,1,0.59421
16,2,39,99,1.5,0.70401,1.0349,2,1.3696,0,0.68168
16,2,40,100,1.5,0.84961,1.668,1,1.3672,1,0.64251
16,2,41,101,1.5,1.0742,1.5254,3,1.5372,0,0.79536
16,2,42,102,1.5,0.6942,1.3807,3,0.88828,1,1.1975
16,2,43,103,1.5,0.689,1.4873,2,1.9959,1,0.72626
16,2,44,104,1.5,1.9309,1.5039,3,0.78291,0,0.59276
16,2,45,105,1.5,0.92962,1.343,3,1.6276,0,0.71361
16,2,46,106,1.5,0.98981,1.6113,2,1.4278,0,1.0887
16,2,47,107,1.5,0.71322,1.3935,1,1.9018,0,0.59273
16,2,48,108,1.5,0.84731,1.4826,2,2.0277,0,0.62639
16,2,49,109,1.5,0.62259,1.4368,2,3.0078,0,0.53273
16,2,50,110,1.5,0.56234,1.8182,1,1.2051,1,0.47225
16,2,51,111,1.5,0.61911,1.5839,2,1.1669,1,0.44307
16,2,52,112,1.5,0.77741,1.6277,2,1.4992,1,0.41524
16,2,53,113,1.5,0.76984,1.6597,3,1.5125,0,1.2668
16,2,54,114,1.5,0.60748,1.7271,2,2.1016,1,0.46497
16,2,55,115,1.5,0.65072,1.7189,2,1.2553,1,0.52243
16,2,56,116,1.5,0.3645,1.5058,3,0.69772,1,0.45343
16,2,57,117,1.5,0.32064,1.5101,3,0.82684,0,0.85004
16,2,58,118,1.5,2.3169,1.7931,1,1.8998,1,0.47754
16,2,59,119,1.5,0.97481,2.8506,1,1.3372,1,0.50885
16,2,60,120,1.5,0.78513,1.6334,3,0.79101,0,0.61255
16,3,1,121,3,1.1254,3.2137,3,1.1374,1,0.57219
16,3,2,122,1.5,0.83881,1.1984,2,1.7036,0,0.61925
16,3,3,123,1.5,0.75569,1.5992,3,2.39,1,0.45774
16,3,4,124,3,0.83771,2.9857,3,2.6631,1,0.93888
16,3,5,125,3,0.6407,3.2509,3,2.2242,1,0.59684
16,3,6,126,1.5,1.1341,1.6065,3,1.1217,0,0.62253
16,3,7,127,3,1.0091,3.2655,3,1.1632,1,0.48951
16,3,8,128,3,1.0643,3.1322,3,0.6981,1,0.41635
16,3,9,129,3,1.4385,3.3838,1,1.4248,1,0.59938
16,3,10,130,3,0.72038,3.1097,2,4.4455,1,0.47082
16,3,11,131,1.5,1.2007,1.3545,3,1.5966,0,0.42876
16,3,12,132,1.5,0.94615,0.94377,2,1.3986,0,0.56572
16,3,13,133,1.5,0.65846,1.115,1,1.4532,0,0.4825
16,3,14,134,3,1.3082,2.5001,3,1.389,0,0.82276
16,3,15,135,1.5,0.87072,1.2974,3,1.265,0,0.65251
