"Subj_idx","Condition","Stim_idx","Stimulus","Response","Confidence","RT_decConf","Resp_raw"
15,"face","face_168","2","2","3","1.421","1"
15,"face","face_43","2","2","2","1.127","2"
15,"face","face_79","1","2","1","1.421","3"
15,"face","face_191","1","2","2","1.767","2"
15,"face","face_95","1","1","3","1.635","6"
15,"face","face_103","2","2","2","2.116","2"
15,"face","face_112","1","2","2","1.858","2"
15,"face","face_80","1","1","3","0.994","6"
15,"face","face_128","2","2","3","3.317","1"
15,"face","face_57","1","1","2","2.058","5"
15,"face","face_45","1","2","2","1.33","2"
15,"face","face_74","2","1","2","4.184","5"
15,"face","face_172","2","2","2","1.704","2"
15,"face","face_129","1","1","3","3.079","6"
15,"face","face_105","2","2","1","1.909","3"
15,"face","face_49","1","1","3","1.155","6"
15,"face","face_214","2","1","1","2.944","4"
15,"face","face_60","1","2","3","1.691","1"
15,"face","face_204","2","1","3","1.61","6"
15,"face","face_154","2","2","1","1.828","3"
15,"face","face_89","2","2","3","2.581","1"
15,"face","face_163","1","1","3","1.719","6"
15,"face","face_136","1","1","3","1.165","6"
15,"face","face_88","2","2","3","1.53","1"
15,"face","face_137","2","2","3","1.055","1"
15,"face","face_81","2","1","3","1.4","6"
15,"face","face_176","2","2","1","2.163","3"
15,"face","face_102","2","2","1","0.934","3"
15,"face","face_44","2","2","3","1.028","1"
15,"face","face_114","1","1","3","0.822","6"
15,"face","face_141","1","1","3","1.112","6"
15,"face","face_55","2","2","3","2.007","1"
15,"face","face_29","2","2","3","2.929","1"
15,"face","face_142","2","2","3","1.037","1"
15,"face","face_6","1","1","3","1.199","6"
15,"face","face_194","1","1","3","2.354","6"
15,"face","face_211","2","2","3","0.998","1"
15,"face","face_109","1","2","3","1.017","1"
15,"face","face_206","1","1","3","1.491","6"
15,"face","face_120","2","2","3","1.107","1"
15,"face","face_54","1","1","3","2.377","6"
15,"face","face_56","2","2","3","1.492","1"
15,"face","face_66","1","1","3","2.907","6"
15,"face","face_13","1","2","3","1.433","1"
15,"face","face_174","1","1","1","2.162","4"
15,"face","face_123","1","1","3","2.598","6"
15,"face","face_83","1","1","3","1.335","6"
15,"face","face_92","1","1","3","1.133","6"
15,"face","face_85","1","1","3","0.883","6"
15,"face","face_166","2","2","3","2.41","1"
15,"face","face_86","1","1","3","1.211","6"
15,"face","face_97","2","2","2","1.669","2"
15,"face","face_90","2","2","3","1.717","1"
15,"face","face_147","2","2","3","1.307","1"
15,"face","face_157","2","2","3","2.297","1"
15,"face","face_140","1","2","3","1.991","1"
15,"face","face_146","2","2","3","0.89","1"
15,"face","face_61","1","2","1","1.721","3"
15,"face","face_187","1","1","3","1.343","6"
15,"face","face_193","2","2","3","2.515","1"
15,"face","face_184","2","2","3","1.113","1"
15,"face","face_35","2","2","1","1.967","3"
15,"face","face_26","2","2","2","1.898","2"
15,"face","face_104","1","2","1","2.408","3"
