Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast,Condition
1,2,2,2,0.62752,3,1
1,1,1,2,0.98711,1,1
1,1,1,2,0.56243,2,1
1,2,2,2,0.69822,2,1
1,2,2,2,0.55416,2,1
1,2,1,2,0.77816,3,1
1,1,1,2,0.643,2,1
1,1,1,2,0.71427,2,1
1,1,1,2,0.61062,3,1
1,2,1,2,0.79534,1,1
1,2,1,2,0.62666,1,1
1,1,1,2,0.69088,3,1
1,2,2,1,1.4835,2,1
1,2,2,1,0.81148,1,1
1,1,1,1,0.95538,2,1
1,1,1,1,0.89082,3,1
1,1,1,2,0.84339,3,1
1,2,2,2,1.0356,1,1
1,1,2,1,0.80253,2,1
1,2,2,1,0.85944,1,1
1,2,2,1,0.65012,2,1
1,2,2,1,0.85076,1,1
1,1,2,1,0.73108,1,1
1,1,1,2,0.85863,3,1
1,2,2,2,0.86657,3,1
1,1,2,2,0.93157,1,1
1,1,2,1,0.7706,1,1
1,1,2,2,0.92289,2,1
1,1,2,1,0.82638,1,1
1,2,2,1,1.1225,3,1
1,2,2,1,0.70711,1,1
1,2,2,2,0.93879,3,1
1,1,2,1,0.77884,1,1
1,2,2,2,0.79514,3,1
1,2,2,2,0.70626,1,1
1,1,2,1,1.067,1,1
1,2,2,1,1.0595,1,1
1,1,2,1,0.77908,3,1
1,1,2,1,0.74689,2,1
1,2,1,1,0.88222,2,1
1,1,1,1,1.2598,1,1
1,1,1,1,1.0355,1,1
1,1,1,1,0.83552,3,1
1,1,1,1,0.86658,2,1
1,1,1,1,0.7877,1,1
1,1,1,1,1.0029,1,1
1,1,1,2,0.7556,3,1
1,2,2,2,0.71513,1,1
1,2,1,2,0.97174,2,1
1,1,2,2,0.60341,1,1
1,1,1,2,0.65836,3,1
1,2,2,1,1.2343,1,1
1,2,2,2,0.92228,3,1
1,2,2,2,0.69942,1,1
1,1,1,2,1.0905,1,1
1,2,2,2,0.95493,1,1
1,2,2,2,0.95503,2,1
1,2,2,2,0.69824,2,1
1,1,1,2,0.73161,2,1
1,1,1,2,0.6434,2,1
1,2,2,2,0.65094,3,1
1,1,2,2,1.0595,2,1
1,1,1,2,0.8107,2,1
1,1,1,2,0.63504,3,1
1,1,1,2,0.54749,3,1
1,2,2,1,0.93174,2,1
1,2,1,1,0.65873,1,1
1,2,2,2,0.91548,2,1
1,1,1,1,0.79546,1,1
1,1,1,2,0.73151,1,1
1,2,2,2,0.69863,2,1
1,1,1,2,0.61947,2,1
1,1,1,2,0.57949,3,1
1,1,1,2,0.5386,3,1
1,2,2,2,0.84264,3,1
1,2,2,2,0.6828,1,1
1,1,1,2,0.57105,3,1
1,2,2,2,0.64248,3,1
1,2,1,2,0.68297,2,1
1,1,2,1,0.77914,1,1
1,2,2,1,0.76244,3,1
1,1,2,1,0.87547,2,1
1,2,1,1,0.84336,3,1
1,2,2,1,0.68282,3,1
1,1,2,1,0.7385,1,1
1,2,2,1,1.1955,1,1
1,1,2,1,1.0593,1,1
1,1,2,1,0.8824,2,1
1,2,2,1,0.81943,2,1
1,1,1,1,0.73033,2,1
1,2,1,1,0.76221,1,1
1,2,1,1,0.70622,1,1
1,1,1,1,0.67533,3,1
1,2,2,2,0.85869,3,1
1,1,2,1,0.9868,2,1
1,2,2,1,0.82655,1,1
1,2,2,1,0.80235,1,1
1,2,2,1,0.6825,1,1
1,1,1,1,0.95455,2,1
1,2,2,1,0.95553,1,1
1,2,2,1,0.80281,1,1
1,2,2,1,0.64352,2,1
1,1,1,1,0.81037,1,1
1,2,2,1,1.1869,2,1
1,2,1,1,0.77818,2,1
1,1,1,1,0.81933,1,1
1,2,1,1,0.72284,3,1
1,2,2,1,1.2425,3,1
1,1,1,1,1.1708,1,1
1,2,2,1,0.76316,1,1
1,1,2,1,0.67479,1,1
1,1,2,1,0.75416,1,1
1,1,2,1,0.75544,1,1
1,1,1,2,0.79467,3,1
1,2,1,2,0.89164,3,1
1,2,2,2,0.72298,3,1
1,1,1,1,1.3226,1,1
1,2,2,2,0.78645,3,1
1,2,2,1,0.87449,1,1
1,1,1,2,0.92222,1,1
1,1,1,2,0.73122,3,1
1,2,1,2,0.98627,2,1
1,2,2,1,0.85848,1,1
1,2,2,1,1.1073,1,1
1,1,2,1,0.85058,1,1
1,2,1,1,1.1388,2,1
1,2,2,2,0.77134,3,1
1,1,1,2,0.69113,2,1
1,2,2,2,0.71468,3,1
1,1,1,2,0.54755,2,1
1,2,2,1,0.86765,1,1
1,1,1,1,1.1546,2,1
1,2,1,1,0.90672,2,1
1,1,1,1,0.89037,2,1
1,1,1,1,0.93885,2,1
1,2,2,2,0.8558,1,1
1,1,2,2,1.12,1,1
1,2,2,2,0.72748,2,1
1,1,2,2,0.72719,1,1
1,2,2,2,0.57569,3,1
1,1,2,1,0.84729,1,1
1,1,2,2,0.79925,3,1
1,2,2,1,0.82381,1,1
1,2,2,2,0.71147,2,1
1,2,2,2,1.4068,3,1
1,1,1,2,0.66345,3,1
1,1,1,2,0.9032,2,1
1,2,2,2,0.76697,2,1
1,1,1,2,0.78404,3,1
1,1,1,2,0.65526,2,1
1,1,1,2,0.66288,3,1
1,2,2,2,0.7523,3,1
1,1,2,1,0.90276,1,1
1,1,1,2,0.6804,3,1
1,2,1,2,0.60028,1,1
1,2,1,2,0.71981,1,1
1,1,1,2,0.58423,1,1
1,1,1,2,0.83164,2,1
1,1,1,2,0.89543,2,1
1,2,1,1,0.99878,3,1
1,2,1,1,0.89621,1,1
1,2,2,1,0.8232,2,1
1,2,2,1,0.87925,3,1
1,2,1,1,0.89547,2,1
1,1,1,2,0.95079,2,1
1,2,1,1,1.0481,2,1
1,1,1,2,0.83122,2,1
1,2,2,2,0.87882,1,1
1,2,1,2,0.58427,2,1
1,1,1,1,1.1193,1,1
1,1,1,2,0.72748,3,1
1,2,2,2,0.63947,1,1
1,1,1,2,0.65534,3,1
1,2,2,2,0.68027,3,1
1,1,2,1,0.87896,1,1
1,2,1,1,0.93545,1,1
1,1,1,2,0.7028,3,1
1,2,2,2,0.91091,1,1
1,2,2,2,0.69534,2,1
1,1,1,1,0.95919,1,1
1,1,1,2,0.64801,3,1
1,2,2,1,0.8231,1,1
1,2,2,1,0.70314,1,1
1,2,2,1,0.76745,2,1
1,2,2,1,0.75887,3,1
1,2,2,1,0.72802,3,1
1,1,2,1,0.67223,1,1
1,1,1,1,0.81548,1,1
1,1,1,1,0.6643,2,1
1,1,2,1,0.84773,2,1
1,1,1,1,0.79127,1,1
1,1,1,1,0.70357,3,1
1,2,1,1,0.77494,1,1
1,1,1,1,0.79179,2,1
1,1,1,2,0.73572,3,1
1,1,1,2,0.77503,1,1
1,1,1,2,0.93595,2,1
1,1,2,1,0.81616,2,1
