Subj_idx,Trial,Block,Stimulus,Response,Error,Confidence,ErrorDirectionJudgment,RT_conf,RT_directionJudgment,trialFilter,madFilter
1,162,2,669.7674419,527.6955603,-142.0718816,2,1,1.722826234,1.344317211,1,1
1,163,2,669.7674419,527.6955603,-142.0718816,3,-1,1.648741915,0.522449271,1,1
1,164,2,466.807611,466.807611,-6.25E-13,2,1,1.303680743,1.014829299,1,1
1,165,2,669.7674419,304.4397463,-365.3276956,1,-1,0.371296622,0.230579613,1,1
1,166,2,669.7674419,405.9196617,-263.8477801,2,1,0.885896988,0.652863787,1,1
1,167,2,669.7674419,568.2875264,-101.4799154,2,-1,0.551948298,0.343443799,1,1
1,168,2,466.807611,385.6236786,-81.18393235,1,-1,0.905659413,0.693154437,1,1
1,169,2,669.7674419,608.8794926,-60.88794926,3,1,0.883821698,0.415022721,1,1
1,170,2,304.4397463,324.7357294,20.29598309,3,1,0.327738794,0.463047457,1,1
1,171,2,466.807611,263.8477801,-202.9598309,2,-1,0.567384624,0.276050416,1,1
1,172,2,669.7674419,446.5116279,-223.255814,2,-1,0.468713731,0.423818621,1,1
1,173,2,466.807611,345.0317125,-121.7758985,3,1,0.887265352,0.359143821,1,1
1,174,2,304.4397463,284.1437632,-20.29598309,1,-1,1.242430531,0.646521732,1,1
1,175,2,669.7674419,182.6638478,-487.1035941,2,-1,0.371836237,0.372867845,1,0
1,176,2,304.4397463,223.255814,-81.18393235,2,-1,0.406744262,0.507724337,1,1
1,177,2,466.807611,243.551797,-223.255814,2,-1,0.270079212,0.261221542,1,1
1,178,2,466.807611,405.9196617,-60.88794926,3,-1,0.983262972,1.022249848,1,1
1,179,2,669.7674419,365.3276956,-304.4397463,2,-1,0.359663426,0.543260643,1,1
1,180,2,466.807611,324.7357294,-142.0718816,2,-1,0.314914928,0.499265665,1,1
1,181,2,669.7674419,345.0317125,-324.7357294,1,-1,0.363824048,0.279228998,1,1
1,182,2,466.807611,385.6236786,-81.18393235,2,-1,0.129721552,0.598970758,1,1
1,183,2,304.4397463,324.7357294,20.29598309,3,-1,0.871245245,1.114493882,1,1
1,184,2,669.7674419,365.3276956,-304.4397463,2,-1,2.104744238,0.193813244,1,1
1,185,2,466.807611,385.6236786,-81.18393235,2,-1,0.761326596,0.504345275,1,1
1,186,2,669.7674419,345.0317125,-324.7357294,1,-1,0.435475126,0.333127387,1,1
1,187,2,304.4397463,263.8477801,-40.59196617,2,-1,0.868785424,0.382625697,1,1
1,188,2,304.4397463,345.0317125,40.59196617,3,-1,0.74618308,0.204143562,1,1
1,189,2,669.7674419,345.0317125,-324.7357294,1,-1,0.512052256,0.206940723,1,1
1,190,2,304.4397463,284.1437632,-20.29598309,2,-1,1.432450847,0.270669835,1,1
1,191,2,669.7674419,405.9196617,-263.8477801,1,-1,0.809014813,0.258536399,1,1
1,192,2,304.4397463,263.8477801,-40.59196617,3,-1,0.576345327,0.130710236,1,1
1,193,2,304.4397463,243.551797,-60.88794926,3,-1,2.56882606,0.175332583,1,1
1,194,2,466.807611,304.4397463,-162.3678647,1,-1,0.59234507,0.326883619,1,1
1,195,2,466.807611,385.6236786,-81.18393235,1,-1,0.736194328,0.307127627,1,1
1,196,2,304.4397463,304.4397463,-3.98E-13,2,-1,0.303129699,0.318842161,1,1
1,197,2,466.807611,324.7357294,-142.0718816,2,-1,0.290353479,0.275630068,1,1
1,198,2,304.4397463,304.4397463,-3.98E-13,2,-1,0.378502168,1.452951939,1,1
1,199,2,466.807611,263.8477801,-202.9598309,3,-1,0.894525875,0.661728152,1,1
1,200,2,304.4397463,304.4397463,-3.98E-13,2,-1,1.100684161,0.468741894,1,1
1,201,2,466.807611,263.8477801,-202.9598309,2,-1,0.439701187,0.326888108,1,1
1,202,2,466.807611,284.1437632,-182.6638478,2,-1,0.191822794,0.286654678,1,1
1,203,2,466.807611,345.0317125,-121.7758985,2,-1,0.534165025,0.23695307,1,1
1,204,2,304.4397463,223.255814,-81.18393235,3,-1,0.548842635,0.35066961,1,1
1,205,2,304.4397463,223.255814,-81.18393235,2,-1,0.335126871,0.193889805,1,1
1,206,2,466.807611,284.1437632,-182.6638478,2,-1,0.774928439,0.815812138,1,1
1,207,2,304.4397463,202.9598309,-101.4799154,1,-1,0.386983743,0.31464862,1,1
1,208,2,304.4397463,304.4397463,-3.98E-13,2,-1,0.839674106,0.426869531,1,1
1,209,2,466.807611,405.9196617,-60.88794926,2,-1,0.475444415,0.259740358,1,1
1,210,2,304.4397463,223.255814,-81.18393235,2,-1,0.32261274,0.315354269,1,1
1,211,2,466.807611,385.6236786,-81.18393235,3,-1,0.837450708,0.322303916,1,1
1,212,2,304.4397463,284.1437632,-20.29598309,2,-1,0.520055539,0.294977365,1,1
1,213,2,304.4397463,263.8477801,-40.59196617,3,1,1.26496176,0.339341353,1,1
1,214,2,466.807611,304.4397463,-162.3678647,1,-1,0.433663309,0.502413058,1,1
