Subj_idx,Stimulus,Response,Confidence,RT_dec,Conf_presses,Condition,Accuracy,Contrast,Orientation
42,0,0,6,0.616772,6,Discrimination,1,0.055,NaN
42,0,0,5,0.6657826,0,Discrimination,1,0.055,NaN
42,0,0,6,0.5834247,3,Discrimination,1,0.055,NaN
42,0,0,6,0.6004955,6,Discrimination,1,0.055,NaN
42,1,1,4,0.8331087,0,Discrimination,1,0.055,NaN
42,1,0,4,0.8321604,4,Discrimination,0,0.055,NaN
42,1,1,6,0.7991444,2,Discrimination,1,0.055,NaN
42,1,1,5,0.7827984,0,Discrimination,1,0.055,NaN
42,1,1,6,0.6834542,2,Discrimination,1,0.055,NaN
42,0,1,5,0.782242,1,Discrimination,0,0.055,NaN
42,0,1,5,0.9658183,0,Discrimination,0,0.055,NaN
42,1,1,6,0.7328682,2,Discrimination,1,0.055,NaN
42,0,1,4,0.7832059,0,Discrimination,0,0.055,NaN
42,1,1,4,0.9327232,3,Discrimination,1,0.055,NaN
42,1,1,6,0.6828949,2,Discrimination,1,0.055,NaN
42,0,1,4,0.6993272,5,Discrimination,0,0.055,NaN
42,0,0,6,0.6492153,5,Discrimination,1,0.055,NaN
42,1,1,6,0.7825286,1,Discrimination,1,0.055,NaN
42,1,1,6,0.9490419,0,Discrimination,1,0.055,NaN
42,1,1,2,0.7991276,1,Discrimination,1,0.055,NaN
42,0,0,6,0.6330887,2,Discrimination,1,0.055,NaN
42,0,1,4,0.8320971,1,Discrimination,0,0.055,NaN
42,1,1,5,0.8659746,1,Discrimination,1,0.055,NaN
42,1,1,5,0.7828266,1,Discrimination,1,0.055,NaN
42,1,1,2,0.8492757,3,Discrimination,1,0.055,NaN
42,0,1,3,0.8659889,3,Discrimination,0,0.055,NaN
42,0,0,6,0.7653617,4,Discrimination,1,0.055,NaN
42,0,0,6,0.632341,2,Discrimination,1,0.055,NaN
42,1,0,3,1.1162631,1,Discrimination,0,0.055,NaN
42,0,1,3,0.8988019,1,Discrimination,0,0.055,NaN
42,0,0,6,1.0821375,1,Discrimination,1,0.055,NaN
42,0,0,6,0.7998048,1,Discrimination,1,0.055,NaN
42,1,0,5,0.831933,3,Discrimination,0,0.055,NaN
42,0,0,5,0.6657196,1,Discrimination,1,0.055,NaN
42,1,1,6,0.6826624,1,Discrimination,1,0.055,NaN
42,0,0,6,0.7494995,1,Discrimination,1,0.055,NaN
42,1,1,6,0.6666028,1,Discrimination,1,0.055,NaN
42,0,0,6,0.6997533,3,Discrimination,1,0.055,NaN
42,1,1,6,0.6989368,2,Discrimination,1,0.055,NaN
42,0,1,5,1.0654031,2,Discrimination,0,0.055,NaN
42,1,1,5,0.6660722,3,Discrimination,1,0.055,NaN
42,0,1,5,1.11536,1,Discrimination,0,0.055,NaN
42,1,1,6,0.5821208,2,Discrimination,1,0.055,NaN
42,1,0,4,0.7503024,3,Discrimination,0,0.055,NaN
42,0,0,6,0.8150556,5,Discrimination,1,0.055,NaN
42,1,0,6,0.8655358,1,Discrimination,0,0.055,NaN
42,1,0,5,0.7991885,2,Discrimination,0,0.055,NaN
42,0,0,5,0.8658535,2,Discrimination,1,0.055,NaN
42,1,0,3,1.1989123,2,Discrimination,0,0.055,NaN
42,0,0,6,0.6156247,0,Discrimination,1,0.055,NaN
42,0,0,6,0.682585,5,Discrimination,1,0.055,NaN
42,0,0,6,0.6991728,2,Discrimination,1,0.055,NaN
42,1,0,5,0.7332275,1,Discrimination,0,0.055,NaN
42,1,0,2,0.7160249,0,Discrimination,0,0.055,NaN
42,0,0,5,0.7830432,2,Discrimination,1,0.055,NaN
42,1,1,6,0.7324355,3,Discrimination,1,0.055,NaN
42,1,1,5,0.865706,4,Discrimination,1,0.055,NaN
42,0,0,6,0.7818718,1,Discrimination,1,0.055,NaN
42,0,0,6,0.6312298,1,Discrimination,1,0.055,NaN
42,0,0,6,0.6492362,2,Discrimination,1,0.055,NaN
42,0,0,6,0.8985496,2,Discrimination,1,0.055,NaN
42,1,0,6,0.8176604,2,Discrimination,0,0.055,NaN
42,0,0,4,0.9159823,0,Discrimination,1,0.055,NaN
42,1,0,2,1.0326742,4,Discrimination,0,0.055,NaN
42,0,0,6,0.6685162,4,Discrimination,1,0.055,NaN
