Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,coherence,Accuracy,Training,Scale
1,307,300.4428,2,4.5203,1.3056,0.125,6.5572,0,four-point scale
1,63,59.8481,0,2.9546,1.1191,0.125,3.1519,0,four-point scale
1,159,149.9308,1,6.4363,1.4411,0.5,9.0692,0,four-point scale
1,234,150.6838,0,1.924,0.9762,0.031,83.3162,0,four-point scale
1,89,89.9457,0,2.2214,0.9094,0.25,0.9457,0,four-point scale
1,196,149.189,0,1.7378,0.878,0.016,46.811,0,four-point scale
1,1,359.9458,3,2.3463,1.0672,0.5,1.0542,0,four-point scale
1,179,180.0681,3,1.9446,0.9215,0.5,1.0681,0,four-point scale
1,121,299.0724,1,8.8103,0.9013,0.5,178.0724,0,four-point scale
1,341,331.3355,0,2.4742,0.8172,0.125,9.6645,0,four-point scale
1,307,118.655,0,3.9028,0.8356,0.016,171.655,0,four-point scale
1,332,150.0396,0,7.8211,0.9032,0.5,178.0396,0,four-point scale
1,331,299.4182,0,1.6281,1.0833,0.062,31.5818,0,four-point scale
1,21,28.9522,1,2.4515,1.1154,0.125,7.9522,0,four-point scale
1,268,271.4182,0,2.7087,1.0432,0.125,3.4182,0,four-point scale
1,266,270.0602,0,2.9694,4.1569,0.125,4.0602,0,four-point scale
1,356,359.9441,3,2.2474,1.3652,0.5,3.9441,0,four-point scale
1,229,359.9441,0,5.9999,1.0151,0.031,130.9441,0,four-point scale
1,306,298.7243,1,7.1895,1.0431,0.25,7.2757,0,four-point scale
1,158,299.0724,0,3.4192,0.8188,0.031,141.0724,0,four-point scale
1,37,120.6418,0,4.6716,0.9942,0.031,83.6418,0,four-point scale
1,143,119.3405,0,3.2261,0.9689,0.031,23.6595,0,four-point scale
1,284,30.6392,0,3.3805,0.87,0.031,106.6392,0,four-point scale
1,258,270.0542,0,3.7054,0.8436,0.062,12.0542,0,four-point scale
1,19,27.9148,1,2.6663,0.9245,0.125,8.9148,0,four-point scale
1,230,240.2892,2,2.4161,0.9719,0.25,10.2892,0,four-point scale
1,73,30.57,1,1.6292,1.0017,0.062,42.43,0,four-point scale
1,308,88.5791,1,1.6904,1.0438,0.016,140.5791,0,four-point scale
1,223,28.296,0,1.6732,0.9278,0.031,165.296,0,four-point scale
1,116,300.274,1,2.3734,0.9941,0.25,175.726,0,four-point scale
1,69,59.5091,2,2.635,0.9557,0.5,9.4909,0,four-point scale
1,135,300.4428,0,2.63,0.9249,0.125,165.4428,0,four-point scale
