Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Correct,Stimulus1,Stimulus2,Solution,Confidence_prospective,Training
10,XXX-XX,NaN,NaN,NaN,0.716,NaN,599,63,553,3,0
10,XXX-XXX,1,4,1.91,0.415,0,788,699,81,4,0
10,X*XX,1,5,2.189,0.427,1,9,24,216,4,0
10,XX-X,1,5,1.186,0.519,0,51,9,32,4,0
10,XX-X,0,6,2.867,0.982,1,38,2,26,4,0
10,XX*XX,NaN,NaN,NaN,0.685,NaN,13,13,156,4,0
10,XX*XX,1,5,1.279,0.289,0,14,14,182,4,0
10,XX-XX,1,4,1.231,0.355,1,35,17,18,4,0
10,XX*XX,0,3,1.801,0.423,1,50,21,1049,4,0
10,XX-X,1,5,2.505,0.906,0,58,6,42,4,0
10,XX-XX,1,4,1.733,0.469,0,32,15,13,3,0
10,XX-X,0,4,0.993,0.255,1,58,6,51,4,0
10,XX-X,0,4,0.504,0.153,0,51,9,42,4,0
10,XXX-XXX,1,4,1.117,1.493,0,326,253,77,4,0
10,XX-X,1,4,1.754,0.394,0,66,7,51,3,0
10,XXX-XXX,0,4,0.809,0.59,1,537,444,83,3,0
10,XX-XX,0,3,0.121,0.057,1,79,68,21,4,0
10,X*XX,0,4,1.079,0.559,0,3,46,138,4,0
10,XX-XX,1,3,1.339,0.859,0,39,18,11,3,0
10,X*XX,1,3,0.476,0.654,0,7,21,140,4,0
10,XX-X,1,4,2.392,0.431,1,58,6,52,4,0
10,XX-X,1,4,1.533,1.749,0,67,3,66,4,0
10,XXX-XX,0,3,1.097,1.234,1,279,45,224,4,0
10,XX-X,1,6,1.2,0.566,1,59,1,58,4,0
10,XX-XX,1,5,1.48,0.754,0,91,57,36,4,0
10,XXX-XX,0,6,1.452,2.504,1,156,63,83,4,0
10,XX-X,1,6,2.172,0.298,0,99,8,81,4,0
10,XX-XX,0,6,1.573,0.908,1,66,29,27,4,0
10,X*XX,0,4,1.929,0.353,0,8,31,248,4,0
10,XX-XX,1,4,1.392,0.446,0,75,26,59,4,0
10,XXX-XXX,1,3,0.352,0.007,0,452,369,93,4,0
10,XX*XX,1,4,0.583,0.453,0,11,11,132,4,0
10,XXX-XXX,0,4,0.316,0.42,0,652,559,93,6,0
10,XXX-XX,0,1,2.574,0.285,1,888,62,824,3,0
10,XXX-XXX,0,3,0.381,0.754,0,452,369,83,5,0
10,XX-XX,0,4,0.224,0.268,0,98,64,34,4,0
10,XX-XX,1,5,1.458,0.525,1,82,71,11,4,0
10,XX*X,1,5,0.823,0.283,1,87,2,174,4,0
10,XXX-XXX,1,4,2.1,0.229,0,254,188,76,4,0
10,XXX-XXX,0,4,2.413,0.531,1,495,244,261,4,0
10,XXX-XX,1,4,1.503,0.439,0,156,63,97,4,0
10,XX*X,0,2,2.154,1.354,1,75,6,525,3,0
10,XX-XX,0,2,0.87,0.264,0,64,12,52,3,0
10,XX-XX,0,3,2.788,0.459,1,64,12,58,4,0
10,XX-XX,1,3,0.538,0.281,0,35,17,12,3,0
10,XX-X,0,3,0.145,0.176,0,77,5,72,3,0
10,XXX-XX,1,3,0.361,0.24,0,599,63,567,3,0
10,XX-XX,0,3,0.098,0.035,1,82,71,21,3,0
10,XX*X,1,3,1.125,0.35,0,24,5,119,3,0
10,XXX-XX,1,4,1.663,0.513,1,156,63,93,3,0
10,XX*XX,1,3,0.453,0.248,0,11,11,122,4,0
10,XX-XX,1,2,2.787,0.377,0,79,68,19,3,0
10,XX-XX,0,3,1.37,0.249,0,46,27,19,4,0
10,XX-X,1,3,0.657,0.333,0,77,5,71,3,0
10,XXX-XXX,1,3,1.788,0.282,0,882,795,77,4,0
10,XX*XX,0,4,0.421,1.754,0,15,31,465,3,0
10,XX-X,NaN,NaN,NaN,1.361,NaN,66,7,49,3,0
10,XXX-XX,1,4,2.524,0.621,0,774,53,711,3,0
10,XXX-XX,0,4,2.888,0.858,1,465,22,453,3,0
10,XXX-XX,1,4,1.63,0.418,0,132,55,87,3,0
10,XX*XX,1,4,0.99,0.7,0,25,11,274,3,0
10,XX*X,0,4,0.705,0.394,1,61,8,489,3,0
10,XX-XX,1,3,0.98,1.922,1,75,26,49,3,0
10,XX-X,1,5,1.569,0.568,0,94,8,76,4,0
10,XXX-XX,1,4,0.261,0.24,1,774,53,721,3,0
10,XX*XX,1,3,0.202,0.103,0,12,12,132,6,0
10,XX-X,0,4,0.609,0.51,1,31,9,12,3,0
10,XX-X,1,2,0.443,0.207,0,71,9,52,5,0
10,XXX-XX,0,3,1.027,1.055,0,465,22,443,4,0
10,XX-XX,1,6,0.374,0.012,0,72,51,11,2,0
10,XXX-XX,1,3,0.497,0.546,0,132,55,73,3,0
10,XX-X,1,5,0.364,0.658,0,42,5,33,2,0
10,XX-X,1,5,2.568,1.511,1,42,5,37,4,0
10,XX-X,1,4,1.948,0.692,0,88,9,69,2,0
10,X*XX,1,4,1.776,0.335,0,8,31,240,3,0
10,XXX-XX,1,3,1.091,0.317,0,148,56,98,3,0
10,XX*XX,1,3,2.149,0.148,0,25,18,475,3,0
10,XXX-XXX,1,3,2.026,0.318,0,652,559,83,3,0
10,XXX-XX,0,3,2.31,0.384,1,663,22,649,4,0
10,XXX-XXX,1,4,1.825,0.238,1,263,177,86,4,0
10,XX-XX,0,4,0.62,0.472,1,46,27,11,3,0
10,XX-X,1,4,2.887,0.345,1,38,2,36,3,0
10,XXX-XXX,1,4,2.422,0.347,0,339,111,222,3,0
10,XXX-XXX,1,4,1.05,0.373,0,537,444,97,3,0
10,XX*XX,0,3,2.182,0.148,0,12,12,144,3,0
10,X*XX,0,3,2.292,0.398,1,6,16,97,3,0
10,XXX-XX,NaN,NaN,NaN,0.651,NaN,599,63,563,3,0
10,X*XX,1,3,1.021,0.505,0,7,21,146,4,0
10,XXX-XXX,1,3,1.441,0.285,1,326,253,73,3,0
10,XX-X,1,3,1.875,0.238,1,66,7,59,3,0
10,XXX-XXX,1,3,1.306,0.363,0,495,244,259,3,0
10,XX*X,1,3,0.237,0.12,0,75,6,451,3,0
10,XXX-XXX,1,3,2.545,0.177,1,784,431,353,3,0
