"Subj_idx","Run","Block","Trial","Difficulty_col","Difficulty_let","Number_blues","Number_os","Stimulus_col","Stimulus_let","Response_col","Response_let","Accuracy_col","Accuracy_let","RT_dec_col","RT_dec_let","Confidence_col","Confidence_let","RT_confidence_col","RT_confidence_let","Taskorder","Locationchoice_col","Locationchoice_let","Initposconf_col","Initposconf_let"
1,1,4,7,60,90,41,60,1,1,2,1,0,1,0.51184,2.2027,77.3304,74.5561,0.7997,0.58317,2,1,2,53.9151,56.6895
1,1,4,8,60,60,41,44,1,1,1,1,1,1,1.871,0.47393,61.1284,70.1172,0.83307,0.7164,1,2,2,91.8679,77.8853
1,1,4,9,90,60,35,44,2,1,2,1,1,1,0.8895,1.1508,75.8878,67.3429,0.6331,0.76635,1,2,1,81.9913,93.4215
1,1,4,10,60,60,39,36,2,2,1,2,0,1,1.1649,0.37257,60.3516,65.9002,0.78307,0.44979,1,1,2,98.4153,61.9052
1,1,4,11,60,60,39,44,2,1,2,2,1,0,0.69142,0.45246,73.4464,76.9975,0.66643,0.7331,1,1,1,57.0224,87.7619
1,1,4,12,60,90,41,20,1,2,1,2,1,1,0.94988,0.43962,82.9901,76.9975,0.48315,0.64981,1,1,1,73.3354,64.6795
1,1,4,13,60,90,41,60,1,1,1,1,1,1,0.40676,1.6453,94.1983,84.8766,0.34992,0.39994,2,1,1,90.5362,81.7694
1,1,4,14,90,60,45,44,1,1,1,1,1,1,0.30155,1.9865,96.9727,69.2294,0.79966,0.83302,2,2,1,52.4725,56.4675
1,1,4,15,60,90,41,20,1,2,1,2,1,1,0.33604,0.65605,96.4178,90.9801,0.66637,0.56645,2,2,1,78.5511,65.5673
1,1,4,16,90,60,35,36,2,2,2,2,1,1,0.40738,0.9409,99.4141,63.1259,0.54975,0.66643,2,1,1,75.111,68.8965
1,1,4,17,60,60,41,36,1,2,1,2,1,1,0.87195,0.40242,81.2145,66.899,1.0163,0.58309,1,1,1,76.6646,81.3255
1,1,4,18,60,90,39,60,2,1,2,1,1,1,0.34046,0.58756,71.6708,92.5337,0.39985,0.84967,2,2,2,75.3329,69.4513
1,1,4,19,60,60,41,36,1,2,2,2,0,1,1.6903,0.29821,71.005,81.3255,1.1829,0.48315,1,2,1,66.899,64.3466
1,1,4,20,90,60,35,36,2,2,2,2,1,1,1.4687,0.42183,67.2319,84.9876,0.66647,0.44986,1,1,1,89.6484,73.5574
1,1,4,21,90,60,45,44,1,1,2,2,0,0,0.59923,1.3181,65.2344,63.0149,0.43314,0.51642,2,1,1,65.2344,67.4538
1,1,4,22,60,90,39,60,2,1,2,1,1,1,0.44831,1.7727,63.7917,62.46,0.56637,0.81636,2,1,1,73.5574,95.752
1,1,4,23,60,60,41,44,1,1,1,2,1,0,0.35863,0.67834,67.5648,67.7868,0.98295,0.76637,2,2,2,92.3118,80.6596
1,1,4,24,90,90,35,20,2,2,2,2,1,1,0.65554,0.35732,84.7656,63.7917,1.0163,0.51647,1,2,2,71.7818,67.7868
1,2,1,1,60,90,39,60,2,1,2,1,1,1,0.77596,0.40189,79.7718,94.8642,1.1995,0.51653,1,1,1,90.5362,82.5462
1,2,1,2,60,90,39,60,2,1,1,1,0,1,0.34865,1.2282,87.318,96.6397,0.74963,0.71639,2,2,1,70.1172,72.1147
1,2,1,3,90,90,45,20,1,2,1,2,1,1,0.38077,0.62141,93.6435,91.424,0.7496,0.53312,2,1,1,67.5648,83.101
1,2,1,4,90,60,35,36,2,2,2,2,1,1,0.37878,0.99986,87.7619,78.6621,0.46651,0.78309,2,2,2,71.7818,92.2008
1,2,1,5,60,60,39,44,2,1,1,2,0,0,0.6043,0.41464,82.4352,70.0062,0.51646,0.7997,1,2,2,69.1184,82.1023
1,2,1,6,90,60,45,44,1,1,1,1,1,1,0.79123,0.33995,82.4352,68.4526,0.66642,0.63298,1,1,2,66.677,91.535
1,2,1,7,60,90,41,60,1,1,1,1,1,1,2.6772,0.36439,57.4663,96.7507,0.49981,0.48316,1,1,1,60.0186,73.3354
1,2,1,8,90,60,35,44,2,1,1,2,0,0,0.5527,1.6695,65.6783,58.9089,0.93299,0.71639,2,2,2,86.6522,95.0861
1,2,1,9,60,60,41,36,1,2,1,1,1,0,0.43924,1.9181,87.8729,59.2418,0.51645,0.84966,2,1,1,65.1234,56.9114
1,2,1,10,90,90,35,20,2,2,2,2,1,1,0.65635,1.1816,59.9077,69.0075,0.86631,0.81636,2,1,1,92.3118,96.4178
1,2,1,11,60,60,39,36,2,2,2,1,1,0,0.34298,0.78569,73.1135,65.1234,0.66632,0.61632,2,2,1,98.0824,83.9888
1,2,1,12,90,60,45,36,1,2,1,2,1,1,0.41137,0.86203,90.3143,64.2356,0.54981,0.63312,2,2,1,66.3441,83.8778
1,2,1,13,90,90,45,20,1,2,1,2,1,1,0.59189,0.37474,72.8915,100,0.48315,0.4332,1,2,1,72.8915,79.3279
1,2,1,14,60,60,39,36,2,2,1,2,0,1,0.67858,0.3122,77.1085,77.6634,0.49981,0.36653,1,2,1,89.4265,72.8915
1,2,1,15,60,60,41,36,1,2,1,2,1,1,1.9324,0.26607,87.8729,79.8828,0.6997,0.88298,1,1,1,61.7942,50.0311
1,2,1,16,90,90,35,20,2,2,2,2,1,1,0.45229,0.71227,86.0973,83.101,0.44976,0.63306,2,1,1,79.6609,58.9089
