Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Accuracy,Training,exclude_subj
101,0,0,10,2.545882268,0.562639973,0.064,1,0,FALSE
101,1,1,30,2.702080639,0.561693611,0.128,1,0,FALSE
101,0,1,30,2.912688046,0.626924685,0.032,0,0,FALSE
101,1,1,20,2.885910372,1.512017593,0.032,1,0,FALSE
101,1,0,-10,2.478157446,1.039539528,0.128,0,0,FALSE
101,1,0,40,1.708285575,0.636872809,0.256,0,0,FALSE
101,1,0,20,2.064271127,0.460920069,0.128,0,0,FALSE
101,0,0,10,2.478472599,0.550790069,0.128,1,0,FALSE
101,0,0,20,2.329728302,0.518893284,0.032,1,0,FALSE
101,1,1,-20,2.20589069,0.726214234,0.032,1,0,FALSE
101,0,0,-20,2.288718064,0.819691278,0.064,1,0,FALSE
101,0,0,10,2.78263463,1.136306953,0.032,1,0,FALSE
101,1,1,-10,2.599034318,5.346680714,0.064,1,0,FALSE
101,0,0,20,2.903764771,0.788411213,0.128,1,0,FALSE
101,0,1,10,2.495645979,8.263358877,0.128,0,0,FALSE
101,1,0,-10,3.882664666,1.129196407,0.032,0,0,FALSE
101,1,0,30,2.999219364,0.891417687,0.064,0,0,FALSE
101,0,0,20,3.02028566,0.525778032,0.256,1,0,FALSE
101,1,1,40,2.109551919,0.642576037,0.256,1,0,FALSE
101,1,0,-30,2.90970859,0.99563647,0.128,0,0,FALSE
101,1,0,30,2.708359835,0.495497761,0.128,0,0,FALSE
101,1,1,-20,3.497448746,0.847063032,0.256,1,0,FALSE
101,1,0,20,3.03692624,0.936570184,0.064,0,0,FALSE
101,1,1,20,2.385938899,0.460920975,0.064,1,0,FALSE
101,1,1,20,3.044799309,0.670926152,0.256,1,0,FALSE
101,0,0,30,3.350795805,0.776230158,0.256,1,0,FALSE
101,1,0,30,2.677956703,0.8263783,0.064,0,0,FALSE
101,0,0,10,3.109637952,0.460904372,0.064,1,0,FALSE
101,1,0,-10,4.11609163,1.461958502,0.128,0,0,FALSE
101,0,1,20,3.600108371,0.46992002,0.032,0,0,FALSE
101,1,0,20,4.199043072,0.661095758,0.128,0,0,FALSE
101,1,0,-20,3.469776631,0.927683435,0.064,0,0,FALSE
101,1,1,20,4.147833857,0.695582586,0.032,1,0,FALSE
101,0,0,40,3.655073754,0.904363681,0.064,1,0,FALSE
101,1,1,40,3.716687823,0.876932156,0.256,1,0,FALSE
101,1,0,50,3.440915753,0.56146751,0.064,0,0,FALSE
101,1,0,20,2.70663646,0.435101134,0.128,0,0,FALSE
101,1,0,30,1.854088451,0.466569263,0.256,0,0,FALSE
101,1,0,30,3.449516027,0.470565116,0.032,0,0,FALSE
101,1,1,-20,3.479335947,0.775720299,0.128,1,0,FALSE
101,1,1,20,3.312756872,0.63611753,0.256,1,0,FALSE
101,0,0,20,3.700313794,0.688817077,0.032,1,0,FALSE
101,1,0,10,4.366816948,0.769955791,0.032,0,0,FALSE
101,0,0,40,2.001511161,0.559780661,0.256,1,0,FALSE
101,1,1,10,3.037955918,0.538500944,0.256,1,0,FALSE
101,0,0,30,1.982717644,0.862862602,0.128,1,0,FALSE
101,0,0,-30,3.913465965,0.745432482,0.064,1,0,FALSE
101,0,0,20,3.585909013,0.494831534,0.064,1,0,FALSE
101,0,0,30,3.096824781,0.662453871,0.032,1,0,FALSE
101,1,0,30,2.770500063,0.781188673,0.032,0,0,FALSE
101,0,0,20,3.295807479,0.996056371,0.256,1,0,FALSE
101,1,1,20,2.689486625,0.735922371,0.128,1,0,FALSE
101,0,1,-20,4.58969567,0.954199388,0.064,0,0,FALSE
101,1,1,20,3.757253708,0.758573182,0.064,1,0,FALSE
101,0,1,-20,4.456028267,1.550235534,0.256,0,0,FALSE
101,1,0,20,3.959883901,0.517997334,0.064,0,0,FALSE
101,1,0,20,3.957485242,0.637504622,0.064,0,0,FALSE
101,1,0,20,3.570423388,0.59234488,0.032,0,0,FALSE
101,1,1,-20,2.550791578,0.56029535,0.128,1,0,FALSE
101,0,0,-10,4.017653656,2.411512716,0.128,1,0,FALSE
101,0,0,30,4.472505837,0.701607608,0.256,1,0,FALSE
101,1,0,10,3.369213191,0.787788456,0.128,0,0,FALSE
101,0,0,-20,3.692503513,0.792547737,0.128,1,0,FALSE
101,1,0,20,3.411930504,0.845196268,0.128,0,0,FALSE
101,1,1,20,2.848398806,0.756164863,0.064,1,0,FALSE
101,1,1,30,2.415576489,0.53598999,0.256,1,0,FALSE
101,0,1,30,3.278817032,0.619102329,0.032,0,0,FALSE
101,1,0,-30,4.23937048,0.788840472,0.256,0,0,FALSE
101,1,0,30,2.953695869,0.617712218,0.064,0,0,FALSE
101,0,0,40,3.358722909,0.511236957,0.256,1,0,FALSE
101,1,0,40,3.788826284,0.666984033,0.064,0,0,FALSE
101,0,0,20,4.078001983,0.667162136,0.032,1,0,FALSE
101,0,1,10,2.897739145,0.577013208,0.032,0,0,FALSE
101,1,0,20,3.407644856,1.024878309,0.128,0,0,FALSE
101,1,0,40,2.829293458,0.468380785,0.256,0,0,FALSE
101,0,0,20,3.821897645,0.952207047,0.128,1,0,FALSE
101,1,0,10,3.267400613,0.725713432,0.064,0,0,FALSE
101,1,1,20,3.206653817,0.619768556,0.064,1,0,FALSE
101,0,0,20,3.774973775,0.804371077,0.032,1,0,FALSE
101,1,1,30,3.898107426,0.627748186,0.128,1,0,FALSE
101,1,1,20,4.466733481,0.461315217,0.128,1,0,FALSE
101,0,0,50,2.538233185,0.609894995,0.256,1,0,FALSE
101,1,0,40,2.216984108,0.561990651,0.256,0,0,FALSE
101,1,0,30,3.398535327,0.505889331,0.256,0,0,FALSE
101,1,0,-20,3.883499639,0.713088024,0.032,0,0,FALSE
101,1,0,10,4.22868036,0.489359236,0.064,0,0,FALSE
101,1,0,10,3.387768532,0.539086572,0.032,0,0,FALSE
101,1,1,30,2.863191641,0.952881122,0.032,1,0,FALSE
101,1,1,20,4.238247222,0.446168591,0.032,1,0,FALSE
101,0,1,20,3.643140836,0.610153395,0.256,0,0,FALSE
101,0,1,20,3.526238082,0.777744941,0.032,0,0,FALSE
101,1,0,30,4.927141579,2.878391697,0.128,0,0,FALSE
101,1,0,10,3.998914174,0.518864909,0.064,0,0,FALSE
101,0,0,30,3.34408584,0.475651926,0.128,1,0,FALSE
101,1,0,-20,3.324160311,0.961619049,0.064,0,0,FALSE
101,0,0,10,3.313186131,0.63048826,0.064,1,0,FALSE
101,0,0,20,4.315565772,4.134664177,0.128,1,0,FALSE
101,0,0,-20,3.60887075,2.552687322,0.256,1,0,FALSE
101,1,0,20,3.950912025,1.078914536,0.064,0,0,FALSE
101,1,NaN,50,5.002649211,0,0.032,0,0,FALSE
101,0,1,-20,2.159317895,0.760029704,0.032,0,0,FALSE
101,1,0,20,2.495138234,0.608676647,0.128,0,0,FALSE
101,0,1,20,2.480295591,0.767196096,0.256,0,0,FALSE
101,1,0,30,2.888480794,0.643468365,0.256,0,0,FALSE
101,0,0,10,2.756639403,0.694866551,0.128,1,0,FALSE
101,0,1,10,3.07470979,0.643017069,0.032,0,0,FALSE
101,0,0,10,3.563720668,0.377213046,0.064,1,0,FALSE
101,0,0,20,2.988602599,0.54350474,0.032,1,0,FALSE
101,1,0,20,3.930451582,0.73404957,0.128,0,0,FALSE
101,1,0,20,4.290960958,0.529067207,0.032,0,0,FALSE
101,1,1,20,3.124049525,0.501301814,0.256,1,0,FALSE
101,1,1,20,2.563806701,0.598029997,0.128,1,0,FALSE
101,0,1,10,4.230167976,0.368974412,0.032,0,0,FALSE
101,1,0,20,2.740011199,0.516946223,0.032,0,0,FALSE
101,1,1,10,3.438054328,0.538051762,0.064,1,0,FALSE
101,0,1,40,3.427593629,0.568345617,0.064,0,0,FALSE
101,1,0,40,2.75559614,0.460231806,0.128,0,0,FALSE
101,1,0,20,2.115040217,0.493972412,0.032,0,0,FALSE
101,1,0,20,3.441296411,0.625717507,0.256,0,0,FALSE
101,1,1,30,3.274436296,0.478004096,0.064,1,0,FALSE
101,1,0,10,3.116869548,0.325129615,0.128,0,0,FALSE
101,0,1,10,2.383585219,0.459903673,0.032,0,0,FALSE
101,1,0,10,3.072050919,0.583679402,0.256,0,0,FALSE
101,0,0,30,2.670872419,0.600236968,0.256,1,0,FALSE
101,0,0,20,3.322017336,0.461567279,0.064,1,0,FALSE
101,1,0,-20,3.399568326,0.852973042,0.064,0,0,FALSE
101,0,1,-20,4.221300244,2.301855745,0.032,0,0,FALSE
101,0,0,30,3.49102586,0.455475241,0.032,1,0,FALSE
101,0,0,10,4.103521464,0.677524123,0.128,1,0,FALSE
101,0,0,10,3.544270282,0.494269452,0.256,1,0,FALSE
101,1,0,10,3.063205225,0.659000478,0.256,0,0,FALSE
101,1,0,10,3.36260224,1.172649678,0.128,0,0,FALSE
101,0,0,20,3.312011556,0.683178449,0.256,1,0,FALSE
101,1,0,-20,3.550318246,0.924625493,0.256,0,0,FALSE
101,1,1,40,2.921957566,0.538544715,0.256,1,0,FALSE
101,0,0,20,3.877563064,0.343406632,0.064,1,0,FALSE
101,1,1,20,3.212303615,0.493278111,0.064,1,0,FALSE
101,1,0,20,3.112332141,0.732695985,0.128,0,0,FALSE
101,0,1,30,3.186147491,0.776602967,0.032,0,0,FALSE
101,0,0,10,2.664550659,0.708187769,0.128,1,0,FALSE
101,0,0,-20,3.730877823,0.803357397,0.064,1,0,FALSE
101,0,1,10,2.650394469,0.975614343,0.128,0,0,FALSE
101,1,0,20,2.090726707,0.676347434,0.032,0,0,FALSE
101,1,0,10,3.394253906,0.420176081,0.032,0,0,FALSE
101,0,1,-10,3.142077801,1.61070793,0.256,0,0,FALSE
101,0,0,40,2.81109372,0.535771738,0.128,1,0,FALSE
101,1,0,-20,3.197990452,0.98504476,0.256,0,0,FALSE
101,0,0,40,2.240662182,0.429217991,0.064,1,0,FALSE
101,1,1,40,3.11789983,0.625396317,0.256,1,0,FALSE
101,1,1,30,3.024605116,0.579453223,0.256,1,0,FALSE
101,1,1,30,3.423726071,0.479776978,0.256,1,0,FALSE
101,0,0,40,2.480717605,0.486297067,0.256,1,0,FALSE
101,0,0,-20,3.093384973,0.528729716,0.064,1,0,FALSE
101,0,0,-20,2.185064381,0.825397223,0.128,1,0,FALSE
101,0,0,40,2.085915805,0.458839582,0.032,1,0,FALSE
101,0,0,20,3.300349716,0.612814379,0.032,1,0,FALSE
101,1,0,40,1.961084739,0.421189458,0.128,0,0,FALSE
