Subj_idx,Block,Trial,Stimulus,Response,RT_dec,Confidence,RT_conf,ErrorDirectionJudgment,RT_directionJudgment
3,1,206,25,28,2.70338166499278,2,1.16079204698326,1,0.812761897977907
3,1,207,11,12,1.43547730502905,3,0.507626278034877,-1,0.0581561109866016
3,1,208,14,24,3.92163114401046,2,1.4756301069865,1,1.99475066101877
3,1,209,21,32,1.31882549100555,2,1.09076945798006,-1,0.529229560983367
3,1,210,7,8,1.36788942798739,3,0.486978356027976,-1,0.262182856036816
3,1,211,22,16,1.81922347296495,2,0.734970277990215,-1,0.0176559569663368
3,1,212,27,35,2.33556492096977,2,0.813605219998863,1,0.734448870993219
3,1,213,8,9,1.71825463499408,2,0.563471033994574,-1,0.01668671797961
3,1,214,14,16,3.40394524502335,3,0.473772560013458,-1,0.0568982409895398
3,1,215,12,17,2.68568263697671,2,0.730804193008225,1,0.471981591021176
3,1,216,29,30,5.00625898502767,2,0.21861986501608,1,2.30928793596104
3,1,217,7,9,2.97020167997107,2,1.73009384202305,-1,0.517230511002708
3,1,218,9,12,1.66911265801173,2,1.02695661201142,-1,0.0176597269601189
3,1,219,23,26,2.45247679302702,2,0.721584315004293,1,0.0174304880201817
3,1,220,15,16,4.07101754500763,3,1.87860759301111,1,1.32398564298637
3,1,221,19,35,3.21983888698742,3,0.370768022025004,1,0.941454213985708
3,1,222,7,9,2.1524095099885,3,0.669803494994994,-1,0.516028338985052
3,1,223,7,8,2.77007004001644,3,0.339741266972851,1,0.888787309988402
3,1,224,9,11,2.58722826500889,3,0.757394637970719,1,0.736631056002807
3,1,225,6,6,1.23487115500029,3,0.677305938967038,-1,1.22866964997957
3,1,226,7,7,3.13701255997876,3,0.296803030010778,-1,0.295824439032003
3,1,227,7,10,2.3687830530107,2,1.02862070896663,-1,0.621250274998602
3,1,228,11,15,1.96814398799324,2,1.22541057202034,1,0.0168417629902251
3,1,229,13,16,1.3346786829643,2,1.41480241401587,-1,2.64804329094477
3,1,230,12,12,1.26808169501601,2,1.80279047100339,1,0.690532985026948
3,1,231,11,16,2.27017228800105,2,0.204139431007206,-1,0.017607859976124
3,1,232,7,7,2.80231645301683,2,0.736680743051693,-1,0.016351357975509
3,1,233,29,33,4.93944346799981,2,2.87744653201662,1,1.56160014303168
3,1,234,17,19,3.63765879999846,2,0.310876742994878,1,0.0175826270133257
3,1,235,23,21,4.37136324500898,1,1.44894862198271,-1,2.12828106002416
3,1,236,28,34,2.88593217998277,1,1.36239999195095,-1,2.78965047403472
3,1,237,16,21,6.05716242996277,2,1.13478283595759,-1,0.450929037993774
3,1,238,4,4,1.11871877999511,3,0.286836489976849,-1,2.22236289602006
3,1,239,16,15,4.25516286899801,3,0.936050047981553,-1,1.42883595795138
3,1,240,29,22,2.00258695997763,3,0.531041117967106,-1,0.192071733996272
3,2,241,27,23,3.7711626678938,2,2.9378333420027,-1,0.565644967951812
3,2,242,27,25,4.95590147702023,2,1.00791425805073,-1,1.37059157097246
3,2,243,8,11,1.50188156298827,3,0.489751364919357,-1,0.898119417019188
