Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition
3,3,2,2,0.2332,0.078186,Big
3,7,2,3,0.21882,0.1573,Big
3,6,1,3,0.72499,0.00046138,Big
3,3,1,3,0.13907,0.10953,Big
3,3,1,3,0.88757,0.00046887,Big
3,3,1,3,0.23835,0.044828,Big
3,2,1,3,0.43061,0.011712,Big
3,6,2,3,0.032263,0.12543,Big
3,1,1,3,0.20194,0.062604,Big
3,4,1,3,0.75945,0.013834,Big
3,5,1,2,0.29324,0.36633,Big
3,7,2,3,0.13219,0.00046984,Big
3,2,1,3,0.48695,0.12673,Big
3,5,1,3,0.1151,0.032102,Big
3,4,1,3,0.00046861,0.00046022,Big
3,2,1,2,0.32224,0.46472,Big
3,7,2,3,0.1993,0.15763,Big
3,3,1,3,0.08883,0.19245,Big
3,4,1,3,0.80373,0.091202,Big
3,2,1,3,0.41981,0.046354,Big
3,2,1,3,0.71739,0.075715,Big
3,7,2,3,0.0057454,0.20383,Big
3,4,2,3,0.27005,0.090979,Big
3,7,1,1,0.0075185,0.68745,Big
3,3,2,3,0.38775,0.095304,Big
3,7,2,3,0.1999,0.1582,Big
3,6,2,3,0.21224,0.093398,Big
3,5,1,1,0.057733,0.41242,Big
3,6,1,1,0.23542,0.032676,Big
3,5,1,3,0.15295,0.00052467,Big
3,3,1,3,0.057374,0.21994,Big
3,1,1,3,0.04844,0.048195,Big
3,1,1,3,0.2181,0.10844,Big
3,6,1,2,0.48247,0.20875,Big
3,2,1,3,0.51582,0.032704,Big
3,7,2,3,0.2841,0.043823,Big
3,2,1,2,0.27644,0.091027,Big
3,2,1,3,0.65794,0.010733,Big
3,2,1,3,0.065024,0.0015448,Big
3,4,2,3,0.27483,0.11192,Big
3,7,2,3,0.18321,0.058873,Big
3,4,1,3,0.00052477,0.0015991,Big
3,1,1,3,0.073089,0.046301,Big
3,3,1,3,0.18009,0.030509,Big
3,5,1,3,0.29496,0.14401,Big
3,4,1,3,0.016638,0.027076,Big
