Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy
1,2,1,1,0.2404,0.287,0.33025,H,0
1,1,2,1,0.33989,0.31104,0.3339,H,0
1,2,2,2,0.088337,0.3113,0.3376,H,1
1,1,2,1,0.081927,0.43379,0.33506,H,0
1,1,2,1,0.56328,0.13537,0.33876,H,0
1,2,2,3,0.63279,0.32861,0.34295,H,1
1,2,2,3,0.15245,0.25784,0.33992,H,1
1,1,1,1,0.33978,0.46879,0.33736,H,1
1,2,2,1,0.4048,0.22336,0.33487,H,1
1,1,1,1,0.60945,0.18755,0.33246,H,1
1,2,2,2,0.27576,0.38693,0.3301,H,1
1,2,2,1,0.34043,0.26955,0.32777,H,1
1,2,1,1,0.30478,0.35185,0.32547,H,0
1,1,1,1,0.32823,0.35207,0.32891,H,1
1,1,2,1,0.46327,0.37553,0.32662,H,0
1,2,1,1,0.58041,0.27025,0.33002,H,0
1,2,1,1,0.30548,0.2934,0.33343,H,0
1,1,2,1,0.72705,0.24069,0.33689,H,0
1,2,2,1,0.31128,0.12347,0.34051,H,1
1,2,2,3,0.2287,0.22936,0.33798,H,1
1,1,2,1,0.49883,0.0063142,0.3356,H,0
1,1,2,1,0.18215,0.3052,0.33906,H,0
1,1,1,1,0.35219,0.22344,0.34301,H,1
1,1,1,3,0.064507,0.32827,0.34016,H,1
1,2,2,5,0.24665,0.31668,0.55935,E,1
1,1,1,4,0.52751,0.33984,0.55848,E,1
1,2,2,5,0.4168,0.2929,0.5576,E,1
1,2,2,6,0.27539,0.27023,0.55668,E,1
1,2,2,6,0.34023,0.246,0.55573,E,1
1,2,2,6,0.34067,0.29314,0.55475,E,1
1,1,1,5,0.32803,0.59804,0.55372,E,1
1,2,2,6,0.33426,0.27016,0.55265,E,1
1,1,1,6,0.30518,0.2754,0.55153,E,1
1,2,2,6,0.35232,0.25214,0.55035,E,1
1,1,1,5,0.088028,0.44583,0.54917,E,1
1,1,1,6,0.42786,0.35168,0.54808,E,1
1,1,1,5,0.43409,0.57494,0.54704,E,1
1,2,2,4,1.4246,0.26404,0.54605,E,1
1,1,1,4,0.19372,0.31096,0.54512,E,1
1,1,1,6,0.1936,0.25802,0.54423,E,1
1,2,2,3,0.36929,0.44582,0.54338,E,1
1,2,2,4,0.57998,0.29933,0.54257,E,1
1,2,2,5,0.19389,0.52771,0.54179,E,1
