Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Session,Visual_search_accuracy
1,1,1,2,0.400086,0.899744,0.318498,1,1,1,NaN
1,1,1,3,0.360068,0.329963,0.318498,1,1,1,NaN
1,0,1,1,0.000207,3.948739,0.318498,1,0,1,NaN
1,0,0,2,0.570016,0.699828,0.350347,1,1,1,NaN
1,0,0,1,0.30014,0.769796,0.350347,1,1,1,NaN
1,1,0,2,0.709979,0.559885,0.318498,1,0,1,NaN
1,0,0,3,0.320098,0.469896,0.318498,1,1,1,NaN
1,0,0,3,0.300117,0.269982,0.318498,1,1,1,NaN
1,1,1,2,1.119772,0.659833,0.289543,1,1,1,NaN
1,1,1,2,0.400057,0.699825,0.289543,1,1,1,NaN
1,0,1,2,0.46004,0.389937,0.289543,1,0,1,NaN
1,1,1,2,0.410051,0.399923,0.318498,1,1,1,NaN
1,1,1,2,0.000215,0.329944,0.318498,1,1,1,NaN
1,1,1,2,0.190153,0.379931,0.318498,1,1,1,NaN
1,1,1,2,0.380062,0.319949,0.318498,1,1,1,NaN
1,1,1,2,0.280138,0.269987,0.318498,1,1,1,NaN
1,1,1,2,0.350116,0.61985,0.318498,1,1,1,NaN
1,1,1,3,0.340102,0.279985,0.318498,1,1,1,NaN
1,0,0,1,0.370063,0.759813,0.318498,1,1,1,NaN
1,0,1,2,0.739947,0.569872,0.318498,1,0,1,NaN
1,1,1,2,0.310107,0.439926,0.350347,1,1,1,NaN
1,0,0,3,0.460144,0.679837,0.350347,1,1,1,NaN
1,0,0,2,0.829937,0.509886,0.350347,1,1,1,NaN
1,1,1,2,0.590101,0.919724,0.318498,1,1,1,NaN
1,0,1,2,1.679671,0.579878,0.318498,1,0,1,NaN
1,1,1,2,0.969884,0.539876,0.350347,1,1,1,NaN
1,1,1,2,0.06022,0.779793,0.350347,1,1,1,NaN
1,1,1,2,0.180115,0.369942,0.350347,1,1,1,NaN
1,1,1,2,0.000208,0.499889,0.350347,1,1,1,NaN
1,1,1,1,4.198801,0.96974,0.350347,1,1,1,NaN
1,1,1,2,0.400082,0.53989,0.350347,1,1,1,NaN
1,0,0,3,0.33011,0.879766,0.350347,1,1,1,NaN
1,1,1,2,0.849944,1.339599,0.350347,1,1,1,NaN
1,0,0,3,0.140162,0.64983,0.350347,1,1,1,NaN
1,0,0,3,0.38009,0.29996,0.318498,1,1,1,NaN
1,1,1,2,0.660014,0.489891,0.318498,1,1,1,NaN
1,1,1,2,0.729998,0.499893,0.318498,1,1,1,NaN
1,1,1,2,0.799933,0.569862,0.318498,1,1,1,NaN
1,0,0,2,0.380089,0.569869,0.318498,1,1,1,NaN
1,0,0,2,0.170166,0.399933,0.289543,1,1,1,NaN
1,1,1,2,0.600026,0.439927,0.289543,1,1,1,NaN
1,1,1,2,0.510185,0.389934,0.289543,1,1,1,NaN
1,1,1,3,0.659992,0.46991,0.289543,1,1,1,NaN
1,1,1,3,0.330079,0.469905,0.289543,1,1,1,NaN
1,1,1,3,0.370119,0.429917,0.289543,1,1,1,NaN
1,1,1,3,0.370104,0.449905,0.289543,1,1,1,NaN
1,1,1,3,0.500039,0.439912,0.289543,1,1,1,NaN
1,1,1,3,0.580008,0.549879,0.289543,1,1,1,NaN
1,1,0,3,0.669961,0.839768,0.289543,1,0,1,NaN
1,0,0,3,0.430078,0.729822,0.289543,1,1,1,NaN
1,1,1,3,0.660005,0.70983,0.263221,1,1,1,NaN
1,0,1,2,1.019871,0.559886,0.263221,1,0,1,NaN
1,1,1,2,0.400084,0.429919,0.289543,1,1,1,NaN
1,1,1,2,2.529379,0.889759,0.289543,1,1,1,NaN
1,1,1,3,0.400073,0.439921,0.289543,1,1,1,NaN
1,1,1,3,0.310107,0.379939,0.289543,1,1,1,NaN
1,1,1,3,0.270127,0.329945,0.289543,1,1,1,NaN
1,1,1,3,0.390092,0.369943,0.289543,1,1,1,NaN
1,1,1,3,0.350077,0.379921,0.289543,1,1,1,NaN
1,1,1,3,0.100338,0.59989,0.289543,1,1,1,NaN
1,0,0,2,1.55967,1.149684,0.289543,1,1,1,NaN
1,1,1,2,0.360109,0.489888,0.289543,1,1,1,NaN
1,1,1,2,0.570048,0.639834,0.289543,1,1,1,NaN
1,1,0,2,0.260116,0.58986,0.289543,1,0,1,NaN
1,1,1,3,0.410152,0.53988,0.289543,1,1,1,NaN
1,1,1,3,0.370076,0.609957,0.289543,1,1,1,NaN
1,1,1,2,0.260113,0.789788,0.289543,1,1,1,NaN
1,1,1,2,0.160138,0.87975,0.289543,1,1,1,NaN
1,1,1,2,1.12986,0.909743,0.289543,1,1,1,NaN
1,1,1,2,0.570028,0.629857,0.289543,1,1,1,NaN
1,0,0,3,0.350119,0.759825,0.289543,1,1,1,NaN
1,0,0,2,1.329771,0.729814,0.263221,1,1,1,NaN
1,1,1,2,0.830054,0.48989,0.263221,1,1,1,NaN
1,0,0,2,0.300135,0.479904,0.263221,1,1,1,NaN
1,0,0,2,0.000235,0.209971,0.239292,1,1,1,NaN
