Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Congruency,Accuracy,Training
1,R,R,easy,0.575,0.258,Congr,1,main
1,L,L,easy,0.501,0.173,Congr,1,main
1,R,R,easy,0.604,0.399,Congr,1,main
1,L,L,easy,0.757,0.187,Congr,1,main
1,L,L,easy,0.649,0.778,Congr,1,main
1,R,R,easy,0.593,0.222,Congr,1,main
1,L,L,diff,0.594,0.343,Incongr,1,main
1,L,L,easy,0.68,0.072,Congr,1,main
1,L,L,easy,0.354,0.2,Congr,1,main
1,R,R,easy,0.941,0.245,Congr,1,main
1,R,R,diff,0.559,0.484,Incongr,1,main
1,R,R,easy,0.872,0.049,Congr,1,main
1,L,L,diff,0.588,0.022,Incongr,1,main
1,L,L,easy,0.555,0.048,Incongr,1,main
1,L,L,easy,0.539,0.284,Incongr,1,main
1,R,R,easy,0.635,0.085,Incongr,1,main
1,L,L,easy,0.455,0.249,Congr,1,main
1,L,L,easy,0.468,0.278,Incongr,1,main
1,R,R,easy,1.104,0.257,Congr,1,main
1,L,L,easy,0.38,0.12,Congr,1,main
1,R,R,easy,0.561,0.254,Incongr,1,main
1,L,L,easy,0.409,0.069,Congr,1,main
1,L,L,easy,0.607,0.291,Congr,1,main
1,R,R,diff,0.565,1.258,Incongr,1,main
1,L,L,easy,0.502,0.19,Congr,1,main
1,R,R,easy,0.58,0.067,Congr,1,main
1,R,R,easy,0.643,0.214,Congr,1,main
1,R,R,easy,0.49,0.067,Incongr,1,main
1,L,L,easy,0.47,1.03,Congr,1,main
1,R,R,easy,0.491,0.131,Incongr,1,main
1,R,R,easy,0.299,0.051,Congr,1,main
1,L,L,easy,0.526,0.029,Incongr,1,main
1,L,L,easy,0.515,0.233,Congr,1,main
1,R,R,diff,1.087,0.575,Congr,1,main
1,L,L,easy,0.517,0.164,Incongr,1,main
1,R,R,easy,0.587,0.071,Congr,1,main
1,R,R,easy,0.497,0.065,Congr,1,main
1,R,R,easy,0.443,0.126,Incongr,1,main
1,R,R,easy,0.454,0.304,Congr,1,main
1,R,R,diff,0.448,0.067,Incongr,1,main
1,L,L,easy,0.42,1.095,Incongr,1,main
1,L,L,easy,0.857,0.605,Incongr,1,main
1,R,R,easy,0.617,0.326,Incongr,1,main
1,R,R,easy,0.453,0.062,Incongr,1,main
1,R,R,easy,0.371,0.422,Congr,1,main
1,L,L,easy,0.459,0.239,Incongr,1,main
1,L,L,easy,0.633,0.083,Incongr,1,main
1,L,L,easy,0.625,0.293,Incongr,1,main
1,R,R,easy,0.557,0.243,Incongr,1,main
1,L,L,diff,0.513,0.126,Incongr,1,main
1,R,R,easy,0.425,0.586,Congr,1,main
1,R,R,easy,0.568,0.279,Congr,1,main
1,L,L,easy,0.447,0.282,Congr,1,main
1,L,L,easy,0.403,0.223,Incongr,1,main
1,R,R,easy,0.451,1.068,Incongr,1,main
