Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Trial_count,Block_count,Accuracy
ack,1,2,1,2,0.44651460600000004,1.9757632880000002,1.553031861,20,4,0
ack,2,2,2,1,0.870064935,0.705231267,0.270645211,21,4,1
ack,2,2,3,1,0.564243919,1.293499762,0.435372618,22,4,1
ack,1,2,1,1,0.94070876,0.38752982799999997,0.117788604,23,4,0
ack,1,1,3,3,1.22251752,0.611110726,0.40055640600000003,24,4,1
ack,2,2,1,2,0.693601865,4.163766824,0.458947509,25,4,1
ack,1,2,3,1,1.199465462,3.786663648,0.329523343,26,4,0
ack,2,1,2,2,1.117101759,1.058142006,5.799765687000001,27,4,0
ack,2,1,1,1,0.846549718,0.375804175,0.341237061,28,4,0
ack,1,1,1,1,0.83478518,1.481050535,0.411903986,29,4,1
ack,1,2,2,1,0.917123088,1.046382473,3.235189895,30,4,0
ack,2,2,1,1,2.211161085,0.36397919100000004,1.058953593,31,4,1
ack,2,2,3,2,0.622209594,0.529576705,0.317756495,32,4,1
ack,1,2,3,2,0.59959567,0.399266261,0.164856382,33,4,0
ack,1,2,3,1,1.011227844,0.611108031,0.341926986,34,4,0
ack,2,2,3,1,2.48174508,0.528725463,0.364501255,35,4,1
ack,1,2,3,2,0.9171758329999999,1.787488325,4.88211784,36,4,0
ack,2,2,1,1,0.823061837,0.51700905,0.082485364,37,4,1
ack,2,2,1,1,1.48176048,1.458094728,0.38840263,38,4,1
ack,1,2,2,1,1.3053378359999999,0.575801711,0.329556068,39,4,0
ack,1,2,3,2,0.5406701829999999,0.7171355620000001,0.35305242,40,4,0
ack,2,1,2,3,0.36424368799999995,1.140457199,0.858886756,41,4,0
ack,2,2,3,1,1.705366404,0.44634559,0.447155636,42,4,1
ack,1,2,2,1,1.999427885,1.622935325,0.92936657,43,4,0
ack,1,2,2,1,0.599549084,0.540147348,0.36487432299999994,44,4,0
ack,2,2,1,1,0.458369235,0.387544458,0.317802695,45,4,1
ack,2,2,1,1,1.01136683,0.363895646,0.329524113,46,4,1
ack,2,2,1,1,0.43456411100000003,0.433694774,0.306224498,47,4,1
ack,1,2,1,1,0.564230829,0.469899306,0.353065895,48,4,0
ack,1,1,1,1,0.41128836700000004,0.540494621,0.40012096799999997,49,4,1
ack,2,1,1,1,1.093119148,0.657791961,15.70518545,0,5,0
ack,1,2,1,1,1.117146419,0.705181987,0.682375561,1,5,0
