Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,mean,sd,Condition,Training
1,1,1,21.405,NaN,NaN,0.45861,0.487,0.0333,-1,1
1,1,1,17.32,NaN,NaN,0.60012,0.47,0.0333,-1,1
1,1,1,27.5325,NaN,NaN,1.1183,0.47,0.1,-1,1
1,0,0,40.1961,NaN,NaN,1.236,0.513,0.1,-1,1
1,1,1,19.3625,NaN,NaN,0.61126,0.487,0.0333,-1,1
1,1,0,30.392,NaN,NaN,0.4934,0.47,0.1,-1,1
1,1,0,26.471,NaN,NaN,1.0824,0.47,0.1,-1,1
1,0,0,24.51,NaN,NaN,0.68243,0.513,0.1,-1,1
1,1,1,29.575,NaN,NaN,0.51755,0.487,0.0333,-1,1
1,1,0,32.353,NaN,NaN,0.50584,0.47,0.0333,-1,1
1,0,1,21.405,NaN,NaN,0.58817,0.513,0.1,-1,1
1,0,0,32.353,NaN,NaN,0.51755,0.53,0.1,-1,1
1,1,1,15.2775,NaN,NaN,0.95326,0.487,0.0333,-1,1
1,1,1,21.405,NaN,NaN,1.0587,0.47,0.1,-1,1
1,1,1,15.2775,NaN,NaN,0.87086,0.487,0.0333,-1,1
1,1,1,9.15,NaN,NaN,0.65894,0.47,0.0333,-1,1
1,1,0,22.549,NaN,NaN,0.34094,0.487,0.1,-1,1
1,0,1,27.5325,NaN,NaN,0.43523,0.513,0.0333,-1,1
1,0,0,24.51,NaN,NaN,1.3303,0.53,0.0333,-1,1
1,1,1,15.2775,NaN,NaN,0.71784,0.47,0.1,-1,1
1,0,1,11.1925,NaN,NaN,0.75324,0.53,0.1,-1,1
1,1,1,13.235,NaN,NaN,0.65899,0.47,0.0333,-1,1
1,1,1,17.32,NaN,NaN,0.56467,0.47,0.0333,-1,1
1,0,1,13.235,NaN,NaN,0.76474,0.513,0.1,-1,1
1,1,0,20.588,NaN,NaN,0.77614,0.487,0.1,-1,1
1,0,1,13.235,NaN,NaN,0.9298,0.513,0.1,-1,1
1,0,1,15.2775,NaN,NaN,1.5776,0.513,0.0333,-1,1
1,1,0,14.706,NaN,NaN,2.5193,0.487,0.1,-1,1
1,0,0,20.588,NaN,NaN,0.49406,0.53,0.0333,-1,1
1,1,0,28.431,NaN,NaN,0.61178,0.487,0.1,-1,1
1,1,0,18.627,NaN,NaN,1.4009,0.487,0.1,-1,1
1,0,1,15.2775,NaN,NaN,0.4234,0.513,0.1,-1,1
1,1,1,17.32,NaN,NaN,0.72951,0.487,0.1,-1,1
1,1,1,31.6175,NaN,NaN,5.7947,0.4895,0.0333,0,1
1,1,1,19.3625,NaN,NaN,4.2284,0.47,0.1,0,1
1,0,0,44.1176,NaN,NaN,1.8257,0.53,0.0333,1,1
1,0,0,32.353,NaN,NaN,1.2721,0.5105,0.0333,1,1
1,1,0,38.235,NaN,NaN,1.3781,0.4895,0.1,1,1
1,0,0,32.353,NaN,NaN,2.0024,0.5105,0.1,0,1
