Subj_idx,Stimulus,Response,Accuracy,Confidence,RT_dec,Difficulty,Condition
7,1,1,1,2,0.48,64,1000
7,2,1,0,1,0.843,32,1000
7,2,2,1,2,0.39,32,1000
7,2,1,0,2,0.428,16,1000
7,2,2,1,2,0.39,64,1000
7,2,1,0,2,0.569,16,1000
7,2,2,1,2,0.347,128,1000
7,1,2,0,2,0.694,64,1000
7,1,1,1,2,0.64,32,1000
1,1,NaN,NaN,2,NaN,64,1000
1,2,NaN,NaN,1,NaN,16,1000
1,2,1,0,1,2.46,16,1000
1,1,1,1,2,1.988,16,1000
1,1,1,1,2,0.85,64,1000
1,2,2,1,2,0.996,32,1000
1,2,2,1,2,1.669,32,1000
1,2,2,1,3,1.238,64,1000
1,2,1,0,2,0.795,16,1000
1,2,2,1,2,2.116,64,1000
1,1,1,1,3,0.898,128,1000
1,1,1,1,2,1.435,32,1000
1,1,1,1,3,1.281,128,1000
1,2,2,1,3,1.365,64,1000
1,1,1,1,3,0.912,128,1000
1,2,2,1,3,0.985,32,1000
1,1,1,1,2,0.847,32,1000
1,2,2,1,2,0.775,64,1000
1,2,1,0,2,0.97,16,1000
1,1,1,1,2,1.002,16,1000
1,2,2,1,2,0.727,32,1000
1,1,1,1,2,0.852,32,1000
1,2,2,1,3,0.843,128,1000
1,1,1,1,2,0.765,64,1000
1,1,1,1,2,1.166,32,1000
1,2,2,1,2,0.984,16,1000
1,1,1,1,4,0.923,128,1000
1,2,2,1,3,0.748,64,1000
1,1,1,1,2,0.731,32,1000
1,1,1,1,3,0.695,128,1000
1,1,1,1,3,0.703,64,1000
1,2,2,1,3,0.83,128,1000
1,2,2,1,3,0.828,128,1000
1,1,1,1,2,0.817,32,1000
1,1,1,1,2,0.765,32,1000
1,2,2,1,3,0.887,64,1000
1,2,2,1,2,0.628,32,1000
1,1,1,1,3,0.709,128,1000
1,1,1,1,4,0.766,128,1000
1,2,2,1,4,0.789,128,1000
1,1,1,1,3,0.738,32,1000
1,1,1,1,2,0.971,16,1000
1,2,2,1,2,1.519,32,1000
1,2,2,1,2,0.734,32,1000
1,1,1,1,3,0.789,128,1000
1,1,1,1,2,0.708,32,1000
1,1,2,0,1,2.784,16,1000
1,2,2,1,2,0.698,64,1000
1,1,1,1,2,0.764,16,1000
1,2,2,1,3,0.649,64,1000
1,2,2,1,2,0.759,16,1000
1,1,1,1,2,0.786,32,1000
